NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Details ...,186,-0.3669924,-2.670179,0,0,0,1825,"tags=34%, list=14%, signal=39%"
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Details ...,183,-0.3755243,-2.2058616,0,0,0,2230,"tags=39%, list=17%, signal=47%"
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,Details ...,185,-0.2955214,-2.1692452,0,0,0,2230,"tags=32%, list=17%, signal=38%"
HALLMARK_COAGULATION,HALLMARK_COAGULATION,Details ...,128,-0.34707028,-2.0781884,0,0,0,1462,"tags=28%, list=11%, signal=31%"
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,Details ...,180,-0.25445232,-1.6250154,0,0.013317014,0.0028,1837,"tags=29%, list=14%, signal=33%"
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,Details ...,191,-0.21530588,-1.38117,0,0.07960016,0.0202,2528,"tags=35%, list=19%, signal=42%"
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Details ...,179,-0.16553292,-1.0809189,0.16666667,0.51001924,0.1412,1655,"tags=19%, list=12%, signal=21%"
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Details ...,175,-0.17349295,-1.0599018,0.2,0.5005508,0.1584,1141,"tags=16%, list=8%, signal=17%"
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,Details ...,180,-0.16145407,-1.0378716,0.25,0.5011289,0.1765,1114,"tags=14%, list=8%, signal=16%"
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,Details ...,35,-0.21871175,-1.0328996,0.40836653,0.4652143,0.1812,364,"tags=14%, list=3%, signal=15%"
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,Details ...,177,-0.15691748,-0.97170985,0.5,0.57167023,0.2382,1180,"tags=15%, list=9%, signal=16%"
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,Details ...,172,-0.13566451,-0.76514804,1,0.90567136,0.3779,1116,"tags=12%, list=8%, signal=13%"
