NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,Details ...,165,0.57084984,1.9973826,0,0,0,3702,"tags=62%, list=28%, signal=85%"
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,Details ...,171,0.56011593,1.9613836,0,7.68E-05,2.00E-04,3820,"tags=63%, list=28%, signal=86%"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,166,0.52737063,1.8411679,0,1.02E-04,4.00E-04,3784,"tags=58%, list=28%, signal=80%"
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,Details ...,128,0.5271458,1.813508,0,1.54E-04,8.00E-04,3961,"tags=54%, list=29%, signal=76%"
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,Details ...,174,0.51004815,1.7874051,0,2.15E-04,0.0014,3735,"tags=52%, list=28%, signal=71%"
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,Details ...,50,0.5421342,1.7303336,1.03E-04,4.47E-04,0.0035,3957,"tags=64%, list=29%, signal=90%"
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,184,0.47566056,1.6709682,0,0.001280986,0.0117,4358,"tags=52%, list=32%, signal=76%"
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Details ...,96,0.43157533,1.4631073,0.003223207,0.022768779,0.2117,5169,"tags=56%, list=38%, signal=91%"
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,Details ...,85,0.4351602,1.46043,0.005040322,0.021082232,0.2204,3372,"tags=45%, list=25%, signal=59%"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Details ...,102,0.3977172,1.3508946,0.017778223,0.07511609,0.6331,4219,"tags=46%, list=31%, signal=67%"
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Details ...,178,0.38092738,1.3366867,0.006803402,0.08096234,0.6967,3627,"tags=37%, list=27%, signal=50%"
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,Details ...,119,0.36871356,1.2696936,0.046979867,0.16474523,0.9328,5833,"tags=51%, list=43%, signal=90%"
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,Details ...,143,0.363649,1.2618562,0.03867348,0.1664688,0.9487,3922,"tags=38%, list=29%, signal=53%"
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Details ...,176,0.3476807,1.2186387,0.055127565,0.24914226,0.992,3230,"tags=32%, list=24%, signal=41%"
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,Details ...,97,0.3582603,1.2163936,0.11778919,0.23811947,0.9929,4687,"tags=44%, list=35%, signal=68%"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Details ...,40,0.37166712,1.149365,0.27203506,0.43151698,1,5275,"tags=50%, list=39%, signal=82%"
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,Details ...,177,0.31719902,1.1121701,0.21625137,0.5554201,1,4219,"tags=37%, list=31%, signal=53%"
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,Details ...,172,0.30591014,1.069753,0.32069242,0.7143536,1,3965,"tags=32%, list=30%, signal=45%"
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,Details ...,142,0.28215218,0.9776701,0.5651956,1,1,4765,"tags=41%, list=35%, signal=63%"
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,Details ...,90,0.2877614,0.9709524,0.5671401,1,1,3957,"tags=31%, list=29%, signal=44%"
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,,32,0.3118823,0.9386223,0.5896563,1,1,3112,"tags=31%, list=23%, signal=41%"
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,,30,0.30329156,0.9016079,0.6417158,1,1,5100,"tags=37%, list=38%, signal=59%"
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,,38,0.2923433,0.90082955,0.65898377,1,1,5474,"tags=42%, list=41%, signal=71%"
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,,82,0.2634325,0.8828406,0.7269328,1,1,4133,"tags=34%, list=31%, signal=49%"
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,,51,0.26612318,0.8570048,0.7300999,1,1,4053,"tags=37%, list=30%, signal=53%"
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,,187,0.23620698,0.8295653,0.88856655,1,1,4189,"tags=32%, list=31%, signal=46%"
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,,42,0.25418526,0.79516965,0.8052219,1,1,5618,"tags=48%, list=42%, signal=82%"
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,,171,0.22265562,0.77992654,0.9368874,1,1,5817,"tags=41%, list=43%, signal=71%"
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,,188,0.22062802,0.7743837,0.9481896,1,1,4888,"tags=35%, list=36%, signal=54%"
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,,39,0.23776516,0.7342162,0.8692098,1,1,3551,"tags=23%, list=26%, signal=31%"
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,,179,0.20626481,0.72373074,0.9703852,1,1,4486,"tags=32%, list=33%, signal=47%"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,,66,0.21092486,0.6936765,0.9278162,1,1,4655,"tags=30%, list=35%, signal=46%"
