NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Details ...,88,0.4040677,1.363041,0.007,0.3797052,0.3177,5348,"tags=36%, list=24%, signal=48%"
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,Details ...,150,0.3555011,1.2398467,0.0227,0.9655003,0.8657,5000,"tags=31%, list=23%, signal=40%"
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,Details ...,40,0.39203072,1.2322959,0.118530385,0.7120823,0.8933,5792,"tags=40%, list=26%, signal=54%"
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Details ...,186,0.34355724,1.2119604,0.0235,0.7003802,0.9473,7916,"tags=45%, list=36%, signal=69%"
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,Details ...,87,0.34958455,1.1763146,0.1181,0.8856365,0.9923,11290,"tags=63%, list=52%, signal=130%"
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,Details ...,100,0.34446293,1.1738665,0.1032,0.7606058,0.9935,5294,"tags=34%, list=24%, signal=45%"
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,Details ...,185,0.33131844,1.1697327,0.0606,0.6868842,0.9948,7609,"tags=42%, list=35%, signal=64%"
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,Details ...,184,0.3291363,1.158926,0.0754,0.68706715,0.9976,7816,"tags=43%, list=36%, signal=66%"
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,Details ...,57,0.35544848,1.1584879,0.17733547,0.61401707,0.9977,9074,"tags=53%, list=41%, signal=90%"
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Details ...,101,0.335467,1.1403295,0.1472,0.6873221,0.9998,8041,"tags=42%, list=37%, signal=65%"
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,Details ...,185,0.321489,1.1329728,0.108,0.680285,0.9999,8098,"tags=42%, list=37%, signal=66%"
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Details ...,187,0.32042244,1.1321974,0.1081,0.6293454,0.9999,9543,"tags=51%, list=44%, signal=90%"
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,Details ...,190,0.3188844,1.1263759,0.1177,0.6206197,0.9999,6000,"tags=32%, list=27%, signal=43%"
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,Details ...,175,0.31713566,1.116906,0.1454,0.639788,1,6405,"tags=37%, list=29%, signal=51%"
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,Details ...,110,0.32042357,1.0980779,0.2295,0.73017836,1,5000,"tags=28%, list=23%, signal=36%"
