NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Details ...,179,-0.65865964,-3.2033987,0,0,0,2718,"tags=64%, list=20%, signal=79%"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Details ...,186,-0.6135011,-2.9971104,0,0,0,1498,"tags=44%, list=11%, signal=49%"
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,Details ...,172,-0.6046171,-2.9211054,0,0,0,2200,"tags=48%, list=16%, signal=57%"
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Details ...,82,-0.6775178,-2.906884,0,0,0,2097,"tags=61%, list=16%, signal=72%"
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,Details ...,185,-0.58316326,-2.8450358,0,0,0,2727,"tags=54%, list=20%, signal=67%"
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Details ...,183,-0.57117504,-2.7865717,0,0,0,2934,"tags=52%, list=22%, signal=66%"
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,Details ...,177,-0.51794285,-2.5184867,0,0,0,1811,"tags=36%, list=13%, signal=41%"
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,Details ...,78,-0.5637555,-2.397206,0,0,0,2578,"tags=51%, list=19%, signal=63%"
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,Details ...,180,-0.48900056,-2.383663,0,0,0,2922,"tags=44%, list=22%, signal=56%"
HALLMARK_COAGULATION,HALLMARK_COAGULATION,Details ...,128,-0.5063437,-2.3444943,0,0,0,2646,"tags=41%, list=20%, signal=50%"
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Details ...,174,-0.43437162,-2.1070945,0,2.72E-05,2.00E-04,2826,"tags=43%, list=21%, signal=53%"
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,Details ...,149,-0.39783263,-1.8871852,0,3.79E-04,0.0034,1799,"tags=30%, list=13%, signal=34%"
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,Details ...,35,-0.50900966,-1.8342785,5.94E-04,6.09E-04,0.0058,1632,"tags=37%, list=12%, signal=42%"
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,Details ...,180,-0.35950568,-1.7460654,0,0.001848808,0.0184,3023,"tags=38%, list=22%, signal=49%"
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,Details ...,129,-0.35361138,-1.646614,0.001758499,0.005174636,0.0554,1577,"tags=24%, list=12%, signal=27%"
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Details ...,176,-0.32954633,-1.5995109,0.001183899,0.007525297,0.0841,3361,"tags=38%, list=25%, signal=50%"
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Details ...,176,-0.32600555,-1.5857297,7.85E-04,0.008024314,0.0946,1868,"tags=26%, list=14%, signal=30%"
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,Details ...,191,-0.322747,-1.5757229,1.95E-04,0.008307076,0.1037,3367,"tags=38%, list=25%, signal=50%"
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,Details ...,188,-0.30457738,-1.4974208,0.002727981,0.017880145,0.2202,2567,"tags=29%, list=19%, signal=36%"
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,Details ...,90,-0.33724836,-1.4741309,0.015517936,0.02137551,0.2698,2416,"tags=30%, list=18%, signal=36%"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,,166,-0.2927357,-1.4086189,0.012272367,0.037244573,0.4421,2759,"tags=30%, list=21%, signal=37%"
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,,179,-0.28175315,-1.3719794,0.019377569,0.050180748,0.5624,3761,"tags=39%, list=28%, signal=53%"
