"gene_symbol","gene_symbol.1","r","p","mean_cna","padj"
"ECHDC1","ECHDC1",0.8215162599989,8.26592477017397e-10,3.8,1.11085762986368e-05
"FBXL14","FBXL14",0.81997320632918,1.67443458615266e-09,4.8936170212766,2.25010519687195e-05
"SMAP1","SMAP1",0.822671573538941,2.38025336151171e-09,4.79166666666667,3.19834644186328e-05
"TMEM181","TMEM181",0.798579718539729,5.34112636521069e-09,3.88,7.17633738429708e-05
"RAD51AP1","RAD51AP1",0.798344541254311,5.43751236917988e-09,4.96,7.30529786799317e-05
"RMI1","RMI1",0.791779530020247,8.87604809670917e-09,3.38,0.000119240830131191
"HBS1L","HBS1L",0.78245993304993,1.72862818826978e-08,3.84,0.000232206624530279
"GTF3C6","GTF3C6",0.787889520180998,1.93879556802552e-08,4.26530612244898,0.000260419020697188
"CHRAC1","CHRAC1",0.777399605004992,2.4494295702576e-08,5.3,0.000328982885581298
"THAP5","THAP5",0.774808824558955,2.91779118114696e-08,3.95918367346939,0.000391859355628037
"GPR156","GPR156",0.769066796307983,4.26557440295301e-08,4.56,0.000572823986572559
"SEC63","SEC63",0.773541735735988,5.08293395597984e-08,4.04081632653061,0.000682536371608973
"DIRC2","DIRC2",0.764299195890511,5.79948375795804e-08,4.48,0.000778696684181026
"TFG","TFG",0.749082757164172,1.4766470923814e-07,4.48,0.00198254638623127
"DDHD2","DDHD2",0.775497527958438,1.86080789289639e-07,5.54347826086957,0.0024981345962134
"TSFM","TSFM",0.742822847729735,2.12839096402157e-07,4.26,0.00285715203010255
"FBXO5","FBXO5",0.74255526299159,2.16141285227583e-07,3.68,0.00290126447160985
"KPNA4","KPNA4",0.738015106181025,2.79874444721046e-07,5.52,0.00375647479704588
"CHCHD5","CHCHD5",0.752467021127051,2.86217165322573e-07,3.41666666666667,0.00384132057579425
"NUP107","NUP107",0.73693985113467,2.9730941342543e-07,4.24,0.00398989232816927
"RMND1","RMND1",0.735841263362296,3.1615059739177e-07,3.62,0.00424242486640017
"KIAA1257","KIAA1257",0.732831158504956,3.73549958628569e-07,4.52,0.00501229334487814
"FDFT1","FDFT1",0.732731163180478,3.75611724773331e-07,2.38,0.00503958251128378
"MLF2","MLF2",0.73250615744418,3.80289374338753e-07,4.66,0.00510196224612871
"TRIP11","TRIP11",0.771174988951303,3.83120344702931e-07,3.64444444444444,0.00513955942418982
"GOLGA7","GOLGA7",0.779302010383276,3.89510096887937e-07,5.31818181818182,0.00522488843965479
"HDAC2","HDAC2",0.746417606743925,4.01436491398671e-07,3.95833333333333,0.00538446765913037
"OSBP","OSBP",0.726798413063626,5.18452341393605e-07,3.56,0.00695348280277103
"PRKAG2","PRKAG2",0.726275231028105,5.33187187669768e-07,4.24,0.00715057337383926
"ZNF652","ZNF652",0.732358614026621,5.71027098082255e-07,3.22448979591837,0.00765747338528303
"CUL1","CUL1",0.723560127875448,6.16030921689256e-07,4.58,0.00826035862893124
"ZDHHC4","ZDHHC4",0.718698894898868,7.94510453095942e-07,3.04,0.0106527961551104
"HSF2","HSF2",0.718641393143563,7.96880197835922e-07,3.82,0.0106837728123862
"CDKN3","CDKN3",0.718572584590647,7.9972444493816e-07,3.46,0.010721105908841
"JPH3","JPH3",0.715191325557173,9.51538199276456e-07,2.9,0.0127553695613009
"ZNF99","ZNF99",0.745357280078165,9.87061822468263e-07,4.77777777777778,0.0132305766683646
"IDH1","IDH1",0.714013966841067,1.01032232439766e-06,4.06,0.0135413501139018
"ZNF639","ZNF639",0.711555375028849,1.1439672560771e-06,5.94,0.0153314491659453
"FBXO27","FBXO27",0.710532034910899,1.20422810492503e-06,4.72,0.0161378608341004
"CA9","CA9",0.709378870578149,1.27561453243492e-06,3.36,0.017093234734628
"KLC1","KLC1",0.708713887533298,1.31852410147963e-06,4.3,0.0176669044357256
"PPHLN1","PPHLN1",0.707617429396052,1.39217559567632e-06,4.16,0.0186523686308714
"PKN2","PKN2",0.706389288185205,1.47913926037596e-06,4.3,0.0198160286712568
"HSPA14","HSPA14",0.706323820756698,1.48391184464138e-06,3.42,0.0198784830708159
"PSMC4","PSMC4",0.704377465007398,1.63241687119164e-06,4.26,0.021866223989612
"ASF1A","ASF1A",0.703319925996676,1.71870168551804e-06,3.7,0.0230202903758287
