"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"HALLMARK_HYPOXIA"	"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	"HALLMARK_MITOTIC_SPINDLE"	"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	"HALLMARK_TGF_BETA_SIGNALING"	"HALLMARK_IL6_JAK_STAT3_SIGNALING"	"HALLMARK_DNA_REPAIR"	"HALLMARK_G2M_CHECKPOINT"	"HALLMARK_APOPTOSIS"	"HALLMARK_NOTCH_SIGNALING"	"HALLMARK_ADIPOGENESIS"	"HALLMARK_ESTROGEN_RESPONSE_EARLY"	"HALLMARK_ESTROGEN_RESPONSE_LATE"	"HALLMARK_ANDROGEN_RESPONSE"	"HALLMARK_MYOGENESIS"	"HALLMARK_PROTEIN_SECRETION"	"HALLMARK_INTERFERON_ALPHA_RESPONSE"	"HALLMARK_INTERFERON_GAMMA_RESPONSE"	"HALLMARK_APICAL_JUNCTION"	"HALLMARK_APICAL_SURFACE"	"HALLMARK_HEDGEHOG_SIGNALING"	"HALLMARK_COMPLEMENT"	"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	"HALLMARK_MTORC1_SIGNALING"	"HALLMARK_E2F_TARGETS"	"HALLMARK_MYC_TARGETS_V1"	"HALLMARK_MYC_TARGETS_V2"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	"HALLMARK_INFLAMMATORY_RESPONSE"	"HALLMARK_XENOBIOTIC_METABOLISM"	"HALLMARK_FATTY_ACID_METABOLISM"	"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	"HALLMARK_GLYCOLYSIS"	"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY"	"HALLMARK_P53_PATHWAY"	"HALLMARK_UV_RESPONSE_UP"	"HALLMARK_UV_RESPONSE_DN"	"HALLMARK_ANGIOGENESIS"	"HALLMARK_HEME_METABOLISM"	"HALLMARK_COAGULATION"	"HALLMARK_IL2_STAT5_SIGNALING"	"HALLMARK_BILE_ACID_METABOLISM"	"HALLMARK_PEROXISOME"	"HALLMARK_ALLOGRAFT_REJECTION"	"HALLMARK_SPERMATOGENESIS"	"HALLMARK_KRAS_SIGNALING_UP"	"HALLMARK_KRAS_SIGNALING_DN"	"HALLMARK_PANCREAS_BETA_CELLS"	"StromalSignature"	"ImmuneSignature"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	1	0.145	0.08	0.01	0.0465116279069767	0.181818181818182	0.204545454545455	0.00662251655629139	0.025	0.179012345679012	0.0909090909090909	0.03	0.065	0.06	0.0882352941176471	0.025	0.0103092783505155	0.0918367346938776	0.135	0.02	0.0444444444444444	0.0540540540540541	0.08	0.043859649122807	0.0283018867924528	0.05	0.01	0.005	0.0338983050847458	0.11	0.255	0.035	0.00628930817610063	0	0.025	0.04	0.13	0.125786163522013	0.0827586206896552	0.108108108108108	0.01	0.0503597122302158	0.105	0.00884955752212389	0.00952380952380952	0.095	0	0.115	0.04	0	0.0140845070422535	0.0704225352112676
"HALLMARK_HYPOXIA"	0.145	1	0.0933333333333333	0.005	0.0232558139534884	0.0545454545454545	0.0454545454545455	0	0.015	0.0925925925925926	0.0606060606060606	0.055	0.065	0.06	0.0294117647058824	0.065	0.0412371134020619	0.0102040816326531	0.04	0.02	0.0444444444444444	0.0810810810810811	0.055	0.0701754385964912	0.0660377358490566	0.155	0.01	0.01	0.0169491525423729	0.09	0.055	0.04	0.0440251572327044	0.01	0.325	0.04	0.07	0.050314465408805	0.103448275862069	0.0810810810810811	0.035	0.0359712230215827	0.08	0.0176991150442478	0.019047619047619	0.02	0.0294117647058824	0.055	0.015	0.0487804878048781	0.0140845070422535	0.0211267605633803
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.08	0.0933333333333333	1	0	0.0930232558139535	0.0363636363636364	0.04	0.0133333333333333	0.0266666666666667	0.12	0.0606060606060606	0.0533333333333333	0.0533333333333333	0.0666666666666667	0.0666666666666667	0.04	0.0133333333333333	0.0266666666666667	0.0133333333333333	0.04	0.0444444444444444	0.027027027027027	0.08	0.0266666666666667	0.0266666666666667	0.253333333333333	0	0	0.0338983050847458	0.0266666666666667	0.0266666666666667	0.0266666666666667	0.106666666666667	0.0133333333333333	0.04	0.02	0.0266666666666667	0.04	0.04	0.0810810810810811	0	0.0533333333333333	0.04	0.0533333333333333	0.0533333333333333	0	0.0133333333333333	0.0266666666666667	0	0.024390243902439	0.0133333333333333	0.0133333333333333
"HALLMARK_MITOTIC_SPINDLE"	0.01	0.005	0	1	0	0.0363636363636364	0	0.00662251655629139	0.195	0.0432098765432099	0.0303030303030303	0.005	0.015	0.02	0.00980392156862745	0.02	0.0309278350515464	0	0.005	0.07	0.0222222222222222	0.108108108108108	0.005	0.0175438596491228	0.0377358490566038	0.02	0.095	0.005	0.0169491525423729	0.015	0.01	0.01	0	0.01	0.01	0	0	0.0125786163522013	0.0344827586206897	0	0.015	0.00719424460431655	0.01	0	0.00952380952380952	0.015	0.0514705882352941	0.01	0.005	0	0	0.00704225352112676
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.0465116279069767	0.0232558139534884	0.0930232558139535	0	1	0.0697674418604651	0.0232558139534884	0.0465116279069767	0.0465116279069767	0.116279069767442	0.272727272727273	0	0.0465116279069767	0.0232558139534884	0.0232558139534884	0.0697674418604651	0.0232558139534884	0.0232558139534884	0	0.0232558139534884	0.0232558139534884	0.108108108108108	0.0232558139534884	0.0232558139534884	0.0232558139534884	0	0.0465116279069767	0.0697674418604651	0.0465116279069767	0.0465116279069767	0.0232558139534884	0.0232558139534884	0.0232558139534884	0	0	0.0232558139534884	0.0930232558139535	0.0232558139534884	0.0465116279069767	0.108108108108108	0	0.0232558139534884	0.0697674418604651	0.0232558139534884	0.0232558139534884	0.0232558139534884	0.0232558139534884	0.0465116279069767	0	0.024390243902439	0.0232558139534884	0.0232558139534884
"HALLMARK_TGF_BETA_SIGNALING"	0.181818181818182	0.0545454545454545	0.0363636363636364	0.0363636363636364	0.0697674418604651	1	0.0545454545454545	0.0181818181818182	0.0363636363636364	0.109090909090909	0.0303030303030303	0	0.0545454545454545	0.0727272727272727	0.0363636363636364	0.0363636363636364	0.0181818181818182	0.0181818181818182	0	0.0363636363636364	0.0222222222222222	0.027027027027027	0.0181818181818182	0.0181818181818182	0.0727272727272727	0.0363636363636364	0	0	0.0181818181818182	0.0909090909090909	0.0363636363636364	0.0363636363636364	0.0181818181818182	0	0	0.04	0.0545454545454545	0.0909090909090909	0.127272727272727	0.027027027027027	0	0.0909090909090909	0.0909090909090909	0.0363636363636364	0.0181818181818182	0.0545454545454545	0.0181818181818182	0.0727272727272727	0.0181818181818182	0.024390243902439	0.0181818181818182	0.0363636363636364
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	0.204545454545455	0.0454545454545455	0.04	0	0.0232558139534884	0.0545454545454545	1	0.0113636363636364	0.0113636363636364	0.147727272727273	0.0303030303030303	0.0227272727272727	0.0340909090909091	0.0454545454545455	0.0113636363636364	0.0227272727272727	0.0113636363636364	0.102272727272727	0.25	0	0.0444444444444444	0.0540540540540541	0.0795454545454545	0.0113636363636364	0.0795454545454545	0.0113636363636364	0	0	0.0169491525423729	0.0909090909090909	0.261363636363636	0.0681818181818182	0.0227272727272727	0	0.0340909090909091	0.02	0.0795454545454545	0.0681818181818182	0.0227272727272727	0.0810810810810811	0	0.0568181818181818	0.181818181818182	0.0113636363636364	0.0113636363636364	0.25	0.0227272727272727	0.0795454545454545	0.0113636363636364	0.024390243902439	0.0909090909090909	0.0795454545454545
"HALLMARK_DNA_REPAIR"	0.00662251655629139	0	0.0133333333333333	0.00662251655629139	0.0465116279069767	0.0181818181818182	0.0113636363636364	1	0.0132450331125828	0.0198675496688742	0.0606060606060606	0.0132450331125828	0.00662251655629139	0.00662251655629139	0.0196078431372549	0.00662251655629139	0.0309278350515464	0.0204081632653061	0.0198675496688742	0.00662251655629139	0.0222222222222222	0.027027027027027	0.00662251655629139	0.0087719298245614	0.00943396226415094	0.0198675496688742	0.0993377483443709	0.0529801324503311	0.0169491525423729	0	0.0132450331125828	0.0132450331125828	0.00662251655629139	0.0264900662251656	0.00662251655629139	0.06	0.0662251655629139	0.0264900662251656	0.00689655172413793	0.027027027027027	0.0132450331125828	0.0143884892086331	0.0198675496688742	0.00884955752212389	0.0285714285714286	0.0132450331125828	0.0147058823529412	0	0.00662251655629139	0.024390243902439	0.00704225352112676	0.0140845070422535
"HALLMARK_G2M_CHECKPOINT"	0.025	0.015	0.0266666666666667	0.195	0.0465116279069767	0.0363636363636364	0.0113636363636364	0.0132450331125828	1	0.0246913580246914	0.121212121212121	0.005	0.015	0.04	0.00980392156862745	0.01	0	0	0.015	0.01	0.0222222222222222	0.0540540540540541	0	0.0526315789473684	0.0377358490566038	0.045	0.365	0.145	0.101694915254237	0.01	0.015	0.005	0.0188679245283019	0	0.035	0	0.005	0.0188679245283019	0.0620689655172414	0	0.015	0	0.02	0	0.019047619047619	0.015	0.0808823529411765	0	0.01	0	0	0.00704225352112676
"HALLMARK_APOPTOSIS"	0.179012345679012	0.0925925925925926	0.12	0.0432098765432099	0.116279069767442	0.109090909090909	0.147727272727273	0.0198675496688742	0.0246913580246914	1	0.0909090909090909	0.0432098765432099	0.037037037037037	0.0555555555555556	0.0588235294117647	0.0555555555555556	0.0618556701030928	0.0816326530612245	0.111111111111111	0.0123456790123457	0.0888888888888889	0.027027027027027	0.0864197530864197	0.0263157894736842	0.0660377358490566	0.0617283950617284	0.0432098765432099	0.0123456790123457	0.0169491525423729	0.111111111111111	0.0987654320987654	0.0432098765432099	0.0188679245283019	0.037037037037037	0.0555555555555556	0.12	0.12962962962963	0.132075471698113	0.0551724137931034	0.162162162162162	0.0308641975308642	0.0719424460431655	0.0802469135802469	0.0353982300884956	0.0666666666666667	0.111111111111111	0.0220588235294118	0.0555555555555556	0.0185185185185185	0.024390243902439	0.0704225352112676	0.0422535211267606
