Well	Case	Label	Site	Habitat	IF_index_file	CD8	FoxP3	CD4FoxP3	CD4	Cell_counts
A01	10	omentum green	omentum	green	23	5216	430	81	2340	41027
A01	10	omentum green	omentum	green	24	4956	404	47	761	33929
A01	10	omentum green	omentum	green	25	2485	197	58	1824	20667
A01	10	omentum green	omentum	green	26	1826	195	52	680	11491
A01	10	omentum green	omentum	green	27	1961	183	49	892	19348
A01	10	omentum green	omentum	green	28	498	23	3	356	9281
A01	10	omentum green	omentum	green	29	1919	130	19	553	11621
A02	10	omentum blue	omentum	blue	44	293	33	15	335	5307
A02	10	omentum blue	omentum	blue	45	3014	520	209	2189	34678
A02	10	omentum blue	omentum	blue	46	3408	315	128	2125	40722
A02	10	omentum blue	omentum	blue	47	1501	327	170	1521	17640
A02	10	omentum blue	omentum	blue	48	10835	1011	146	3525	80657
A02	10	omentum blue	omentum	blue	49	4929	190	42	2046	36848
A02	10	omentum blue	omentum	blue	50	38	2	2	42	1210
A03	10	paracolic gutter yellow	other	yellow	2	4437	689	77	1234	88073
A03	10	paracolic gutter yellow	other	yellow	3	4972	617	164	2692	74359
A03	10	paracolic gutter yellow	other	yellow	4	2573	256	46	1003	47051
A03	10	paracolic gutter yellow	other	yellow	5	3376	643	145	1709	62420
A03	10	paracolic gutter yellow	other	yellow	6	9200	1637	465	6125	90968
A03	10	paracolic gutter yellow	other	yellow	7	4027	1952	259	3456	72907
A03	10	paracolic gutter yellow	other	yellow	8	6291	1505	463	5293	46174
A03	10	paracolic gutter yellow	other	yellow	9	6624	2206	379	5739	79805
A03	10	paracolic gutter yellow	other	yellow	10	3173	400	145	1900	63929
A03	10	paracolic gutter yellow	other	yellow	11	3402	304	43	1092	79902
A03	10	paracolic gutter yellow	other	yellow	12	2403	225	26	601	76669
A03	10	paracolic gutter yellow	other	yellow	13	764	35	10	192	23719
A03	10	paracolic gutter yellow	other	yellow	14	1782	118	33	627	58127
A03	10	paracolic gutter yellow	other	yellow	15	1900	426	160	1293	22300
A03	10	paracolic gutter yellow	other	yellow	16	1528	108	5	421	32136
A03	10	paracolic gutter yellow	other	yellow	17	4351	443	98	1729	56750
A03	10	paracolic gutter yellow	other	yellow	18	4535	636	101	1165	83912
A04	10	RAY right ovary yellow	ovary	yellow	79	1031	73	17	736	21101
A04	10	RAY right ovary yellow	ovary	yellow	80	1162	2	0	871	24091
A04	10	RAY right ovary yellow	ovary	yellow	81	1076	2	0	764	20212
A04	10	RAY right ovary yellow	ovary	yellow	82	750	62	34	501	14269
A04	10	RAY right ovary yellow	ovary	yellow	83	1189	71	11	464	19743
A04	10	RAY right ovary yellow	ovary	yellow	84	914	6	3	458	23583
A04	10	RAY right ovary yellow	ovary	yellow	85	948	1	0	343	21563
A04	10	RAY right ovary yellow	ovary	yellow	86	371	15	4	197	22517
A04	10	RAY right ovary yellow	ovary	yellow	87	148	3	2	98	14358
A04	10	RAY right ovary yellow	ovary	yellow	88	733	7	4	523	24851
A04	10	RAY right ovary yellow	ovary	yellow	89	1149	116	50	816	14566
A04	10	RAY right ovary yellow	ovary	yellow	90	503	87	41	425	19478
A04	10	RAY right ovary yellow	ovary	yellow	91	1857	8	0	653	30187
A04	10	RAY right ovary yellow	ovary	yellow	92	1450	197	88	917	23072
A04	10	RAY right ovary yellow	ovary	yellow	93	1997	55	10	1404	15959
A04	10	RAY right ovary yellow	ovary	yellow	94	634	30	22	414	7648
A04	10	RAY right ovary yellow	ovary	yellow	95	183	3	0	83	3137
A04	10	RAY right ovary yellow	ovary	yellow	67	453	58	18	408	9406
A05	10	RAB- right ovary central blue	ovary	blue	55	380	0	0	168	18438
A05	10	RAB- right ovary central blue	ovary	blue	56	193	3	0	62	18506
A05	10	RAB- right ovary central blue	ovary	blue	57	221	0	0	51	15902
A05	10	RAB- right ovary central blue	ovary	blue	58	203	0	0	110	15583
A05	10	RAB- right ovary central blue	ovary	blue	59	123	0	0	24	8901
A05	10	RAB- right ovary central blue	ovary	blue	60	216	0	0	38	12727
A05	10	RAB- right ovary central blue	ovary	blue	61	131	0	0	88	13104
A05	10	RAB- right ovary central blue	ovary	blue	62	290	1	0	72	14921
A05	10	RAB- right ovary central blue	ovary	blue	63	224	0	0	119	10093
A05	10	RAB- right ovary central blue	ovary	blue	64	155	2	1	52	5114
A05	10	RAB- right ovary central blue	ovary	blue	65	340	2	0	316	12243
A05	10	RAB- right ovary central blue	ovary	blue	66	81	0	0	90	3296
A05	10	RAB- right ovary central blue	ovary	blue	68	302	0	0	77	14509
A05	10	RAB- right ovary central blue	ovary	blue	69	124	1	0	82	7452
A05	10	RAB- right ovary central blue	ovary	blue	70	244	147	1	130	13850
A05	10	RAB- right ovary central blue	ovary	blue	71	279	0	0	95	11771
A05	10	RAB- right ovary central blue	ovary	blue	72	277	0	0	186	14193
A05	10	RAB- right ovary central blue	ovary	blue	73	203	0	0	113	13282
A05	10	RAB- right ovary central blue	ovary	blue	74	262	0	0	90	13188
A06	10	RAG- right ovary inf	ovary	green	34	1582	145	68	1114	25050
A06	10	RAG- right ovary inf	ovary	green	35	1048	29	5	412	21516
A06	10	RAG- right ovary inf	ovary	green	36	352	31	10	158	7823
A06	10	RAG- right ovary inf	ovary	green	37	1754	258	129	2123	18436
A06	10	RAG- right ovary inf	ovary	green	38	145	12	3	85	1573
A06	10	RAG- right ovary inf	ovary	green	39	68	0	0	62	8013
A07	6	omentum blue ovary white	omentum	blue	37	703	205	103	1055	35553
A07	6	omentum blue ovary white	omentum	blue	38	1968	425	219	2968	44983
A07	6	omentum blue ovary white	omentum	blue	39	174	142	84	518	55903
A07	6	omentum blue ovary white	omentum	blue	40	1075	544	297	2186	65756
A07	6	omentum blue ovary white	omentum	blue	41	167	103	48	349	41833
A07	6	omentum blue ovary white	omentum	blue	42	114	63	28	163	30479
A07	6	omentum blue ovary white	omentum	blue	43	1522	498	200	2377	56885
A07	6	omentum blue ovary white	omentum	blue	44	145	207	90	507	23182
A07	6	omentum blue ovary white	omentum	blue	45	55	25	7	57	7862
A07	6	omentum blue ovary white	omentum	blue	46	19	5	2	41	9139
A07	6	omentum blue ovary white	omentum	blue	47	257	158	47	1121	13923
A07	6	omentum blue ovary white	omentum	blue	48	963	1559	548	2393	42530
A07	6	omentum blue ovary white	omentum	blue	49	1890	2078	540	3963	76181
A07	6	omentum blue ovary white	omentum	blue	50	487	166	72	1326	12924
A07	6	omentum blue ovary white	omentum	blue	51	891	436	210	1608	56875
A07	6	omentum blue ovary white	omentum	blue	52	717	419	193	1721	58003
A07	6	omentum blue ovary white	omentum	blue	53	1596	429	191	2199	64049
A08	6	ovary blue ovary yellow pouch yellow	ovary	yellow	21	1262	226	149	2636	27431
A08	6	ovary blue ovary yellow pouch yellow	ovary	yellow	22	1922	233	130	3417	59178
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	3	150	28	21	903	13538
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	4	18	1	1	273	10061
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	5	65	10	5	1127	25370
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	6	360	67	34	2469	52191
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	7	341	63	29	2160	57626
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	8	68	12	7	491	8236
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	9	56	11	6	336	10867
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	10	40	3	3	1034	5288
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	11	87	17	12	413	4904
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	12	212	29	20	2978	57810
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	13	217	63	35	2969	64624
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	14	120	15	12	800	25552
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	15	283	46	34	1952	38103
A09	6	ovary blue ovary yellow pouch yellow	ovary	blue	16	267	37	22	1609	46472
A10	6	omentum blue ovary white	ovary	green	58	552	119	62	2113	66092
A10	6	omentum blue ovary white	ovary	green	59	637	120	57	2361	110299
A10	6	omentum blue ovary white	ovary	green	60	259	463	108	749	77027
A10	6	omentum blue ovary white	ovary	green	61	449	371	41	954	54856
A10	6	omentum blue ovary white	ovary	green	62	512	65	45	1997	79548
A10	6	omentum blue ovary white	ovary	green	63	92	12	4	1291	57402
A10	6	omentum blue ovary white	ovary	green	64	441	46	26	1204	66507
A10	6	omentum blue ovary white	ovary	green	65	278	55	24	1167	23474
A10	6	omentum blue ovary white	ovary	green	66	29	3	1	108	40662
A10	6	omentum blue ovary white	ovary	green	67	97	6	4	327	47610
A10	6	omentum blue ovary white	ovary	green	68	72	15	7	314	27003
A10	6	omentum blue ovary white	ovary	green	69	29	4	0	173	13571
A10	6	omentum blue ovary white	ovary	green	70	201	35	24	834	34990
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	20	1383	560	215	2238	71087
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	21	849	305	139	1634	20818
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	22	584	267	114	1314	25379
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	23	2501	1231	256	2091	96379
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	24	953	518	94	871	52920
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	25	258	169	35	265	26670
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	26	2622	899	245	3041	56650
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	27	2262	1132	248	2048	58600
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	28	894	515	219	1685	44487
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	29	911	448	218	1871	40102
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	30	3515	1042	331	4850	48934
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	31	1283	618	141	1116	43096
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	32	1924	925	387	4464	60110
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	33	576	220	97	1129	24901
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	34	3225	948	379	5209	53083
A11	1	1_1Omentum; 1_4 Yellow	omentum	blue	35	1120	416	138	1601	35904
B01	1	1_2 Blue primary tumor	ovary	blue	40	3312	648	73	2509	44154
B01	1	1_2 Blue primary tumor	ovary	blue	41	4262	914	143	4046	56004
B01	1	1_2 Blue primary tumor	ovary	blue	42	2452	550	70	2141	35031
B01	1	1_2 Blue primary tumor	ovary	blue	43	2362	437	59	1857	27939
B01	1	1_2 Blue primary tumor	ovary	blue	44	1563	354	60	1281	21789
B01	1	1_2 Blue primary tumor	ovary	blue	45	755	273	97	1845	9224
B01	1	1_2 Blue primary tumor	ovary	blue	46	4176	1013	261	4077	47315
B01	1	1_2 Blue primary tumor	ovary	blue	47	2573	1065	318	3885	45273
B01	1	1_2 Blue primary tumor	ovary	blue	48	2177	1122	266	3671	41208
B01	1	1_2 Blue primary tumor	ovary	blue	49	3866	1515	496	6158	44982
B01	1	1_2 Blue primary tumor	ovary	blue	50	4349	1080	291	8459	53005
B01	1	1_2 Blue primary tumor	ovary	blue	51	7151	2320	825	15803	72136
B01	1	1_2 Blue primary tumor	ovary	blue	52	4070	1681	537	9579	51168
B01	1	1_2 Blue primary tumor	ovary	blue	53	1151	313	160	4408	12684
B01	1	1_2 Blue primary tumor	ovary	blue	54	4491	1304	343	6625	72364
B01	1	1_2 Blue primary tumor	ovary	blue	55	3224	647	121	3343	41236
B01	1	1_2 Blue primary tumor	ovary	blue	56	1592	745	104	2178	39783
B01	1	1_2 Blue primary tumor	ovary	blue	57	5244	1737	456	9934	62326
B01	1	1_2 Blue primary tumor	ovary	blue	58	4261	1735	537	7250	49814
B01	1	1_2 Blue primary tumor	ovary	blue	59	3830	1294	174	2600	47815
B01	1	1_2 Blue primary tumor	ovary	blue	60	2346	615	47	1371	37609
B01	1	1_2 Blue primary tumor	ovary	blue	61	4139	945	165	4068	47539
B01	1	1_2 Blue primary tumor	ovary	blue	62	3844	1260	110	2772	53037
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	4	1067	199	79	2223	42670
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	5	139	35	18	221	25802
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	6	45	19	4	113	35375
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	7	389	109	36	735	21891
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	8	287	64	27	608	26524
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	9	142	67	22	280	63309
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	10	684	183	51	1168	90028
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	11	180	45	16	399	16829
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	12	178	90	29	312	64378
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	13	1972	386	103	2770	89899
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	14	1232	253	88	2390	75654
B02	1	1_1Omentum; 1_4 Yellow	ovary	yellow	15	689	117	40	1061	45160
B03	1	1_3 Green primary tumor (middle)	ovary	green	67	319	58	7	761	79509
B03	1	1_3 Green primary tumor (middle)	ovary	green	68	1289	244	70	2347	71693
B03	1	1_3 Green primary tumor (middle)	ovary	green	69	6315	1141	609	16511	78988
B03	1	1_3 Green primary tumor (middle)	ovary	green	70	446	74	22	1050	63142
B03	1	1_3 Green primary tumor (middle)	ovary	green	71	153	24	8	501	39133
B03	1	1_3 Green primary tumor (middle)	ovary	green	72	1744	336	144	3460	81839
