"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"
"activated_Dendritic_cells"	-0.0667545093980554	0.0973842831919869	-0.0726844444336998	0.0840603708453379	-0.0391563240405365	-0.039136877502721	0.0310788568168089	0.0473592055844133	0.00922567212342996	0.0356382954061559	-0.0737278844313014	0.0418507400295909	-0.0804694451912761	-0.0980963290118323	-0.0212064711822467	-0.04589559280902	0.0883413083722042	-0.0518062975981153	0.0861608623928265	0.130777135901794	-0.065656009086283	-0.0471682511659934	0.0749926138957527	-0.0314735926620222	-0.0350292457047719	0.0926045380986653	0.0146954439311444	0.0998059229411122	-0.138728448645961	-0.117435748601109	-0.0968846774925269	-0.00645050954813809	-0.119003087471937	-0.116554199052588	-0.173622561959411	-0.139019417855033	-0.116839550922165	-0.128145119734775
"B_cells"	-0.00308045933119238	0.0186239215411366	0.0227155703707883	0.0295155337301572	-0.0105519277879445	-0.0577186538800999	0.0185816613009175	-0.0339569714962806	-0.0730868971875061	0.037612169222782	0.0218212568811443	0.0759117353641021	0.00811173879277429	0.0597666737953891	0.04047438888411	0.0546590494589353	0.0663748651190705	0.0206664082943465	0.0675524528627321	-0.0125030375231973	-0.0537733671386848	-0.0300636975348763	-0.0384683185120674	0.0208883059714734	0.0856790823995466	0.0647864640830009	0.0358508077528912	0.0203736152648679	-0.0476711271501248	0.00381039950008144	-0.0495096255043002	-0.00210096515661743	0.0235615923513564	0.102752711429054	0.051442693715438	-0.00562776789531278	0.0255649453645425	-0.031133715372989
"CD8_T_cells"	0.0951005124342185	0.0994305269308901	0.0940883060807753	0.0742919528389375	0.0935169705397756	0.0897749893642196	0.0538629725305286	0.0599207466896476	0.0822848011476337	0.087483348128828	0.0807569203120779	0.0857429540323081	0.0824484102130203	0.0642393581905379	0.0954046043824854	0.0982303385422556	0.0917570142279796	0.0843599873361085	0.0767135359334532	0.082291788870605	0.102083966015199	0.0624115888060944	0.0747506261367635	0.0659877527283959	0.0638052946647924	0.0864999061476392	0.0904070320883372	0.0892072154718266	0.0816296600561296	0.0993386429491081	0.109381701515177	0.0842708613011196	0.0667632322138072	0.0905013705726147	0.104727427382376	0.0915416570300311	0.109278828517553	0.0981242118255782
"Citotoxic_cells"	0.103809255033658	0.112686392821018	0.0841479113278144	0.0297708062631632	0.0379281736216738	-0.0240880479863649	-0.0628507096655135	-0.0419381126194231	-0.103344902238863	-0.00991099249834734	0.0322873583980551	0.0793219747606424	-0.0889903134199414	-0.025134388361262	-0.039791276158742	-0.0241272324140348	-0.0239535176766251	0.0267073542806359	0.043714072669006	-0.0111517946806753	-0.028299619551743	-0.0583979514136397	-0.0437924547224347	0.0375489530496593	-0.00152420919410811	0.0130090968093409	-0.0106283171796544	-0.0114874743173567	-0.0664244072515966	-0.0234452362122716	-0.0393890479609628	-0.0536734645084597	-0.0470910795420312	0.0563075149831318	0.00855268660823111	-0.00712243286613668	-0.0127387106483011	-0.0611034096531495
"Dendritic_cells"	-0.176476427752972	-0.136052028008907	-0.175691922281504	-0.145137870644984	-0.110276254321022	-0.11966672491993	-0.147890807104503	-0.109404500808902	-0.114896146300178	-0.138777614368196	-0.187322174511121	-0.114364590212733	-0.111953443446269	-0.084787248170524	0.0540598480210717	0.00177810637517515	-0.0154694590480445	-0.0587105868332757	-0.00976420522681031	-0.0171387820038471	-0.0635959803787158	-0.0678908038797159	-0.118933420838504	-0.0193889567455537	0.0130388931826151	0.0284110010397419	-0.0755950385219279	-0.0554363656228595	-0.10204748706257	-0.0173481622387962	0.0141466625017326	-0.0653687384002565	-0.129734700172841	-0.0325807649668954	-0.0578197888034008	-0.0851363655396474	-0.08762304050162	-0.0500317075980162
"Eosinophils"	-0.0342220125294002	0.00753860320194527	-0.00761045289226893	0.0225044547359387	-0.00266983799254618	-0.0126726863743275	0.0192626613098785	-0.00409993372972474	-0.00688978570127509	-0.0104962926467504	0.0211710363090669	-0.038018401136135	-0.0365250131328899	0.0272311150595726	0.0455698295971615	0.0354848641245956	0.0225290735601087	0.00616033430425642	0.011010117237534	0.0152103082487928	-0.0219932646575466	-0.0277268909401337	-0.0157625437013776	-0.0387771243974166	0.00544210996855307	0.0045392305431569	-0.0215137785442203	-0.0226951600053425	0.00246724900675582	0.0396820382049131	0.0480872196850973	0.0147910307420476	0.0183554459527466	0.0152681322184077	0.00821976928003252	-0.0168154328853696	-0.0402363108901179	-0.0371424086785981
"immature_Dendritic_cells"	0.0330661347684101	0.0701411938866773	0.0983850687134265	0.070774449415976	0.0443346709289259	0.00269757485096157	0.00988852295917457	-0.0245383491946712	0.0078213661565031	0.0478070975472212	0.049877333503798	0.0612058328597117	0.0161173090204143	0.0383055430986627	0.0238209957247757	0.0338388882537888	0.0405816937094532	0.0529612713416711	0.0534353748972227	-0.0153100793339564	0.000985723727855311	-0.0268971025775047	-0.0293589488894684	0.0363484387024109	0.0424968062406414	0.0175330151511214	0.0131465572306502	0.0186489906820259	0.0321612369658436	0.0672763359313455	0.065551872481797	0.0540438579541342	0.0414679139497283	0.0662331328591499	0.0748225751848196	0.0207055873153241	0.0317641334944293	-0.0237796391175203
"Macrophages"	0.173286200340739	0.208466639034975	0.226472545368659	0.157651292373937	0.188873494178192	0.188810063659327	0.108945241979952	0.144929802005507	0.137606982559474	0.0781137439910025	0.170861178416237	0.149708331651833	0.0558554634971341	0.0590868875183148	0.0678781351028391	0.0903000378508758	0.147084801381727	0.213863855539372	0.171184841516554	0.149362570426448	0.17712685929763	0.166185591452446	0.171651607551502	0.175879769512048	0.130734044146567	0.20621464136627	0.138266307223864	0.137675141447728	0.155458362161493	0.182365609799374	0.164164094209068	0.189422341317121	0.173368280275938	0.219002706670109	0.225649504983195	0.219248591801593	0.201364928189821	0.149458173000025
"Mast_cells"	-0.16928708115163	-0.181063887009798	-0.137479469185857	-0.183029932092027	-0.174625014824726	-0.114667328613834	-0.187861549474692	-0.152197885672297	-0.203866408297468	-0.185551550088395	-0.180826043346945	-0.208464579821515	-0.198519725363624	-0.203000909846746	-0.191646597248039	-0.181838855597664	-0.185405472983669	-0.157537392918081	-0.164382701890468	-0.162917620518301	-0.174121943008257	-0.137620054238297	-0.127864813492932	-0.150365601655773	-0.197531143477065	-0.111546981987087	-0.17852268870411	-0.177493751451102	-0.162490159049591	-0.168113506515962	-0.16586124471003	-0.177378532672953	-0.174729422333812	-0.176057898227107	-0.133882750017314	-0.140229702219087	-0.139634541030909	-0.181040782478953
"Neutrophils"	-0.115161140141969	-0.114372434637489	-0.0716941228326441	-0.150046024640367	-0.171121220212234	-0.123152284504215	-0.133136273684528	-0.137888804379921	-0.119572450160009	-0.151001319378385	-0.123045035485852	-0.0800140918872711	-0.166379550823341	-0.164448656936427	-0.114903760868914	-0.123828653588128	-0.107470882530705	-0.0317017846990993	-0.0883933599386298	-0.0997437396318531	-0.118069998862938	-0.100851688439362	-0.10919029726027	-0.13862073007892	-0.127160208304735	-0.0490008733469896	-0.107104245017278	-0.120100958358351	-0.133725585608037	-0.0835007765779658	-0.106789795806748	-0.069539981719248	-0.0907708620255071	-0.0815556363725228	-0.0619382855997865	-0.00441078525155956	-0.0402123858902403	-0.0823589578795829
