Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-04-1348-01	0.000795188998287116	0.000830412516491547	0	0.0258683731192545	0	0.0380028073370469	0	0.0435193845276963	0.0268319007005834	0	0.0062645584710654	0.0113722156916697	0.00515562470188919	0.104983428299238	0.0242371099526439	0.0621975255194042	0	0	0	0.0142336381640964	0	0	0.00900000000000001	0.272048150990387	0.984897032814429	0.364292167999367
TCGA-04-1357-01	0.015474450784067	0	0	0.0831006764290529	0	0.120940103535803	0	0.0535918949440678	0.0528996991112674	0	0	0.0128578361450129	0.0064483879156899	0.0576225857650231	0.0623433662850863	0.124706843019138	0.0010350949815057	0	0.0146002524902563	0	0	0	0.00600000000000001	0.304837527995122	0.963617509313348	0.605621191405971
TCGA-04-1362-01	0.00868444143817503	0	5.75131102722511e-05	0	0	0.0499750612340307	0	0.0105177683513884	0	0	0.000664066230734162	0.0110741441963555	0.0164858589295236	0	0.00450223964258031	0.0587449280346917	0	0.0175178414496845	0	0.00199806744229925	0	0	0.402	0.0362002593705941	1.07413115658553	0.180221930059735
TCGA-04-1364-01	0.0180397232910273	0	0.00102301296478513	0	0	0.00429713365925115	0	0.0016513013673037	0.00284000266245691	0	0	0	0	0.017076282720068	0	0.00559646810118955	0	0	4.55217588012508e-05	0	0	0	0.557	0.0145246097344929	1.11839267398825	0.0505694465248831
TCGA-04-1365-01	0.00174726634760484	0.000229028130152206	0	0	0	0.0723253067275672	0	0.0489442297604283	0.0200261422464605	0	0.0144091464222586	0.000698127678580354	0.00381122510462229	0.0805488401349335	0.0546990404213134	0.0349427696542318	0	0	0.00267627237310117	0	0	0.000605261003813901	0.01	0.26327081322739	0.992149615692349	0.335662656005068
TCGA-04-1514-01	0	0	0	0	0	0.0185805298140133	0	0.0164392409952382	0.00583691050965051	0	0	0.00157139117437591	0.00714260686977638	0.0137868546270354	0	0	0	0	0	0	0.00324175826854785	0	0.436	0.0305870737638174	1.09789561931101	0.0665992922586376
TCGA-04-1519-01	0.00428225443102088	0	0	0.000276034476395442	0	0.0200630830843251	0	0.00292688960621876	0.00457081499388491	0	0	0.00095879931351297	0.00307307719788546	0.00861200096830908	0	0.00283263168451583	0	0.00544053158117106	0.0117160634659677	0	0	0	0.328	0.0473822070649262	1.0631904434827	0.0647521808032073
TCGA-09-0364-01	0.00917280029865338	0	0.000382072617833516	0.00126546651572537	0	0.0067330608294971	0	0.00970595835385353	0	0	0	0.00431243254762586	0.00353965370790739	0.0039781957179168	0	0.000520511378464437	0	0	0.0031477578350711	0	0.00141557937763361	0	0.506	0.0200364337488582	1.08371979850396	0.0441734891801821
TCGA-09-0366-01	0	0.00374339116807679	0	0	0	0.0593088232925331	0	0.0154800665027719	0.00723991078296063	0	0.00652821837506832	0.01726464680473	0.0429354752762231	0	0	0.159425294620261	0	0.002418705489496	0	0.0116106891026311	0	0.00438625568287886	0.046	0.170943427535098	1.03205624616123	0.330341477097631
TCGA-09-0367-01	0.00348601232018599	0.00116244280670016	0	0.0110353381940466	0	0.0308742559733155	0	0.0039216864164769	0.0268779992758218	0	0.00247049295059697	0.00895125899559873	0.00176405379324984	0.0243329912237093	0.0186382881784371	0.054136272482118	0.00491141347958045	0	0	0.00339919421904336	0	4.86916012290722e-05	0.109	0.114453757434036	1.049763645236	0.19601039191011
TCGA-09-0369-01	0.00259100163363329	0	0.000330960457776306	0	0	0.018846287638309	0	0.000881746936031299	0.00196834333319411	0	0.00743023954308738	0	0	0.0437158775364448	0.00243774578331566	0.0513349899029246	0	0	0.00282799719867515	0	0	0	0.118	0.107146600494862	1.09450351204341	0.132365189963392
TCGA-09-1659-01	0.00219945775370013	0	0.000856306159854687	0.017287643789647	0	0.0211275062640008	0	0.00467315866269698	0.013999974399159	0	0	0.0133058454658896	0.0094370528205559	0.0651542623981034	0.000379431401761355	0.0742594249212663	0	0.0187633064123728	0.003194424924245	0	0	0	0.083	0.133862184443453	1.05707133754601	0.244637795373253
TCGA-09-1662-01	0	0.00130931115074434	0	0.0135984025787923	0	0.0489588946409142	0	0.00595423438012252	0.0231578597451359	0	0.00414825021772323	0.0143769841871997	0.0250391812636257	0.0897515229169298	0.00752892481901797	0.0562989963212325	0	0	0.00152522148333687	0	0	0	0.071	0.143932655550079	1.04956983535651	0.291647783704775
TCGA-09-1666-01	0.0246438069203212	0	0.000894961460832547	0.0223033115479266	0	0.0341177142714656	0	0.0210045357076264	0.0106192761482811	0	0.00956144931271832	0	0	0.0304464103818105	0.0400198489119616	0.0751829417913759	0	0.0111049118451249	0.00580465653790749	0	0	0	0.044	0.174880247319382	1.0239598797003	0.285703824837352
TCGA-09-1667-01	0.0149679878562987	0	0.000657486954461785	0.00963671294521337	0	0.0801035961815462	0	0.0365505461595924	0.0155192987635786	0	0.0142453357598015	0.0130496559133487	0.00728933676815692	0.0780681244726389	0.0562278438900115	0.0488282386869504	0	0	0.00638214506055969	0	0	0	0.017	0.230961374418626	1.00227382654832	0.381526309412159
TCGA-09-1668-01	0.0330682514416527	0	0.00247435724933569	0	0	0.0791782701697523	0.00508909049107097	0.0344059599586645	0.0175490035783859	0	0.0114725190140074	0	0	0.0888095605503133	0.0507438352678826	0.0375546570261561	0	0.017755952465807	0.000297356666640254	0	0	0	0.152	0.0925470326350729	1.06522892718456	0.378398813879669
TCGA-09-1669-01	0.0288963525131557	0	0.0103057973131527	0.0408842801693376	0	0.0546018188386158	0	0.0360008643903312	0.0245468801617434	0	0.0018957931392954	0	0.0062037810435206	0.0326700103464252	0.0237046871068336	0.0612632238029767	0	0	0	0.000604703810400207	0	0	0.07	0.144571791582845	1.02982571624789	0.321578192635788
TCGA-09-1670-01	0	0.000554224141510233	0	0.0114222254046744	0	0.036330023503406	0	0.00778830443268565	0.00658776304101241	0	0.00118859701422294	0.00252767189482532	0.00828690026528332	0.00542709410275855	0.00767327808680978	0.0705204721738005	0	0	0.0308227275214206	0	0	0	0.246	0.0632125417896324	1.06221591976644	0.18912928158241
TCGA-09-1673-01	0	0.000822351117952932	0	0.0101116756991935	0	0.0581952556812974	0	0.0176724312901004	0.00171754783190444	0	0	0.00471101925192529	0.0114408970340553	0.0186983416850097	0.00327849511269417	0.00362618738699376	1.45227601603625e-05	0	0.0173003943503689	0	0.000756726353535733	0.00111943666836401	0.265	0.0577338809597437	1.07634142500359	0.149465282223556
TCGA-09-1674-01	0.0151529180911318	0	0.000175888014297804	0	0.00401090783054253	0.00440875310497993	0	0.0245360463460916	0.00570820110753019	0	0	0.0029701533482937	0.00485513510142905	0.0363905657115569	0	0	0	0	0	0	0.00196097251440997	0	0.863	-0.0194742302907149	1.12088281196928	0.100169541170263
TCGA-09-2044-01	0.00293514948359451	0.0032337281454446	0	0.0157051576630101	0	0.045255600700365	0	0.0152176094452265	0.0226732383509877	0	0	0.0174188437458203	0.00930393236196278	0.0215640696893994	0.0166363510427674	0.104214861412415	0	0	0	0	0	0.00121157196280255	0.092	0.127156076586794	1.04578993101696	0.275370114003795
TCGA-09-2045-01	0.00799306254779191	0	0	0.00397199391887292	0	0.0186283768482543	0	0.0119280529168595	0.00973224730430164	0	0	0.00536385363511453	0.00628604518134016	0	0.000946657086647076	0.0484269633005892	0	0.0242000928136501	0.00204545642060529	0	0	0.000450273705068251	0.365	0.0414165410954677	1.07250588223468	0.139973075679095
TCGA-09-2048-01	0.000169112649870912	0	0	0	0	0.0360124081556466	0	0.00319979340030792	0.0163582810749117	0	0.00962865620250163	0	0.00739451545518389	0.0171134450589296	0.00060294182420953	0.00799749178641307	2.62344419821788e-05	0	0.0179609069540186	0	0.00183029680107408	0	0.556	0.0148106815096287	1.08226204784063	0.11829408380505
TCGA-09-2051-01	0.0278762997419859	0	0.00192772739847383	0.00256925928847649	0	0.0337832321534569	0	0.033190554393744	0	0	0.00747381359388823	0.0114686528030978	0.00678824639423652	0	0.00469550511300668	0.0843029366181765	0	0.0517746214126063	0.0107068728428137	0	0	0.00297984206249772	0.17	0.0862221591096415	1.04976621622338	0.27953756381646
TCGA-09-2054-01	0.0161427083993865	0	0.00414070704744051	0.0110030921924065	0	0.0139199281736593	0	0.026603327383108	1.53764491291183e-05	0	0.00608398795475693	0.00398507268884811	0.0101214884626797	0.0268005168917794	0.0125444236393224	0.0489482797159576	0	0	0.00175583912746156	0	0	0	0.474	0.0238268277916355	1.07800790283203	0.182064748125936
TCGA-09-2056-01	3.08088445961325e-05	0.00302088445303656	0	0.0208859792499055	0	0.0565150725891852	0	0.0140760870046514	0.0293397895400787	0	0	0.00210281673127881	0.00759417034981802	0.0187628749349698	0.0231526610241486	0.0469382030663772	0.000255875136403383	0.0026493611451028	0	0.0284175438681106	0	0.00162007668908438	0.25	0.0613063533318269	1.06883805179661	0.255362204626747
TCGA-10-0928-01	0.0188021869914881	0	0	0	0	0.0166683939874866	0	0.00787083531813337	0.00717482614566109	0	0	0.0100293542439808	0.00169732828687455	0.0158969618768526	1.25033774107299e-05	0.0160578810537965	0	0.00848998431808776	0	0	0	0	0.556	0.0147708225994992	1.0841669976727	0.102700255599772
TCGA-10-0936-01	0.0170414117980794	0	0.0147900460485577	0.0287725307862431	0	0.0306967219254221	0	0.0400777564105834	0.0206296755972336	0	0.0164644391428637	0	0.00485795021429946	0	0.0193631894697839	0.0397668193188347	0	0.0184445147473947	0	0.00149900398792558	0	0	0.254	0.0604908549980518	1.06621154811265	0.252404059447221
