Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
A01	0.0215574981632845	0	0.315502224747475	0	0	0.0883242080691479	0.0335679565834822	0	0	0.0277759508540419	0	0.0319693168561369	0.0187935173356793	0.0158930250035783	0.0145600028760033	0.00285592703248492	0.0144501882312081	0	0.0414633714644414	0	0.0191435897196072	0.0180944948781602	0	0.742259400586354	0.689898861590305	0.663951271814731
A02	8.26469774782669e-05	0	0.241359979528146	0	0	0.116493440476444	0.00796258221807086	0	0	0.102854172477746	0	0.012342236419416	0	0.0100699466740601	0.04102012513074	0.0047459993285521	0.00260605394079033	0.0279725387414823	0.0383708202578347	0	0.0233814652862103	0.00777094148402929	0	0.594326492839915	0.807266355030052	0.637032948940999
A03	0	0	0.28678624925531	0	0	0.188859532885855	0.0280379875044211	0	0	0.0404056870256058	0	0.00866142507925955	0.0213748795469008	0.00208248818527032	0.0145143540883791	0.00542495656847663	0.00685880075941664	0	0.027098620914094	0	0.00473554831541108	0.0157911323193048	0	0.685774267489608	0.740759463102534	0.650631662447706
A04	0	0.0271274554168931	0.292470543116211	0	0.0326084867532047	0.0523686731082532	0	0	0.00518019008518433	0	0	0.023151790796693	0.0186873421594483	0	0.00947374162434693	0.0375412371862659	0	0.0524313262337109	0.0199162347017048	0	0.00321493068034669	0.00598430197176184	0	0.673853535156231	0.74216508421968	0.580156253834025
A05	0	0.0175318364777711	0.298348479979239	0	0.0136840910805365	0.104441989157579	0.0326777900350249	0	0	0	0.000849110519907031	0.00958890929313114	0.0268786444999585	0.000230080270347963	0.0300386540528823	0.0144600556052002	0	0.00341574426761465	0.025481127973029	0	0.0147413859435837	0	0	0.76154109340279	0.668640800178277	0.592367899155805
A06	0	0.00677558025253197	0.319304846138576	0	0.0184094028281612	0.0432452008185077	0.030126550653675	0	0.00565227296431104	0.00051174172804834	0	0.02087896686826	0.0219915888046878	0.0266944000849254	0.00402273797961172	0	0.0236858764256547	0.026257898958211	0.0273197931656764	0	0.0289788604028687	0.000579356661566195	0.00600000000000001	0.36956487425399	0.959471634197161	0.604435074735273
A07	0.0118015807219895	0.00221077154939643	0.150021191248841	0.0133560757416293	0.0120800933645461	0.165450143824502	0.0210903830260921	0	0	0	0.00694651543647217	0.0219476293481538	0.0380396764014474	0	0	0.0198048896161611	0.00289846408424634	0.00509911554831202	0.0534972788279331	0	0.0239557859882612	0	0.084	0.104466118647465	1.05181466807869	0.548199594727984
A08	0.00449724080653849	0	0.261369645755639	0	0.0704059695405521	0.0628881195608068	0	0	0	0	0	0.0341671415818897	0.0294250832588529	0.00931967148337916	0.021045281327074	0	0	0.0360980608681073	0.0213403606644767	0	0.00220478215634018	0	0.00600000000000001	0.365654240288063	0.953924329550995	0.552761357003656
A09	0.00749990621143009	0	0.0698010231651759	0	0	0.188618145130914	0.046156467983014	0	0.0044994031374225	0	0.0312186314005497	0	0.0362537965312145	0.0226608869082235	0.00718069352575748	0	0.00324353489979073	0.0613334286642553	0.0161582709758689	0	0.01894320604985	0.00107734396190077	0.994	-0.0471065712148174	1.09589269682067	0.514644738545368
A10	0.0171574366806309	0	0.309944547347934	0	0.0532925014085855	0.0202589929924304	0	0	0	0	0	0.0240025311693935	0.0203573409416514	0.0281647067417068	0.0144554954886462	0	0.014770265957036	0.0175859359208623	0.0137554370011472	0	0.00681709531712551	0	0	0.679888425689079	0.734301531008368	0.54056228696715
