Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
A01	0.0324684944188192	0	0.47518882505509	0	0	0.133028148026191	0.0505578617113472	0	0	0.0418343213322325	0	0.0481500950645933	0.0283055671906649	0.0239370352588361	0.0219293244761885	0.00430141059098963	0.0217639288372962	0	0.0624494194447622	0	0.0288328233294642	0.0272527452635248	0	0.742259400586354	0.689898861590305
A02	0.000129737366984956	0	0.378881469050198	0	0	0.182868783585059	0.0124994825327447	0	0	0.16145816735026	0	0.0193745652245047	0	0.0158075758731166	0.0643924701209438	0.00745016303543142	0.00409092488092276	0.0439106623730903	0.0602336508992544	0	0.0367036984901324	0.0121986492173563	0	0.594326492839915	0.807266355030052
A03	0	0	0.440781268123976	0	0	0.290271045487331	0.0430934876408273	0	0	0.0621022451837001	0	0.0133123325825781	0.0328525043900992	0.00320071755720573	0.0223080967713367	0.00833798427218819	0.0105417568115476	0	0.0416497113161505	0	0.00727838589593954	0.0242704639671206	0	0.685774267489608	0.740759463102534
A04	0	0.046758877867158	0.504123744566034	0	0.056206386706526	0.0902664976239922	0	0	0.00892895672665853	0	0	0.0399061298463851	0.0322108777350084	0	0.0163296380272361	0.0647088382451635	0	0.0903744911602915	0.034329087327916	0	0.00554149103642419	0.0103149831312064	0	0.673853535156231	0.74216508421968
A05	0	0.0295961960510623	0.503654030551657	0	0.0231006627807448	0.176312709224152	0.0551646874882901	0	0	0	0.0014334175115112	0.0161874222198679	0.0453749174090354	0.000388407728838539	0.0507094562276095	0.0244105996050892	0	0.00576625484345538	0.0430157137301712	0	0.0248855246285154	0	0	0.76154109340279	0.668640800178277
A06	0	0.0112097734491988	0.528269882879353	0	0.0304572047481262	0.0715464780687123	0.0498424924577213	0	0.00935133184781938	0.000846644659515283	0	0.0345429438842616	0.0363837072398878	0.0441642141575204	0.00665536820703791	0	0.0391868000645537	0.0434420503636579	0.0451988878667271	0	0.0479437107708561	0.00095850933505131	0.004	0.36956487425399	0.959471634197161
A07	0.0215278902711437	0.00403278581497932	0.273661623780079	0.0243635272081086	0.022035939976461	0.30180639572818	0.0384720879564991	0	0	0	0.0126715077925569	0.0400358365077673	0.0693901943147598	0	0	0.036127151144627	0.00528724229663934	0.00930156752640832	0.0975872279775734	0	0.0436990217042172	0	0.089	0.104466118647465	1.05181466807869
A08	0.00813595369784278	0	0.472843556163985	0	0.127371366772454	0.113770832139394	0	0	0	0	0	0.061811740544055	0.0532328877299907	0.0168602080541558	0.0380729967108298	0	0	0.0653049646302762	0.0386068244353333	0	0.00398866912168319	0	0.004	0.365654240288063	0.953924329550995
A09	0.014572977531313	0	0.135629528366436	0	0	0.366501648620832	0.0896860776493592	0	0.00874273610595917	0	0.0606605470966021	0	0.0704443158861102	0.0440320967280731	0.0139527192020918	0	0.0063024736422226	0.119176247361652	0.031396941940065	0	0.0368083157779726	0.00209337409131173	0.986	-0.0471065712148174	1.09589269682067
A10	0.0317399809315103	0	0.573374345233909	0	0.0985871613567154	0.0374776292776443	0	0	0	0	0	0.0444028962953757	0.0376595656642406	0.0521026113377724	0.0267415908160176	0	0.0273238927560139	0.0325326726352462	0.0254465347154029	0	0.0126111189801515	0	0	0.679888425689079	0.734301531008368
A11	0	0.0408117393531283	0.695848272510279	0.0256265083375533	0	0.0184531539569377	0	0	0.012336932130444	0	0.0227386881285527	0.0138224946984426	0.0268198612998074	0.0102244433375375	0.025435656305063	0.00669807105668656	0.00241986974768163	0	0.049012704358113	0	0.0239307280978074	0.0258208766819664	0	0.72748598776235	0.690398788167183
B01	0.0652944188076631	0	0.444374537217348	0	0.0471055978948882	0.139057897717526	0.0183149066331329	0	0	0.109979776902592	0	0	0	0.0148013555302187	0.0284703619296474	0.0435518484425712	0	0.0211160024745557	0.0301865066366982	0	0	0.0377467898131585	0	0.628102395088751	0.779258309791621
B02	0	0.0278519451967995	0.541159798984631	0	0.0234156504415388	0.183990262147009	0.0132848208991313	0	0.0323927322298132	0	0	0.0045080391233459	0.0383021192991624	0.0460715020009505	0.0222876068913733	0	0	0.015606373022712	0.000388243441353977	0	0.0507409063221797	0	0	0.792942923315652	0.630064211120746
B03	0.0389293640576692	0	0.523054351785417	0.00865074038800231	0.0101569518299861	0.0403717502391067	0.0662363634365613	0.02221392425269	0	0	0.0059415472890867	0.0200992145895642	0.0140564978076245	0.0366943953742522	0.0246086638262789	0.0225846486590019	0.0536522324930858	0.0199933397316965	0.0595180015750243	0	0.0332380126649519	0	0	0.811915758440672	0.616337364001979
B04	0.0230786103509338	0.00134642361893382	0.202506706542459	0.0357705679305685	0.0783387049802688	0.425529175554683	0.0429623267396429	0	0	0	0	0.0402334523473989	0.090765014671134	0	0	0.023022547731379	0	0	0.00347419966962265	0	0.032972269862975	0	0.318	0.0196184969457003	1.10312682691977
B05	0.0706318492660521	0	0.244578269008357	0	0	0.34892253880036	0.0568757376414128	0	0	0	0	0.0747365550875521	0.050409672677112	0.0428833661491021	0.0320000532760976	0	0	0	0.0567387717634368	0	0.0222231863305175	0	0.193	0.0524353265902201	1.08064506741956
B06	0.0501295496513906	0	0.273183917321418	0.00467811212343579	0.053014481042007	0.37772501619689	0.0263509242476441	0	0	0	0	0.0406709442808268	0.0663562906492549	0.0134421785019699	0.00805196913302753	0.0472545457483241	0	0.00341477699104392	0.000582146942694394	0	0.0351451471700737	0	0.144	0.0720392433889999	1.07973515107927
B07	0	0	0.365345910087404	0	0	0.226236504199507	0.0886854242089844	0	0	0	0.00238162979089761	0.0205186298852927	0.0239449802898031	0	0.0379736089502056	0.0877265115331872	0	0	0.0728950388195853	0	0.00504611728301435	0.0692456449521197	0.017	0.239866776424057	0.997653721455391
B08	0	0	0.454011669083401	0	0	0.203080576247013	0.0862251124273351	0	0	0	0	0.0272502269422187	0.0162509293218845	0	0.0181389741483237	0.0525460317053663	0	0.0425750192277055	0.061483808552393	0	0	0.0384376523443591	0.00600000000000001	0.332920025107251	0.965385666018719
B09	0.0244239280312709	0.00428992555764946	0.186572314132766	0	0.112446712912631	0.385532090726525	7.79900947660689e-05	0	0	0	0.00511529642835265	0.0650139105283402	0.0657242009816539	0.0249493615664346	0.0302609889364584	0.00876825653086646	0	0.00755964397223343	0.0461660710175961	0	0.033099308582456	0	0.01	0.287322532886906	0.973381645735533
B10	0.042670298568695	0	0.158393767578501	0	0.0521335414410329	0.505552717411966	0	0	0	0	0	0.0523701968388068	0.117499457533462	0	0	0.0394125250494374	0.00174550820064887	0.0013113675176588	0	0.0053443102260719	0.02356630963372	0	0.004	0.390257376044828	0.92534298705697
B11	0	0.0286063927256438	0.187889491467122	0.00548510834880732	0.031427424508898	0.505712057780602	0.0116882503702789	0	0	0	0	0.0338650410856823	0.0795151420985833	0.0122965442223023	0.0132994829676931	0.0205187362715801	0	0.0298397864373703	0	0.00580328964059305	0.0340532520748442	0	0.005	0.360647340257828	0.93941742276253
B12	0.00243783233219225	0	0.200018746766259	0	0.116484315663233	0.440571925936645	0.023395752589549	0	0	0	0	0.0423332975803468	0.0627080012932567	0	0.0428707969185826	0.00906456704825949	0.0068348921392167	0.00331390182131679	0.0215913901497129	0	0.0283745797614296	0	0.004	0.391460291817897	0.924368347900572
C01	0.0541220832507634	0	0.43702848328176	0.0237251493634993	0.0169630730600897	0.263880270877295	0.026776132101429	0	0	0	0	0.0286603938801605	0.0473586006754935	0	0.0394635324752512	0.0176747599319753	0.0134971548510258	0.00392695799710863	0	0	0	0.0269234082541488	0	0.678448562923803	0.741589473961267
C02	0.000874935821825402	0	0.571959099656405	0	0.025801511353677	0.0624142748580149	0.0333697362088267	0	0	0	0	0.0426080926797897	0	0.0425126171793278	0.0583378381602985	0.003067803578289	0.000669493880413243	0	0.0650268071940974	0	0.0661803305084838	0.0271774589205516	0	0.742580907239669	0.676685317959361
C03	0.0364654297286113	0	0.405600767417463	0.000911146011017982	0.166281456060792	0.113752419008271	0.0359889447483404	0	0	0	0.0547168680672777	0	0.0684979558488656	0	0.0587533528689429	0.0103876718244592	0	0.00607727085753954	0.0132661382212448	0	0.0293005793371743	0	0.027	0.182072673012904	1.04600437401629
C04	0.0089353469276382	0	0.503578412948477	0	0.0601866243270133	0.0965886306641078	0.0344695392288422	0	0	0	0.0138577985347308	0.00247849428982719	0.050907548804028	0.0325143528827881	0.0636617570282226	0.068986739393794	0	0.00422668790226841	0.0319480712529936	0	0.0276599958152686	0	0	0.731630644540052	0.69724741670693
C05	0.0122074625379636	0	0.351268747927552	0	0.0118536816887664	0.279849272599342	0.0437756432225654	0	0	0	0	0.0485943028957449	0.053078413247135	0	0.0860730128557879	0.0567798503834169	0	0.016677552205143	0.0335217737884393	0	0.00632028664814306	0	0.001	0.461136408227714	0.887502988723217
C06	0	0.121173201342574	0.0773215511551299	0	0.0788148810789061	0.288724605458442	0.132617334377339	0	0	0	0.0190566318985178	0	0.0849115648382389	0	0.0374937077164861	0.0172766804255204	0.0990693522158972	0	0.0115537080404734	0	0.0298391231064121	0.00214765834606297	0.283	0.0273731600440318	1.06635632171584
C07	0	0.0253097080837437	0.258316725292687	0.00523184302657064	0.0609278342791209	0.334829288550255	0.0397600924811314	0	0	0	0	0.0573922978333682	0.0889873783254185	0	0	0.0541183013438045	0.0114643435388554	0.0117753122751471	0.0319181280290611	0	0.0199687469408363	0	0.157	0.0660376874599128	1.07057894239704
