B_cells	Cytotoxic_cells	Dendritic_cells	Endothelial	Eosinophils	Fibroblasts	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Monocytes	NK_cells	Neutrophils	Plasma_cells	T_cells_CD4	T_cells_CD8	T_cells_gamma_delta	T_regulatory_cells
BLNK	CTSW	BCL2A1	CD93	ABHD2	ABCA6	ACTR2	ACTR2	AIF1	ATP6V1C1	AIF1	APOBEC3G	BCL2A1	CD27	AIM2	BCL11B	APOBEC3G	CCR7
CD1C	GZMA	BIRC3	CDH5	BCL2A1	ASPN	ATG7	CCL19	ATP6V1C1	CCL4	AKAP13	CCL4	C5AR1	CD38	ARHGAP15	BIN2	CCL4	CD2
CD37	GZMB	CCL19	EMCN	CCL4	COL3A1	ATP6V1C1	CCL4	CLEC10A	CD84	C5AR1	CCR5	CSF2RB	CYBA	BATF	CCL4	CCR2	CD247
CD53	GZMH	CCL4	ERG	CCR1	DCN	BCL2A1	CCR1	CLEC4A	LCP2	CCR2	CD2	CSF3R	ENTPD1	BCL11B	CCR5	CCR5	CD27
CD69	KLRB1	CCR2	KDR	CD69	GREM1	C5AR1	CCR7	FGR	MMP9	CD244	CD244	FCGR3B	HSPA6	CCL4	CCR7	CD2	CD37
CD80	KLRK1	CCR5	PCDH12	CSF2RB	ISLR	CCL19	CD38	HCK	SAMSN1	CD37	CD247	FPR1	MTDH	CCR2	CD2	CD244	CD3E
FAIM3	NKG7	CCR7	RAMP3	GMIP	LMOD1	CCR1	CD40	HLA-DQA1	STAP1	CLEC10A	CRTAM	HCK	RGS1	CCR7	CD244	CD247	CD7
GMIP	PRF1	CD1C	TFEC	GPR65	PRKG1	CD80	CD80	ITGAX		CLEC4A	CST7	HPSE	SEC24A	CD2	CD247	CD300A	CXCR6
GPR18		CD80		LRMP	SGCD	CD84	CD84	LILRA2		CLEC5A	CTSW	HSPA6	TMED9	CD247	CD27	CD96	FAIM3
HLA-DQA1		CD86		NCF2	TCF21	CLEC5A	CSF1	MMP19		CLEC7A	CX3CR1	IL18RAP	TNFRSF17	CD27	CD300A	CHST12	GPR171
IL4R		CLEC10A		RGS1	WISP1	CSF1	CSF1R	MMP9		CSF1R	CXCR6	LILRA2		CD37	CD3E	CST7	ICOS
IRF8		CLEC4A		RNASE2	WNT2	CSF1R	CXCL10	MS4A6A		CSF3R	GZMA	LILRB2		CD3E	CD3G	CXCR6	IL10RA
KIAA1033		CLEC7A		SAMSN1		CXCL9	CXCL11	NCF2		CX3CR1	GZMB	LST1		CD3G	CD7	GMIP	IL2RA
LILRB1		CLIC2		THBS1		CYBA	CXCL9	NCKAP1L		CYBB	GZMH	MNDA		CD69	CD96	GPR171	IL2RB
LTB		CSF1R				CYBB	CYBB	NPL		FGL2	GZMK	NCF2		CD7	CHST12	GZMA	ITGB7
SEC24A		CXCL10				FGR	EBI3	PILRA		FGR	IL18RAP	NRBF2		CD96	CRTAM	GZMB	ITK
STAP1		CXCL9				GRB2	HCK	RNASE6		FPR1	IL2RB	P2RY13		CRLF3	CST7	GZMH	LCK
TNFRSF17		EBI3				HK3	HK3	SLAMF8		HCK	KLRB1	PDE4B		CTSW	CTSW	GZMK	LTB
		FGL2				IGSF6	IGSF6	SLC15A3		HK3	KLRK1	S100A12		CXCR6	CX3CR1	IL18RAP	RGS1
		GRB2				IL17RA	IL17RA	SLC31A1		HSPA6	LAG3	TREM1		FAIM3	CXCR6	IL2RA	
		GZMB				ITGAX	IRF8	TFEC		IL10RA	LTB	VNN2		GIMAP4	FAIM3	IL2RB	
		HCK				LILRA2	LILRB1	TPP1		IL17RA	NKG7			GIMAP6	GIMAP4	ITGAL	
		HK3				LILRB1	MMP19	TREM2		IQGAP1	PRF1			GPR171	GIMAP6	ITGB7	
		HLA-DQA1				MMP19	NECAP2			KIAA1033	SERPINB9			GPSM3	GPR171	ITK	
		IL10RA				MMP9	PILRA			LILRA2				GZMA	GPR65	KLRB1	
		IL2RA				MS4A6A	PLEKHB2			LILRB1				GZMB	GZMA	LAG3	
		ITGAX				NCF2	SIGLEC1			LILRB2				GZMK	GZMB	LCP2	
		KYNU				NCKAP1L	SLAMF8			LILRB3				ICOS	GZMH	MTDH	
		LILRB1				NECAP2	SLC11A1			LST1				IKZF1	GZMK	NKG7	
		LILRB2				PILRA	SLC31A1			MNDA				IL10RA	IL10RA	PRF1	
		MNDA				PLA2G7	TFEC			MS4A6A				IL16	IL16	PTPN7	
		MS4A6A				PLEKHB2	TNFAIP6			MYO1F				IL2RA	IL18RAP	PVRIG	
		NCF2				SIGLEC1	TPP1			NCF2				IL2RB	IL2RB		
		NECAP2				SLAMF8	TREM2			NCF4				ITGB7	ITGAL		
		NFKB1				SLC11A1				P2RY13				ITK	ITK		
		NR4A3				SLC31A1				PILRA				KLRB1	KLRB1		
		PDXK				STAB1				PLEK				LCK	KLRK1		
		PLA2G7				TFEC				PPM1F				LTB	LAG3		
		RHOG				TPP1				RGS19				MBNL1	LCK		
		RNASE6				TREM2				RHOG				NECAP2	LTB		
		SAMSN1								RNASE2				NFKB1	MMP19		
		SEC24A								S100A12				PTGER2	MYO1F		
		SIGLEC1								SAMSN1				PTPRCAP	NFKB1		
		SLAMF8								SLC11A1				PVRIG	NKG7		
		STAB1								STAB1				RGS1	PRF1		
		TFEC								TLR2				SAMSN1	PTPRC		
		TNFAIP6								TREM1				SELPLG	PTPRCAP		
		TRAF1								VASP				STAP1	PVRIG		
		TREM2								WAS				TRADD	RGS1		
														TRAF1	RHOG		
														TRAF3IP3	SEC24A		
														TRAT1	TMC6		
														ZAP70	TRADD		
															TRAF3IP3		
															WAS		
															ZAP70		
