"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"
"B_cells"	0.0384793059085086	0.154999040762301	0.131586200172481	0.0886229602924772	0.0387722921708557	-0.0175123755062936	-0.0470782743033588	-0.0866474144308893	-0.199374319352537	-0.0544478854606147	0.0805245516095129	0.191133316223076	-0.149097692965055	0.0179507767739121	-0.0759525426843909	0.0257648933885343	0.0204015042233328	0.0511266084495845	0.0809399278721682	0.0460585037526176	-0.0423772459269649	-0.0482086237959684	0.0101888711828665	0.117433420049056	0.118997198806024	0.208823217188363	0.0704547194528276	0.0691231270713589	0.0125042319796213	0.11489017244178	-0.0362478005417993	0.0162776847945585	-0.0128816951046704	0.144749197439163	0.120450882073269	0.104526961392086	0.0831516192114817	-0.0658805777178432
"Cytotoxic_cells"	0.210148185437325	0.187567388583157	0.153687492194725	-0.144163488353757	0.00385763954871811	-0.155173498009904	-0.290250973524252	-0.17045350525768	-0.4168591098357	-0.319622841450895	-0.219982481654662	0.240997643934447	-0.371884585606627	-0.212845703150967	-0.297073417621658	-0.241617529532304	-0.24794423025063	0.0078781503526566	-0.062377531388262	-0.201449173822632	-0.188969833591296	-0.230491063416744	-0.351917226987211	0.032863517834581	-0.136693655505701	-0.16734416737797	-0.184278071762495	-0.0951283535814685	-0.345900628865839	-0.25087811703054	-0.304830752589427	-0.221868087977329	-0.305614095686478	-0.00397125995186294	-0.00266925991369115	-0.0750719175212044	-0.0861884708653889	-0.243335223188142
"Dendritic_cells"	0.189096408834709	0.226787123082069	0.275279756192939	0.0443184492680321	0.0940006761374963	0.0926517420411082	-0.0106088999110377	0.0145402374352451	-0.0538044307404501	-0.0206961655144318	0.115113725348346	0.276293711531733	-0.136044733655408	0.00900730177521897	-0.0524878791246846	0.0219300857991726	-0.00509182239045848	0.15761655699197	0.137995434660859	0.0792596150322481	0.127927479604183	0.0999056576716278	0.0899802264304081	0.200074419939506	0.133794314150985	0.214389671932628	0.0966360453250522	0.137753052120493	0.0249789639131426	0.133931215373885	0.0309415491790469	0.0758470837616949	0.023800261268878	0.168762595429688	0.151664723572347	0.143298500764267	0.211832189651142	0.00296101493813615
"Endothelial"	0.157806362824019	0.16323869347568	0.208535334089098	0.0168653216373371	0.032349665963584	0.0524941634215453	-0.086342815136644	0.00158811585402388	-0.0450862790347191	-0.0307385935182508	0.0484096512868887	0.17489784388106	-0.131389148679908	-0.120556915581805	0.0206066477702131	-0.056940268691419	0.036707694462784	0.17689405053543	0.0716020814585182	0.116051154483775	0.0687600383467506	0.139642722190297	0.22168596091542	0.263437518516568	0.0568952909337676	0.108645602133701	0.174570335656436	0.0244786465518562	0.037815596506642	0.16182852375226	0.0849502470737386	0.0954823880063773	-0.0774383837646779	0.132625284737298	0.166421319311193	0.091700455891814	0.119398750971009	-0.119858918248663
"Eosinophils"	0.200823248844545	0.197689981351608	0.271949701949135	-0.0223616170200754	0.0830340116837548	0.0790100558990677	-0.0555548961029385	-0.0112773523295062	-0.0487839100656511	-0.12814387133922	0.0547563754862384	0.192304736343851	-0.266414196354862	-0.133677195053639	-0.0843687004214856	-0.0332052425201464	-0.0346409582241701	0.136438625783209	0.008477672816566	0.0607598480806473	0.0960572259348185	0.172393892449093	0.131422102072702	0.0980519042576749	0.0143733965006283	0.267179176061485	-0.0211282527595803	0.0221124586561858	0.0297106621161534	0.0806486526489159	-0.0481870504900749	0.134062425484443	0.0321381943507766	0.166386690376914	0.158939876593672	0.207948719246818	0.205483461909021	-0.0541832787937245
"Fibroblasts"	0.132615135905318	0.216635040954846	0.215501862667745	0.015345751748358	0.0972430802976788	0.165751052185578	0.0295773885486369	0.00300865322023686	0.102905959948781	0.0202942493491799	0.124737410849851	0.169549214702741	-0.145281323374994	-0.0774029571406758	-0.0909005857713107	-0.0202045353410562	0.182446526769553	0.165668001728504	0.0425305703300278	0.0696916944653981	0.250008402199535	0.0584580811313359	0.0179883578189564	0.277682293345699	0.133060459865262	0.129794519741885	0.157512993582717	0.0319058921769994	0.3200294416987	0.508936830624272	0.508142379264008	0.285816426482192	0.151558321979389	0.262584049109533	0.258942887098693	0.240886045419124	0.192880739885832	0.0985437407900943
"Macrophages"	0.25430657633367	0.324191250529506	0.297194321025545	0.23746257665741	0.20947649414552	0.197897575522303	0.154468290778149	0.126212618011129	0.130728286378506	0.0932655278250781	0.261779791268901	0.342298717416773	0.0671880144687416	0.138864180842264	0.0855775549547189	0.150849210504644	0.154050164147904	0.26948827917753	0.237184436489803	0.243982955705274	0.204488003245793	0.216025914929177	0.218358600401718	0.298061213115496	0.282935179420032	0.333685543047584	0.265717752405943	0.280451435388873	0.167903035256652	0.251003746071551	0.136577534592677	0.221389142741007	0.187811009835474	0.295179954721267	0.277941928629457	0.279376693925272	0.318565507731937	0.132329284650222
"Macrophages_M1"	0.105808047091418	0.243754201274128	0.141092175674179	0.125193827508824	0.0492070879306373	0.0436291197411184	0.00331952865731097	-0.0256716681700554	-0.0109242136613545	-0.0761316841679351	0.112449191640314	0.253411628011627	-0.113913951557969	0.0137084543738015	-0.067539571720186	0.00415712099562144	0.0345532379296229	0.134578081931439	0.128883303576527	0.132891182609657	0.0853428559611684	0.0771632683810118	0.0896326828283899	0.210968235232528	0.157701587912395	0.167177980384888	0.134509158459933	0.187060206400963	0.0111395493714572	0.11004296388856	-0.00783709056431201	0.0634835836505576	0.0276589332380412	0.143114456680054	0.156734817367313	0.117683022736059	0.177195743647075	-0.0457649806344293
"Macrophages_M2"	0.195547308514824	0.248203450349521	0.244863530477224	0.123689177162534	0.141662041026079	0.116015645247436	0.0666089576273753	0.0136176140733455	0.0276447078508569	-0.00213541265990977	0.173195912103851	0.308745309100048	-0.0549130725258838	0.103293429674463	0.0282968328282738	0.0760814126367327	0.0769436720846271	0.27478828255434	0.213567820064858	0.154659669534815	0.190654671948142	0.114129684362692	0.170135815476183	0.290521092716885	0.207749305844984	0.214291895913035	0.230098855035677	0.229688418249341	0.135796090703835	0.201154001688449	0.0976623666634473	0.157371463563175	0.139943993384587	0.252122392760285	0.265438901893037	0.251563272382531	0.358792100026948	0.062429545485458
"Mast_cells"	0.013774704425502	0.245784595886358	0.230612451809212	-0.0866458285884626	-0.0168002291416945	0.00221315128270099	-0.0981941389215545	-0.125305004068257	-0.192570529585151	-0.0597768315984308	0.0489118457538153	0.172167061539202	-0.193113533408921	-0.011393858901849	-0.154367358704503	-0.0517447279314403	-0.122356492799931	0.032521967586113	0.0920867624993393	0.00525417853856024	-0.0423172785002952	0.0304709799454146	-0.00489556485920538	0.142844206261992	0.0520514506739728	0.24643940617014	0.110695295792439	0.268047886576589	-0.104665094375	0.05604371034102	-0.120701319115613	0.115796826019915	-0.0101361667770522	0.136588251424662	0.184201304086726	0.0480758022734017	0.151731673547225	-0.11822698495879
"Monocytes"	0.117727870017372	0.159470152440504	0.216502005311882	0.0882107300844815	0.0709807389623984	0.0252321259593577	0.0575020066123026	0.000678047983985529	-0.0369021418391222	-0.0772302247100372	0.169387698303475	0.155999786280483	-0.117412000351056	-0.00418586363377156	-0.0097827772187952	0.0537577615807252	0.0426849649166152	0.135363018399963	0.158774791290415	0.101974237253374	0.0601805733608241	0.0662429385321831	0.121362842682512	0.117618813591207	0.111211087916774	0.244826779752916	0.0797923314659114	0.126927983194572	0.0220063501480146	0.178106537977424	0.0615130717460746	0.0967425523328521	0.0579817696305847	0.166414820631713	0.111087624125989	0.124914922129864	0.194087107610503	0.0105270763011354
"NK_cells"	-0.0151174003606396	0.0332449778099022	-0.00872006648020651	-0.251428613656053	-0.19278467304365	-0.248874225955186	-0.351189066107398	-0.285956042723143	-0.426461423820498	-0.379018752513222	-0.299479060101252	0.0936661922592437	-0.341428125691138	-0.292697710480179	-0.375486259046159	-0.348654282633961	-0.330822661796221	-0.179318629737622	-0.191271519273295	-0.333604853376847	-0.266497372707736	-0.254196514006524	-0.29914507126715	-0.0950094427439458	-0.226599218355589	-0.201294359279943	-0.240437720853737	-0.185129801385388	-0.378101491849738	-0.298281098304744	-0.370258770178915	-0.319605218819984	-0.32994073937405	-0.0954726399843054	-0.0182334035547079	-0.140699075302892	-0.111534426730344	-0.348447180278693
"Neutrophils"	0.127413252034538	0.0316101395416426	0.209621466276824	-0.09957493740482	-0.0528611109771781	-0.0166992680313083	-0.0872052456733449	-0.00676476324014299	-0.106734205919288	-0.177243026320876	-0.0242954699516399	0.151610909497341	-0.16183365658771	-0.153531579521489	-0.142733090817667	-0.133503615114031	-0.111625368738778	0.0891491301218483	-0.00601313945347715	-0.0450274733056943	0.0374886327139138	0.0044106500635574	0.0276209034324651	0.0311946302828726	-0.00621944323562978	0.167855021813286	-0.0805828840524521	-0.0224102043381265	-0.0719484750084487	-0.0277925231103401	-0.106777709370809	0.0657053990478878	-0.0778552443577916	-0.0130507992470568	-0.0136096812271807	0.0659459742241853	0.111092651502236	-0.0278228848613563
"Plasma_cells"	0.535331358976466	0.531357047451923	0.438543886963152	0.487097819474389	0.436364612323867	0.331768687588673	0.349640058963107	0.328983437819577	0.351514776526122	0.311369190153346	0.465900414078989	0.573538576179502	0.337283360461176	0.416197882994338	0.314032699584687	0.348148719863793	0.389838143917553	0.341038078395352	0.437382082955952	0.477255693823085	0.413460693062796	0.302177344688131	0.370833711503619	0.454248998714327	0.449244315501336	0.525196188134592	0.446360759601171	0.424338162211789	0.457048213054053	0.485838509283073	0.320825451996876	0.396350415161427	0.402528609064412	0.505763143842644	0.512907968475426	0.449310528179723	0.521563690828391	0.382782407275875
"T_cells_CD4"	-0.0423836555146616	0.0506944159067933	0.0043076824650644	-0.207399320322504	-0.165377236841413	-0.208818984993956	-0.255627886029932	-0.257013776705448	-0.333821028088417	-0.314090487990182	-0.151630718537675	0.118684095671357	-0.284927032791322	-0.234342107969899	-0.266854633649792	-0.218168559107931	-0.318663141428141	-0.133668177092451	-0.139466416402949	-0.213399345615373	-0.185520172577639	-0.184289555029277	-0.153902482260236	-0.1390049398922	-0.191728010889906	-0.105360507329447	-0.220620326776303	-0.174877449974695	-0.263730983168222	-0.148920023898444	-0.276320731932681	-0.170624386660696	-0.266694690222294	0.00264375690432642	-0.0447480942513745	-0.136003174157818	-0.058358098023483	-0.254172022213441
"T_cells_CD8"	-0.0176638693479946	0.0603638902586639	-0.000961696893754652	-0.153047148584536	-0.133177532910507	-0.183370827571693	-0.250568775683198	-0.248261619726432	-0.325777382171696	-0.280394035370951	-0.147978630720674	0.0883572838088385	-0.28921249481223	-0.221405545935647	-0.261039848554169	-0.17251783751587	-0.262314710354648	-0.0956114064948261	-0.11130126588708	-0.202228569486386	-0.198226137120309	-0.174961588274476	-0.180013314558858	-0.103113031976687	-0.14105780431441	-0.120287216826417	-0.183893124626904	-0.160700032244292	-0.250713980288281	-0.179655265008966	-0.287451143155615	-0.188185230283259	-0.219501684283774	0.00293518185739845	-0.00558306003359048	-0.0840185565480276	-0.045146964845499	-0.269410069180398
"T_cells_gamma_delta"	-0.038414280104145	0.0523368104359789	-0.00559553172820652	-0.151517403180001	-0.140391705148069	-0.208642185668733	-0.297564336585698	-0.266138403196176	-0.3675133579599	-0.289465315774212	-0.178195849317646	0.0857887888440683	-0.273237284974234	-0.184191010416587	-0.26594799058669	-0.22673675915911	-0.302548922244198	-0.136638949358406	-0.109833249150768	-0.158764746019737	-0.247985618484141	-0.158280856412207	-0.230387441717986	-0.109248615582087	-0.137283611441352	-0.128086361605957	-0.193136828032967	-0.147950549333783	-0.346151703171278	-0.189331315033341	-0.311886635580086	-0.237372307670915	-0.251333569052579	-0.0580347205911609	-0.0476899565729356	-0.156333810904695	-0.0514043505584118	-0.335890490366691
"T_regulatory_cells"	-0.108067833495846	0.0549633179070378	-0.0882098344442288	-0.11786220313779	-0.184318776606779	-0.183182871268874	-0.213260349778542	-0.254520959103039	-0.324164218532697	-0.332698806713131	-0.100113533224516	0.106420327831742	-0.290399117630412	-0.165131427624891	-0.278191232348635	-0.207999189316249	-0.321089431647616	-0.145777539776992	-0.0659609716212548	-0.15981566243122	-0.154160067003817	-0.203509218926372	-0.0572949731491173	-0.186494969643503	-0.179819679658152	-0.0298750850880152	-0.188934869043417	-0.192754146550296	-0.290273647906577	-0.119889442405253	-0.30681509767146	-0.224312099387282	-0.232094701939338	0.037717601677518	-0.0432703780164729	-0.188168119160171	-0.111134648062522	-0.293895192933341
