"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Endothelial"	"Eosinophils"	"Fibroblasts"	"Macrophages"	"Macrophages_M1"	"Macrophages_M2"	"Mast_cells"	"Monocytes"	"NK_cells"	"Neutrophils"	"Plasma_cells"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"
"B_cells"	1	0.111111111111111	0.315789473684211	0.111111111111111	0.2	0.0769230769230769	0.157894736842105	0.210526315789474	0.105263157894737	0.25	0.210526315789474	0.105263157894737	0.0526315789473684	0.272727272727273	0.315789473684211	0.157894736842105	0.105263157894737	0.210526315789474
"Cytotoxic_cells"	0.111111111111111	1	0.222222222222222	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.125	0.111111111111111	1	0.111111111111111	0.111111111111111	0.555555555555556	0.888888888888889	0.777777777777778	0.111111111111111
"Dendritic_cells"	0.315789473684211	0.222222222222222	1	0.222222222222222	0.333333333333333	0.0769230769230769	0.463414634146341	0.514285714285714	0.5	0.375	0.36	0.16	0.272727272727273	0.181818181818182	0.22	0.16	0.181818181818182	0.2
"Endothelial"	0.111111111111111	0.111111111111111	0.222222222222222	1	0.111111111111111	0.111111111111111	0.222222222222222	0.222222222222222	0.222222222222222	0.125	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0	0.111111111111111	0.111111111111111
"Eosinophils"	0.2	0.111111111111111	0.333333333333333	0.111111111111111	1	0.0769230769230769	0.266666666666667	0.2	0.133333333333333	0.375	0.266666666666667	0.133333333333333	0.266666666666667	0.181818181818182	0.333333333333333	0.2	0.2	0.133333333333333
"Fibroblasts"	0.0769230769230769	0.111111111111111	0.0769230769230769	0.111111111111111	0.0769230769230769	1	0.0769230769230769	0.0769230769230769	0.0769230769230769	0.125	0.0769230769230769	0.0769230769230769	0.0769230769230769	0.0909090909090909	0.0769230769230769	0	0.0769230769230769	0.0769230769230769
"Macrophages"	0.157894736842105	0.111111111111111	0.463414634146341	0.222222222222222	0.266666666666667	0.0769230769230769	1	0.714285714285714	0.666666666666667	0.5	0.365853658536585	0.04	0.227272727272727	0.181818181818182	0.0487804878048781	0.024390243902439	0.0303030303030303	0.05
"Macrophages_M1"	0.210526315789474	0.111111111111111	0.514285714285714	0.222222222222222	0.2	0.0769230769230769	0.714285714285714	1	0.375	0.375	0.257142857142857	0.08	0.0909090909090909	0.181818181818182	0.114285714285714	0.0857142857142857	0.0606060606060606	0.1
"Macrophages_M2"	0.105263157894737	0.111111111111111	0.5	0.222222222222222	0.133333333333333	0.0769230769230769	0.666666666666667	0.375	1	0.375	0.416666666666667	0.0416666666666667	0.181818181818182	0.0909090909090909	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.05
"Mast_cells"	0.25	0.125	0.375	0.125	0.375	0.125	0.5	0.375	0.375	1	0.25	0.25	0.125	0.125	0.5	0.125	0.375	0.125
"Monocytes"	0.210526315789474	0.111111111111111	0.36	0.111111111111111	0.266666666666667	0.0769230769230769	0.365853658536585	0.257142857142857	0.416666666666667	0.25	1	0.12	0.636363636363636	0.181818181818182	0.1	0.12	0.0909090909090909	0.15
"NK_cells"	0.105263157894737	1	0.16	0.111111111111111	0.133333333333333	0.0769230769230769	0.04	0.08	0.0416666666666667	0.25	0.12	1	0.0909090909090909	0.0909090909090909	0.48	0.88	0.76	0.3
"Neutrophils"	0.0526315789473684	0.111111111111111	0.272727272727273	0.111111111111111	0.266666666666667	0.0769230769230769	0.227272727272727	0.0909090909090909	0.181818181818182	0.125	0.636363636363636	0.0909090909090909	1	0.181818181818182	0.0454545454545455	0.0454545454545455	0.0909090909090909	0.05
"Plasma_cells"	0.272727272727273	0.111111111111111	0.181818181818182	0.111111111111111	0.181818181818182	0.0909090909090909	0.181818181818182	0.181818181818182	0.0909090909090909	0.125	0.181818181818182	0.0909090909090909	0.181818181818182	1	0.272727272727273	0.272727272727273	0.181818181818182	0.272727272727273
"T_cells_CD4"	0.315789473684211	0.555555555555556	0.22	0.111111111111111	0.333333333333333	0.0769230769230769	0.0487804878048781	0.114285714285714	0.0416666666666667	0.5	0.1	0.48	0.0454545454545455	0.272727272727273	1	0.611111111111111	0.515151515151515	1
"T_cells_CD8"	0.157894736842105	0.888888888888889	0.16	0	0.2	0	0.024390243902439	0.0857142857142857	0.0416666666666667	0.125	0.12	0.88	0.0454545454545455	0.272727272727273	0.611111111111111	1	0.727272727272727	0.75
"T_cells_gamma_delta"	0.105263157894737	0.777777777777778	0.181818181818182	0.111111111111111	0.2	0.0769230769230769	0.0303030303030303	0.0606060606060606	0.0416666666666667	0.375	0.0909090909090909	0.76	0.0909090909090909	0.181818181818182	0.515151515151515	0.727272727272727	1	0.45
"T_regulatory_cells"	0.210526315789474	0.111111111111111	0.2	0.111111111111111	0.133333333333333	0.0769230769230769	0.05	0.1	0.05	0.125	0.15	0.3	0.05	0.272727272727273	1	0.75	0.45	1
