"term"	"estimate"	"std.error"	"statistic"	"p.value"
"1"	"(Intercept)"	0.235673589274392	0.0351467137117676	6.70542319282287	1.07068925471191e-10
"2"	"B_cells"	0.0621962689404422	0.106659474759429	0.583129338305165	0.560265753108411
"3"	"Cytotoxic_cells"	-0.0464421413020969	0.0875247694061872	-0.530617122640644	0.596095894436808
"4"	"Dendritic_cells"	-0.349264789849682	0.223197689954124	-1.56482260153082	0.118730283221958
"5"	"Endothelial"	-0.0426487735603606	0.0441031527016892	-0.967023238652212	0.334349429565125
"6"	"Eosinophils"	-0.140688763967144	0.112022676877017	-1.25589539447979	0.210178892492858
"7"	"Fibroblasts"	0.126276294758088	0.0335597587201972	3.7627295181384	0.000203899407326665
"8"	"Macrophages"	-0.376375854282855	0.232123101671827	-1.62144935843125	0.106023192391766
"9"	"Macrophages_M1"	0.258445423812858	0.16755012500745	1.54249615630765	0.124058781495682
"10"	"Macrophages_M2"	-0.337705542819833	0.144289924484993	-2.34046517125288	0.0199471159189007
"11"	"Mast_cells"	0.147698387394162	0.0761722397466278	1.93900544194909	0.0534841553338596
"12"	"Monocytes"	0.355395405906726	0.229377408613786	1.54939149436954	0.122393463639849
"13"	"NK_cells"	-0.608923618679676	0.165530732530732	-3.6786136892533	0.000280127615753361
"14"	"Neutrophils"	0.394495248621808	0.115852043097856	3.4051643637272	0.000755913314927311
"15"	"Plasma_cells"	-0.0922013908830234	0.0876895695651276	-1.05145220053275	0.29393853709169
"16"	"T_cells_CD4"	-0.113547846274411	0.278862016700072	-0.407182905790056	0.684178238923628
"17"	"T_cells_CD8"	0.871984134804676	0.30541503225627	2.85507929443697	0.00461750869389542
"18"	"T_cells_gamma_delta"	0.195862468700343	0.19698748701431	0.994288884380331	0.320922718668764
"19"	"T_regulatory_cells"	0.273167668340403	0.157568498812164	1.73364390978963	0.0840589697482124
