"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"
"B.cells"	-0.218102606283089	-0.253354747971709	-0.253297051693613	-0.275943302906404	-0.278792670804376	-0.26363069567058	-0.288551989120021	-0.312244777558846	-0.303459878517365	-0.272237069457483	-0.265940756158075	-0.165425828114521	-0.261897908350774	-0.273340418837957	-0.229913913279476	-0.193769405019746	-0.170187692694972	-0.18797497089424	-0.202318922953109	-0.274487422004615	-0.296862011332116	-0.249755462960614	-0.248966932162668	-0.240967041669601	-0.304537047933342	-0.134783233641929	-0.255384060843249	-0.242020313833493	-0.267131756888491	-0.290818471117452	-0.29290030184892	-0.276432945672131	-0.296966513045191	-0.0997915917579398	-0.187578173920796	-0.201501926345169	-0.185654647797027	-0.206667530236424
"CD45"	0.495984349258649	0.490698791872598	0.490698791872598	0.373867380560132	0.453562602965404	0.456514277869303	0.285248489840747	0.360070016474465	0.305841570565623	0.405855299286107	0.438735584843493	0.497769082921472	0.366797089511258	0.419584019769357	0.360756452498627	0.375926688632619	0.3597954420648	0.478686161449753	0.435921197144426	0.41532811641955	0.446217737506864	0.405031576057111	0.436882207578254	0.467909115870401	0.432214442613948	0.397823997803405	0.43859829763866	0.455141405820978	0.434616968698517	0.472988742449204	0.403727347611203	0.444776221856123	0.418897583745195	0.490904722679846	0.481569192751236	0.487060680944536	0.485001372872048	0.386085941790225
"CD8.T.cells"	-0.442537889572953	-0.3363555622366	-0.4581093502159	-0.428232099147118	-0.372922237512094	-0.486213309591423	-0.436725396315972	-0.45148509690736	-0.484668558911601	-0.349809152620791	-0.447149261983793	-0.295557642505581	-0.430776557513309	-0.376998692655118	-0.414478916608206	-0.448844034475419	-0.439250437830429	-0.43960559544133	-0.476660501843789	-0.448517606078542	-0.394216520070252	-0.46694408777187	-0.484576926272215	-0.435542077092757	-0.462122893957835	-0.444719632904028	-0.461185035994326	-0.451607698257204	-0.403610358066345	-0.446924469532893	-0.496664504939729	-0.313031110037276	-0.360661576274484	-0.416611370582519	-0.356116908954308	-0.456775174483811	-0.336796214616556	-0.482211952403267
"Cytotoxic.cells"	0.059474071407198	0.0516545888327585	0.0377143086537374	-0.0973542510975962	-0.0279697280079505	-0.0835861229108514	-0.16986568979133	-0.0967879720997676	-0.184036529352909	-0.175764424305875	-0.0955837676274021	0.0421636163497499	-0.188369877245559	-0.14275971392636	-0.170233603645707	-0.145686020978746	-0.152340325483298	-0.00488435039562326	-0.0425899583320582	-0.129508202184087	-0.114342051770335	-0.136397338930443	-0.169436654553196	-0.00118428670585862	-0.0968111083146838	-0.106361206318003	-0.115827312407674	-0.0862559823136658	-0.187323458229837	-0.146273289390297	-0.172407165666224	-0.132487970275972	-0.163376153623687	-0.0374264129640676	-0.0382560586731056	-0.0539636401049487	-0.0662126063130638	-0.137392780329628
"DC"	-0.100556857302261	-0.0533494758316376	-0.114701928518592	-0.106830619844306	0.00650501358583065	-0.0667216174823981	-0.109517799174736	-0.0715755206421687	-0.0522457889798194	-0.0786815421267315	-0.161032575078802	-0.023262806016999	-0.157645057601183	-0.0738290019214826	-0.0985265021916166	-0.100913246759502	-0.098225784858458	-0.145996288691813	-0.10000270361998	-0.0334417256638077	0.00467737302088063	-0.05474442809145	-0.128735058666102	-0.0285574102711391	-0.0877122869138916	0.0323155562970636	-0.0612665405470368	-0.0461835688163096	0.0107426914825627	0.0757844078971981	0.044157806310105	-0.0199799711845856	-0.0631386041946404	0.00129931978195814	0.0480379746471265	-0.0427584793427639	-0.0449276333226123	-0.0378783412062822
"Exhausted.CD8"	-0.116216181639624	-0.107627337715495	-0.100590416377827	-0.160158612175601	-0.113306535016812	-0.142443917628478	-0.169353747104929	-0.0930123563231548	-0.182850985955604	-0.135820021792568	-0.159351207728068	-0.126945589454991	-0.112159244945383	-0.0340935111839981	-0.113229877643124	-0.129195804349314	-0.144772075176508	-0.174495313449951	-0.15545111488066	-0.163049611535818	-0.165784184875043	-0.120784859423131	-0.128905608728126	-0.150819332492603	-0.182805727654497	-0.12085718889482	-0.17253785620539	-0.116950882256464	-0.177813162029539	-0.15275584787913	-0.154694623150886	-0.139580475341638	-0.151034179772245	-0.0990210790193771	-0.122382415822765	-0.154278641503821	-0.166209865871798	-0.2079919583278
"Macrophages"	0.136323778303113	0.26801315645258	0.293607137457367	0.147951465874026	0.17641361126029	0.125100631528161	0.144455325425475	0.147522718166129	0.091859348984458	0.0744460813537971	0.20242993988937	0.213932084588963	0.00312164072912156	0.0228172092566278	0.0669197035956658	0.107652764001575	0.115330009444144	0.224946968082597	0.215251684611178	0.132223347204581	0.166272793441689	0.148258090972839	0.13482775081912	0.24931293229547	0.187870567502027	0.247950199705497	0.237382926913956	0.233689912613022	0.183069695728365	0.25284676197516	0.203348145613198	0.235882558912614	0.177557045042784	0.226073775858022	0.292266121638278	0.200858609466726	0.268146397340641	0.0824879221397185
"Mast.cells"	-0.31078107187977	-0.288674397336421	-0.206061383370117	-0.302122203573195	-0.298842854818138	-0.217664099112892	-0.282959575919932	-0.320618572839122	-0.325856407981724	-0.259798662647623	-0.258958460462527	-0.272862174688928	-0.333180665112946	-0.282432426093056	-0.311486201620095	-0.281129600141735	-0.323620890466101	-0.247668648538258	-0.298365830933584	-0.284895257025152	-0.204359605966857	-0.246169174534803	-0.150027182494036	-0.301975671619792	-0.270815789261761	-0.24602915052112	-0.322076658057369	-0.287019203177216	-0.341638314347785	-0.281258243976693	-0.29560101859496	-0.257964119930948	-0.299756868272125	-0.31410849792914	-0.203456544660607	-0.323656797605252	-0.155567917839162	-0.327093737521922
"Neutrophils"	-0.0942246048138622	-0.138786228238372	-0.0477181576267858	-0.217232484564476	-0.177171565985391	-0.157689578623407	-0.240920429902791	-0.189401328764196	-0.159472040118957	-0.245633626639231	-0.179512376675709	-0.120784098887685	-0.222206109893509	-0.250587633537401	-0.218145200946251	-0.231666553902591	-0.185683349797691	-0.091594745180498	-0.116143537005971	-0.229593113413275	-0.167382148144931	-0.21451186691549	-0.210168144768832	-0.136915596785827	-0.162711480807893	-0.144979122727831	-0.168506429419149	-0.157717629342097	-0.140525233688883	-0.154157345308846	-0.161331796408637	-0.0886574976387325	-0.180667141710132	-0.160334931107164	-0.102606529943912	-0.0915597613038741	-0.0618996524846538	-0.115325769589755
"NK.CD56dim.cells"	-0.335843998248722	-0.412935289271889	-0.262217902826705	-0.339700092724696	-0.231478026881505	-0.393444425932093	-0.342274844912367	-0.37017402373734	-0.321609793012414	-0.254733929246327	-0.337041587337004	-0.404227571577373	-0.2694709420295	-0.288117851218049	-0.454069107176404	-0.270799532333083	-0.299514473258295	-0.403973627002389	-0.380500462064942	-0.327474395054004	-0.410976384036198	-0.416483507303248	-0.239817577536774	-0.351261313030338	-0.346095146199064	-0.293174175411425	-0.31224654790096	-0.172632513727821	-0.205105943448763	-0.364051307266683	-0.306946950265661	-0.288110261802573	-0.306731431555593	-0.295507170903499	-0.391959529585401	-0.18603432156151	-0.477326586970012	-0.407553336755106
