"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"
"CD4_mature"	0.0317133036673928	0.0853478007681029	0.0592522809967441	-0.184142694769774	-0.0838548058130318	-0.0834498853172011	-0.265118585687038	-0.133826993465729	-0.149624592013658	-0.150042119069029	-0.0647817371983688	0.0928884617618721	-0.084035526757562	-0.210716704003953	-0.289724315037032	-0.254392382492442	-0.268324256402164	-0.124633865214173	-0.169289997452817	-0.09237860998499	0.00201324599768714	-0.244889647384735	-0.0867249976458163	-0.109076897608369	-0.196890683876641	0.0569259211756614	-0.0707502391591635	-0.118573050129499	-0.121493238013944	0.0803391528403827	0.0637955433489479	-0.16751562405988	-0.205370890249332	-0.0172499740642577	-0.0550117615966941	-0.0696409256845716	-0.0299695635079265	-0.188974770596442
"CD8_effector"	0.0578700907938089	0.327790538416058	0.16651727867063	-0.18325898597348	-0.11833172589149	-0.139489938513684	-0.134881851481721	-0.232374574454258	-0.32912037418897	-0.0685935729915616	-0.121072999387293	0.364466744291591	-0.0325410406253216	0.061962634957729	-0.199970939105788	-0.166308907183177	-0.232974886966164	-0.103514393808765	-0.114170116692054	-0.146359735515895	-0.0532659135421545	-0.0470614999314373	-0.0879883841281863	-0.0142083126287522	-0.12899842230819	0.0436123891005036	-0.143823056387965	-0.0896006550138077	-0.1995628518032	-0.0849831322694534	-0.199955707336892	-0.1321197820461	-0.147834190906143	0.220286368036677	0.242647996224072	0.0234104889602192	0.112913488447062	-0.254332450268781
"NK_cells"	0.0711881414463356	0.0330663607234513	0.0247299761653363	-0.144076767931449	-0.0934977354812374	-0.179155897027543	-0.338861815430903	-0.172272924113331	-0.466940744428988	-0.264175325641305	-0.157681838697753	-0.0456020156588073	-0.334426228844048	-0.230654318446817	-0.312473972460134	-0.231750341462681	-0.241596534648675	-0.108839563932721	-0.143857986242828	-0.263446951279268	-0.287485702200216	-0.186289038675755	-0.246985265918939	-0.0677844214887137	-0.195200923536741	-0.0695677394763569	-0.215826572966728	-0.131608465552868	-0.218128128305188	-0.205880560964452	-0.341809879167016	-0.140678492808363	-0.162477404537816	0.0307643336150629	-0.0237074522295292	-0.186361583783863	-0.152376340722515	-0.28973199474637
"B_cells"	0.269105286728564	0.247262397537625	0.380668519240705	0.218910140885253	0.282002963249889	0.260598110803852	0.229561330313764	0.185872062906728	0.124446292712328	0.247646324109978	0.205876500766536	0.380588152763339	0.121460080522825	0.238917417917248	0.174006915924834	0.165383799027034	0.211394463181498	0.199863450249938	0.219526022290753	0.187856784414111	0.180774102527161	0.211837118268781	0.276642888769748	0.228133487107446	0.200472192772931	0.449357276246304	0.215957011758168	0.258419839345127	0.243885467031177	0.19656176480717	0.195847114753567	0.255273724149868	0.170538763701455	0.320524315532223	0.202939884095603	0.156168677186484	0.194474703202095	0.210332256111326
"T_regs"	-0.408594715159914	-0.250670775883812	-0.431835423303115	-0.321067990979303	-0.276252394850283	-0.399344298416478	-0.530162515063901	-0.456256122669932	-0.419388956218337	-0.275579970830006	-0.418664208887953	-0.0393502752378382	-0.4402791070405	-0.436790709026141	-0.240677519935206	-0.242875126141917	-0.352593728086698	-0.268967202586033	-0.188991677665307	-0.274345878490924	-0.439113855842584	-0.550642723753696	-0.381454980720503	-0.32101891703852	-0.328353122385667	-0.405881287177012	-0.340803105440513	-0.360196702686707	-0.324359726745637	-0.203480690729926	-0.328206240384726	-0.297264906157095	-0.400464194548825	-0.353404940012416	-0.430382031765992	-0.324933016294738	-0.330488271435503	-0.389356258668706
"Dendritics"	0.277610693088925	0.328885773790104	0.395924826495705	0.324537577861662	0.282974024948778	0.160792589931262	0.0843812108484465	0.187526927507363	0.22782577994823	0.139566523183695	0.336708783082546	0.138572721811472	-0.0359452590030394	0.0744732253337361	0.253069351118147	0.245908606395314	0.313451770284022	0.247797051967353	0.208309275126274	0.212884297190702	0.256084189513564	0.137253937187445	0.214257696245885	0.238319681783143	0.340113588675112	0.396588600614899	0.246448928338169	0.27256789675762	0.0931838902732884	0.328649555175882	0.223057397229689	0.210352115431994	0.259000759827539	0.398352981714519	0.228697231471358	0.299983207288608	0.19822269492727	0.117410072473762
"CD8_effector_NK_cells"	-0.0944378584231011	-0.00793537531093656	-0.073719697525895	-0.263502518490884	-0.253704095432949	-0.269061102271167	-0.344241876142391	-0.337373009142723	-0.387630441599854	-0.24974666572487	-0.292396934082227	-0.0371819699434434	-0.334279034780753	-0.240180618966171	-0.375700277287753	-0.358129443923079	-0.324405656474964	-0.179845134344913	-0.167917338472184	-0.325651326335658	-0.284098489253889	-0.25732066414746	-0.33961489582741	-0.138098893772147	-0.249296194521849	-0.203438961538725	-0.247221214723864	-0.286955390881078	-0.357937637728209	-0.264413175218861	-0.372689505171331	-0.367102772793946	-0.260676405610188	-0.0315578263452431	-0.0428845089305997	-0.137734271736753	-0.102728160311563	-0.398605207631845
"Macrophages"	0.0508100109238895	0.307424404325427	0.195761329478783	0.21247203061715	0.174883961469077	0.0980556356736435	0.0845860367608524	0.0869944542321401	0.0868227488563792	0.0719561732366	0.209003408169899	0.241406223578711	0.0218807041103286	0.122348299429076	0.18812151097404	0.231215680820544	0.230971029302034	0.377073682209517	0.343178392618126	0.135068488512844	0.0362889818843846	0.00398426494934329	0.0776108226403337	0.238067763874069	0.198800566659336	0.0519597102985754	0.160621610681659	0.18853994403936	0.175198790267261	0.388595038052711	0.219714661144596	0.251463785580995	0.172250407430767	0.223746589228556	0.269929735400811	0.249415006702487	0.368262720027175	0.0459207406802454
"Macrophages_M2"	-0.0971245127135119	0.0599363665805102	0.0376531584435366	0.0467412940146756	-0.00153977030147081	-0.0727912699825004	-0.0766394550901748	-0.129883483749232	-0.145421252742216	-0.0624618651919662	0.0046063623098813	-0.00504835200550605	-0.125877957209268	0.0185674208039511	0.0492938509468883	0.0591253576473007	0.0777944722023128	0.188840224491433	0.160272478824506	-0.0380442271895771	-0.107185143503827	-0.109890520413698	-0.0742699169369469	0.0974760937380865	0.0963568695726746	-0.0300440957810464	-0.0107216907295969	0.0339987348019652	8.61572053823988e-05	0.158221320264057	0.0393823298449807	0.0136181771728803	0.00160118177363937	0.0607130333822662	0.0787883738726325	0.105868471362924	0.194072693691908	-0.100857757919713
"Macrophages_M1"	0.135012849399626	0.352826047402811	0.250368318880741	0.181476512473477	0.174225782166089	0.106388218298158	-0.0375462585641718	0.00996929351654956	0.0557181089725204	0.026493169022222	0.148554444915174	0.318908434017239	-0.0525286182179845	0.079139388037408	0.0690214229028909	0.128677296464217	0.100350191562779	0.260758536950368	0.217294503300975	0.21208160274835	0.134204255298377	0.0939366975890995	0.173861733934275	0.303379171244357	0.233766854390947	0.152419670547802	0.19627994415051	0.318415891586801	0.0781923617447336	0.174943671717631	0.119401575764246	0.167610729222631	-0.0233789594074533	0.149139184622432	0.171356745111532	0.15819178648235	0.249869057441143	0.0132901401248807
