"Hugo_symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CYBB"	-1.8705054730642	7.51723559368833	-7.38382895444881	9.506638210686e-09	0.000139443369274342	9.28498681246015
"VAMP5"	-1.63881107967654	7.15921114016871	-5.76282221309913	1.37446470054881e-06	0.0100803241138249	5.02043839319597
"APOC1"	-2.1313538248294	12.821060421394	-5.47998586984371	3.30243192997409e-06	0.0105828459322144	4.25751281923965
"IL7R"	-3.11135321870636	10.0720695025725	-5.42607360724718	3.90242293454779e-06	0.0105828459322144	4.11194496008788
"NKG7"	-1.1788689989336	6.40709737380306	-5.36081369743552	4.77578964133292e-06	0.0105828459322144	3.93573058483461
"CD53"	-1.71003238503108	9.38677554528381	-5.33867878789204	5.11423496882991e-06	0.0105828459322144	3.87596539118174
"PTPRC"	-2.79407476548562	10.7506141229347	-5.32200674791213	5.38483236855128e-06	0.0105828459322144	3.83095256148817
"BAIAP2L1"	1.4622223005016	7.87401998894569	5.290739625019	5.93133821276268e-06	0.0105828459322144	3.74654200892656
"LST1"	-1.03027035857824	6.54935362617163	-5.26144073482299	6.4934287830604e-06	0.0105828459322144	3.66745657787121
"RARRES3"	-1.98702190095042	8.48700841573572	-5.20527743876443	7.72326159690963e-06	0.011328480110347	3.51589930642005
"KCNE4"	-0.697984928280562	4.8854886340556	-5.10470324544296	1.05319375901385e-05	0.0140438600520138	3.24469653482493
"AIF1"	-2.3854826879565	9.3489985667335	-4.91034023547906	1.91427553509189e-05	0.0196113034746006	2.72172923161799
"RCC2"	1.14224076014847	8.37892089712434	4.88790461233279	2.05057171432459e-05	0.0196113034746006	2.66149281671699
"UBD"	-2.72825806159237	7.8648421916476	-4.88408962370095	2.07468553404283e-05	0.0196113034746006	2.65125330769539
"LCP1"	-1.49166880783102	5.21767632945385	-4.88010959806075	2.10014190073054e-05	0.0196113034746006	2.64057184445706
"GMFG"	-2.27240643326137	8.09097839484849	-4.87146420732256	2.15650881185722e-05	0.0196113034746006	2.61737321621747
"LDB2"	-1.20241916974979	6.2744503659344	-4.85429607544188	2.27292172803524e-05	0.0196113034746006	2.57131995471187
"CASP1"	-1.48082240774873	6.60820793449198	-4.73244274404689	3.29828994447881e-05	0.0268773982808973	2.2450781894959
"HLA-DQA1"	-1.79429616204556	7.78747069354448	-4.61732342295982	4.68183036295725e-05	0.0327318353965187	1.93804510681944
"MSRB3"	-1.25595045725003	6.15783408306781	-4.60598876316061	4.84570532745029e-05	0.0327318353965187	1.90788543220935
"EMCN"	-1.73547523464526	7.69164312863291	-4.58803563231599	5.11691767276251e-05	0.0327318353965187	1.86014301401034
"PRKAA2"	0.904717849785932	4.57291561212221	4.58311087536814	5.19389521107027e-05	0.0327318353965187	1.84705278530815
"C1R"	-1.30500362315666	5.14090854279591	-4.57308005670131	5.35423256646319e-05	0.0327318353965187	1.82039864006653
"GZMK"	-1.8984444704609	4.75228024865474	-4.57299383924137	5.35563164382635e-05	0.0327318353965187	1.82016958903659
"SPI1"	-0.70961988697981	6.7912601290485	-4.54002584549201	5.91789915544488e-05	0.0334418139825476	1.73264605849475
"CLDN12"	1.23986011753623	6.47392950740711	4.5394743768909	5.92778268029887e-05	0.0334418139825476	1.73118307636503
