	LeukocyteMeth_score	CD4_mature	CD8_effector	NK_cells	B_cells	T_regs	Dendritics	CD8_effector_NK_cells	Macrophages	Macrophages_M2	Macrophages_M1
TCGA.04.1348.01	0.150948736257642	0.0226566922482274	-0.13368553019416302	-0.139780839676516	-0.0450550420705205	-0.0141314471777842	0.132642890407642	-0.0100748907524125	0.41310080441326397	0.262198020406989	0.36997298939695894
TCGA.04.1357.01	0.26794368108652	0.10361222719565802	0.0513576137192021	0.00428658915053747	0.14826348244006798	-0.0146796096209088	0.148267989014123	0.12913414431508902	0.45026780738589794	0.304542484632778	0.433460828914989
TCGA.04.1362.01	0.0840705134191117	-0.12438993425634601	-0.36916462567759606	-0.346158704794548	-0.209139765103775	-0.0958407388813608	-0.0496717338736351	-0.217201195192964	0.333927607062398	0.169423223181634	0.17084951321318304
TCGA.04.1364.01	0.0334651133520436	-0.18234025014011	-0.43643981435835205	-0.46778579443661206	-0.12764664289275401	-0.22223507270073897	-0.0976774605507768	-0.358317764358015	-0.0224552280702954	-0.0803641022156932	-0.112247768968003
TCGA.04.1365.01	0.14147110021652498	-0.0422932752270012	-0.15522688483117	-0.146162796776106	-0.00580520366040918	-0.108217981532261	0.12214756298888599	-0.0453983570280509	0.390748172465521	0.21386170714093	0.34835083526268795
TCGA.04.1514.01	0.0377776599134639	-0.14808391371012303	-0.354102552790273	-0.435578022520693	-0.23730474989111103	-0.103456089663357	-0.0489611228785517	-0.318557633293488	0.00155149296310649	-0.0999948864849001	-0.115163418542527
TCGA.04.1519.01	0.0203532219944987	-0.137543527056746	-0.383863983803882	-0.345920235783962	-0.10641573178167801	-0.164424763284771	-0.0425053047264779	-0.281284849714223	0.117862244783539	0.0122440018514232	-0.00529718111766629
TCGA.09.0364.01	0.0555369859994129	0.0185729652788765	-0.498628067715885	-0.458132257602084	-0.25773287731724803	-0.229164547528999	-0.21520918244610399	-0.36922310651035706	0.0395122794519678	-0.0864052583470272	-0.149823525398932
TCGA.09.0366.01	0.27303013571808105	-0.0106931041550404	-0.303847228138178	-0.269083906351006	-0.0839262384971465	-0.073402848439694	0.12586747840825802	-0.148597840525108	0.47168248606636604	0.303003421694753	0.305086952847245
TCGA.09.0367.01	0.0758041481906226	-0.0497010612472533	-0.264698710588523	-0.234260458921187	-0.0550808542100439	-0.0337205321829089	0.125373830333601	-0.164067625781571	0.294153342486795	0.15407604865566502	0.21388506826241396
TCGA.09.0369.01	0.101152951405166	-0.0544585907503617	-0.339267971214241	-0.37297362165969794	-0.22448669884112	-0.24849313269525897	-0.152215414030268	-0.305772504452723	0.308612154095492	0.14439151308125597	0.0845169383375449
TCGA.09.1659.01	0.0593200844921141	-0.0533151250002505	-0.257695990691054	-0.24011637090181798	-0.132983068792866	-0.14602841648649	0.0618012676032628	-0.167283010903074	0.34615098045072196	0.177251963957583	0.24567170113961398
TCGA.09.1662.01	0.13973843903891	-0.0163190038953724	-0.191287556380669	-0.172188325426965	-0.16226687500797501	-0.132575314319031	0.127403949259119	-0.0430169704740758	0.299193817257164	0.19736916882528	0.162760689715954
TCGA.09.1666.01	0.0849440909039758	-0.0606822666229522	-0.20595828372424102	-0.20980235521123997	-0.0771621629302007	-0.0892349575001086	0.0253192703705041	-0.12078913369214	0.370760286419971	0.21216544726447198	0.327346372992701
TCGA.09.1667.01	0.11127309420099002	0.00501182626851989	-0.111938023271266	-0.15819244444633102	-0.0565437782179927	-0.0657666206066792	0.1377252148035	-0.0120453343063836	0.41310162193539895	0.250615175792919	0.36032740198005797
TCGA.09.1668.01	0.141491751220325	0.0468571975119096	-0.16825326869193397	-0.20287956686961497	-0.130713043361571	-0.00109641342577945	0.18435799362711103	-0.0440499459075024	0.402090460726481	0.233752974940396	0.36608645343919394
TCGA.09.1669.01	0.0825202795838479	-0.00156357332980335	-0.20634171255960398	-0.243198220481895	0.0431986950879533	-0.15187519755194298	0.0273224662085112	-0.0871086290132682	0.350096017698123	0.18644843150891102	0.30260354283669605
TCGA.09.1670.01	0.111348083064122	-0.0881056888699418	-0.27938138243411	-0.263105457265062	-0.14459341446906301	-0.147798541941695	0.0199282260475818	-0.18820328767167602	0.37645059272801706	0.211100204964179	0.212276556413165
TCGA.09.1673.01	0.0456094771497273	-0.0328033141353941	-0.35073733493999293	-0.343196538609448	-0.13115017041408802	-0.140057000914024	-0.0968585513976833	-0.224822022932837	0.300286885964573	0.14586135966447902	0.11570261391048099
TCGA.09.1674.01	0.0387961014989242	-0.0645160177306479	-0.3858450014646721	-0.408321167983519	-0.140400208347228	-0.240536374132541	-0.118439333446221	-0.303129818588366	0.0183367915213141	-0.0908330423680158	-0.126392010105274
TCGA.09.2044.01	0.136226438968971	-0.0508749810219264	-0.22197546825453	-0.243491378562302	-0.136349947010901	-0.0694316689697692	0.0961321750115912	-0.123340448775127	0.455794531389519	0.263291125551976	0.305737301102239
TCGA.09.2045.01	0.0785829786654475	-0.0759575187898665	-0.29937540710714194	-0.27455844522406603	-0.161196023705548	-0.10307911205970499	0.121981920583404	-0.20190125329404898	0.31362166852372897	0.169703803450188	0.201681331990251
TCGA.09.2048.01	0.0785481583050441	-0.100070266701815	-0.32736678127896	-0.393879280036999	-0.175635607933968	-0.22956984622533802	-0.135161881606888	-0.277892226526016	0.197090398087524	0.0432733513204078	0.0230296790249247
TCGA.09.2051.01	0.130182408150839	-0.0170563837067787	-0.269339986077151	-0.20631816353672303	-0.177938747178035	-0.103729118087781	0.17715021420885999	-0.0921158688672469	0.388176443098381	0.21518371687681304	0.27431400397496897
TCGA.09.2054.01	0.0814079756005146	0.0368059017320871	-0.289806301488916	-0.350209332664294	-0.153208788990046	-0.162015374377538	-0.150477995736697	-0.21480819294771	0.299164988273699	0.121168739390204	0.11802594882703
TCGA.09.2056.01	0.0840428888121641	0.000614974431794792	-0.218217442295028	-0.153517498712575	-0.0466065794262862	0.016326493224913998	0.153689600849457	-0.126473669687973	0.298381294487413	0.15160701188457099	0.201197382180251
TCGA.10.0928.01	0.0398287434991948	-0.153379544293014	-0.38689770080565006	-0.364881820446218	-0.10652883218251599	-0.230703186060411	-0.0148947875268118	-0.260664161070804	0.0951999143950996	-0.0191973841330128	-0.0322211939233921
TCGA.10.0936.01	0.0790983933153803	-0.11133309470585401	-0.234083249952658	-0.28216445283551195	0.0397778117926007	-0.0630297062462244	0.0288802291080501	-0.166222430203239	0.302902351838556	0.15783790839106301	0.21878441106105898
TCGA.13.0730.01	0.09696608281345401	-0.0781837540571374	-0.29278523146075397	-0.21853610901285198	-0.262148718644462	-0.175721475764268	-0.00358032953668836	-0.192199645617863	0.33978938864439195	0.17996482432562697	0.14033372330041502
TCGA.13.0799.01	0.0709284434743637	-0.0824692911311225	-0.334146917229409	-0.29982220349333505	-0.168674922028521	-0.0512353081865526	-0.0710862800094228	-0.24059980572653397	0.048172048242247	-0.0378792223612509	0.0854297179428925
TCGA.13.0800.01	0.0558024311841011	-0.155965205631775	-0.38477244571804503	-0.44949356777614796	-0.18955720552046101	-0.274904407589438	-0.11462203994818902	-0.363975924165242	-0.0288758082936617	-0.11238233582100199	-0.136754210825119
TCGA.13.0801.01	0.115757296721003	0.0142415395576371	-0.132011788450144	-0.13007249587923	0.0245800598131826	-0.069055281283384	0.273318128964076	-0.0612027354192377	0.4988047091821551	0.37856195637672496	0.40167660932843896
TCGA.13.0890.01	0.190907623110811	0.0338897571855599	-0.238479695396725	-0.242877990496435	-0.00458007066843838	-0.0833108821996015	0.0309499231516064	-0.12119735601856402	0.413162821889885	0.247706558076233	0.277460023531665
TCGA.13.0893.01	0.10888707715807902	-0.0132916003476115	-0.221756496420852	-0.16183990223005199	-0.0950009813874935	-0.0207973652656026	0.16300320181109101	-0.0557443690099423	0.32847321229995297	0.17281412229507997	0.23153336958355397
TCGA.13.0897.01	0.10489111649253899	-0.0205325387458963	-0.17356770733358898	-0.176707784405387	-0.0114503058417363	0.0477428425457127	0.0963836575129199	-0.0885957069450064	0.37775065809519204	0.23207419380322897	0.27130422836324
TCGA.13.0899.01	0.11097360315765599	-0.10310572005152	-0.29134919967251693	-0.26515746079830704	-0.117572954082011	-0.16524271386153602	0.0370467876009156	-0.189200086005339	0.316386786594393	0.156975956874754	0.16947958512101402
TCGA.13.0913.01	0.0676753217508198	-0.152618018927099	-0.36758471258481396	-0.35483560252534396	-0.0715411504995861	-0.201484417434923	-0.0264680573847144	-0.272695349748559	0.159869317104055	0.0304793378412641	0.0539806731036327
TCGA.13.0916.01	0.0745608907688575	0.0291433194745669	-0.208745218099754	-0.192959133800508	-0.0461026985392523	-0.127102023940273	-0.0233886810607374	-0.0759116084406351	0.324844773412173	0.153287901775823	0.286484342254826
TCGA.13.0920.01	0.10878752568170098	-0.0261399797205138	-0.28554272317783197	-0.3221609589913	-0.00906189213812925	-0.20828454889493903	-0.0533382893417833	-0.19924270298030897	0.17003399871602598	0.0285384900559652	0.0894023821033231
TCGA.13.0924.01	0.223850842787692	-0.000519201988483941	-0.10034015254784301	-0.136985094459666	0.0470233880468388	-0.0253054774986318	0.17667277112744398	-0.0411912106028619	0.38628283386610707	0.248498300898218	0.332189063169816
TCGA.13.1403.01	0.0516879703602499	-0.10925441882874301	-0.37360763025654703	-0.34495863801898197	-0.0839208786784008	-0.157476052539662	0.0248761597969642	-0.241879583312932	0.18779227068880397	0.0875834057436225	0.0700582127111679
TCGA.13.1405.01	0.174571515400738	0.0032244809092163698	-0.20626312414659898	-0.18530868938033498	-0.0239905188506492	0.0455688486666591	0.18660041464520302	-0.0667066868827853	0.297906902161825	0.19183385185635002	0.21617354618951
TCGA.13.1410.01	0.0686202703432861	-0.00247800708262225	-0.24097287926279395	-0.237531832197624	-0.0262282999885216	-0.0742160875447466	0.0687375270198585	-0.12228457508903802	0.34567514897442997	0.21081612302348202	0.304191731617206
TCGA.13.1411.01	0.373255563796694	0.0328249799317977	-0.0540980004552743	-0.0534313153313116	-0.0065359073809417795	-0.0308268235080462	0.23463157091870698	0.0727191612164893	0.47807410964953706	0.32416101549687	0.351190903639409
TCGA.13.1481.01	0.189820971844638	-0.0220832592832238	-0.249341378638694	-0.28383079829771996	0.0700704016432483	-0.13987236956801	-0.00438767001829014	-0.153650825150408	0.288141733486949	0.13588787948833	0.17683820794992
TCGA.13.1489.02	0.278698251294038	-0.0665929959113025	-0.23247399300168	-0.20508478948171602	-0.10848028607057199	-0.15818604651832902	-0.00457375495081064	-0.0946802655186033	0.21145288567171697	0.11087654775657901	0.18687008626697102
TCGA.13.1497.01	0.132178891866528	-0.0650498664281075	-0.24589258369826897	-0.28469073036470505	-0.00570878787359915	-0.14170367372916698	0.0865773939870524	-0.14224730514308404	0.307786908473057	0.142577623750504	0.23242672652787802
TCGA.13.1498.01	0.11475022036308599	-0.0392325411999539	-0.20801745654291	-0.134511747767302	-0.10398818203157499	-0.0459512005805196	0.0879980517214198	-0.0411442636185401	0.319082986258935	0.176432570041245	0.320828358775904
TCGA.13.1505.01	0.10167898908817999	-0.0159964668628289	-0.243295443471859	-0.311483357336199	-0.0696567188158528	-0.20538968168089103	-0.0606176103608568	-0.196503269827712	0.288324610774514	0.12191618733456	0.13509153077834
TCGA.13.1506.01	0.0672899917994202	-0.0496716000101562	-0.30322300216438597	-0.33155924251056	-0.14277362805205998	-0.184072099162924	0.0748353433838385	-0.213651936114684	0.234246794982947	0.0944384817629541	0.139344876569856
TCGA.13.1507.01	0.166367497622779	0.12372064179425599	-0.153582946301434	-0.152299004148542	-0.0324960806491187	0.00583599421825386	0.24802159740289104	-0.0125595926207001	0.466694509939149	0.323480421494422	0.400625142891096
TCGA.13.1511.01	0.0812559765751946	-0.0353158827620972	-0.30876940747154197	-0.292666211069848	-0.0715616780053666	-0.10488829041410198	0.105373299042672	-0.234109288457025	0.265497162765147	0.128221340794141	0.11999319453983301
TCGA.13.1512.01	0.137258422607395	-0.0235593459920474	-0.21168264462279604	-0.220509843862997	-0.00235145857661082	-0.0389843873618063	0.11035787819516302	-0.10136138761256801	0.343638784615737	0.18194784609023298	0.258938984608084
TCGA.13.2060.01	0.22379912944084301	0.0173583666084897	-0.157287080082294	-0.14678935117191	-0.0285185746845392	-0.0810318120798709	0.18424936017593999	-0.0343077605748393	0.405560855651495	0.241159109349761	0.388117793816785
TCGA.13.A5FT.01	0.14621172461050197	-0.15118111760267	-0.324061624654938	-0.37271490610070507	-0.0928500090553589	-0.17394022489758598	-0.00883440775475567	-0.226951730375341	0.126000619279937	0.0235969364173071	0.11750429908480699
