	LeukocyteMeth_score	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA.04.1348.01	0.150948736257642	140.379514285714	82.0113	122.4465	5.3105625	61.4076375	552.419614285714	34.3103	185.03181999999998	227.841864516129	5541.2365625
TCGA.04.1357.01	0.26794368108652	284.691221428571	326.8229	289.74794285714296	10.82355	220.784525	897.1670571428571	154.29686	245.269086666667	204.511719354839	9558.8541625
TCGA.04.1362.01	0.0840705134191117	217.39259285714297	5.2953	20.0466428571429	5.088475	38.7635625	313.79614285714297	12.97356	193.257806666667	257.996087096774	3400.404175
TCGA.04.1364.01	0.0334651133520436	41.8268714285714	19.9291	1.8778	4.1872375	98.47945	114.849785714286	5.85152	158.81091999999998	236.205151612903	2706.7008375
TCGA.04.1365.01	0.14147110021652498	167.17966428571398	66.295	107.277385714286	7.5335125	92.0219875	462.092157142857	40.43996	185.94746	201.272332258065	3607.766325
TCGA.04.1514.01	0.0377776599134639	80.2491928571429	4.3178	11.226242857142902	1.619175	155.4764125	87.3015857142857	11.28382	281.88448	363.701593548387	13060.4850125
TCGA.04.1519.01	0.0203532219944987	62.84568571428571	1.7802	8.64645714285714	0.6119375	221.4619625	175.55215714285703	10.502880000000001	274.70702	196.385290322581	3084.6873625
TCGA.09.0364.01	0.0555369859994129	55.5271214285714	3.6136	2.9683285714285694	1.5809625	90.7357	49.92278571428571	2.6198599999999996	320.919426666667	475.431080645161	7836.4126375
TCGA.09.0366.01	0.27303013571808105	83.97436428571429	27.7478	28.0076857142857	8.036325	73.54865	1983.15314285714	38.43748	423.418813333333	166.356816129032	3267.1067
TCGA.09.0367.01	0.0758041481906226	563.259242857143	24.9921	67.8355714285714	3.8653	43.3125125	240.753414285714	76.9247	229.92692000000002	178.97141612903198	1661.6732125
TCGA.09.0369.01	0.101152951405166	61.827721428571394	33.1789	6.207942857142861	1.5414875	53.658825	419.609671428571	31.82828	305.911533333333	993.862025806452	24654.9716
TCGA.09.1659.01	0.0593200844921141	533.16735	32.4519	72.2298571428571	5.95955	25.8413375	291.531028571429	46.233959999999996	141.2126	244.72239677419398	11321.113775
TCGA.09.1662.01	0.13973843903891	50.2289214285714	23.1619	68.07472857142861	8.0123875	32.184225	751.1165428571429	108.64532	281.856546666667	241.41195161290298	11579.704075
TCGA.09.1666.01	0.0849440909039758	70.8625285714286	40.3774	47.87061428571429	2.452825	57.3584875	431.105114285714	25.58492	148.7044	196.504570967742	2949.0698
TCGA.09.1667.01	0.11127309420099002	167.946221428571	41.2649	170.581328571429	11.10325	23.3976	532.4323714285711	74.6171	184.48660666666697	227.998232258065	10190.736775
TCGA.09.1668.01	0.141491751220325	90.8148857142857	47.8568	77.4106857142857	11.2105625	68.864825	529.155228571429	72.4258	251.19172000000003	375.87103225806504	15993.613275
TCGA.09.1669.01	0.0825202795838479	92.4745	220.9821	52.6148	6.0826	353.7946375	335.826528571429	27.58928	204.64286666666698	273.06394516128995	18503.5217625
TCGA.09.1670.01	0.111348083064122	125.04681428571399	9.1743	16.476342857142903	3.890875	96.944625	659.134071428571	24.77064	195.76234	178.305712903226	3098.660325
TCGA.09.1673.01	0.0456094771497273	56.22901428571429	8.2681	14.534385714285701	3.698875	637.2933	378.2171	29.242820000000002	145.778946666667	422.16738064516096	990.60815
TCGA.09.1674.01	0.0387961014989242	91.83512142857141	45.5324	5.1153	1.3538125	341.465425	126.841228571429	5.30474	245.064566666667	375.103770967742	7962.410075
TCGA.09.2044.01	0.136226438968971	68.6297285714286	50.5693	40.768042857142895	1.700425	82.877425	611.2672	29.4544	193.267286666667	231.46915161290298	2871.0624
TCGA.09.2045.01	0.0785829786654475	66.78372857142861	11.8953	14.9541	3.865975	93.279125	326.498242857143	7.295780000000001	293.10071333333303	214.24368387096803	7344.8979
TCGA.09.2048.01	0.0785481583050441	124.87532857142901	8.7918	7.8498428571428605	1.318775	30.8813125	135.0142	26.4634	104.446906666667	201.927129032258	7418.8096875
TCGA.09.2051.01	0.130182408150839	60.275628571428605	17.9748	83.9798142857143	6.4865125	59.916125	422.17341428571405	39.83226	278.05872	155.365577419355	4847.339725
TCGA.09.2054.01	0.0814079756005146	49.66986428571429	16.1064	11.5045857142857	2.4509875	235.0315	335.03402857142896	28.571440000000003	233.52007999999998	587.570480645161	14896.7428375
TCGA.09.2056.01	0.0840428888121641	571.639528571429	37.6557	54.374042857142896	2.0304625	50.5768375	330.064214285714	72.57961999999999	154.413173333333	121.182787096774	5284.9100125
TCGA.10.0928.01	0.0398287434991948	152.325292857143	0.6151	7.02971428571429	1.999075	211.2870875	121.438457142857	22.143620000000002	290.1225	345.565964516129	4583.8074625
TCGA.10.0936.01	0.0790983933153803	192.67177857142897	24.6914	23.755542857142895	4.094225	74.70395	184.920985714286	11.791360000000001	231.59486666666697	287.533383870968	2336.0657625
TCGA.13.0730.01	0.09696608281345401	224.498128571429	281.8627	59.1526571428571	2.2467375	17.2589875	381.0691	101.9608	189.705886666667	413.265335483871	20275.1205
TCGA.13.0799.01	0.0709284434743637	52.96299285714289	6.9097	14.3639857142857	2.5613375	100.0119125	40.410842857142896	18.25114	208.57755333333301	199.47504516128998	2133.011675
TCGA.13.0800.01	0.0558024311841011	80.44711428571429	2.3711	11.1779142857143	1.6004625	185.5364625	63.2710571428571	5.21634	235.68465333333302	174.73124516129	3611.6182625
TCGA.13.0801.01	0.115757296721003	189.187678571429	53.3333	76.45527142857141	2.4836625	48.8562125	1491.0177428571399	209.83006	158.6231	144.223567741935	3472.5163375
TCGA.13.0890.01	0.190907623110811	219.11235	30.3878	34.0005	3.965075	127.0491625	441.501871428571	23.5639	287.77822000000003	354.71050322580595	57157.7006
TCGA.13.0893.01	0.10888707715807902	305.45825	43.286	50.436585714285705	25.2009625	41.51615	249.03388571428601	30.7452	232.01842666666698	199.13954838709702	21662.0975125
TCGA.13.0897.01	0.10489111649253899	326.211585714286	27.5315	46.19691428571429	5.7162875	60.8376	296.964857142857	67.75548	149.292273333333	163.87954516129	38937.7029875
TCGA.13.0899.01	0.11097360315765599	1006.6836357142901	21.3562	22.0481714285714	1.7338125	41.0612	299.647714285714	60.32584	215.73463333333302	244.687364516129	17459.048875
TCGA.13.0913.01	0.0676753217508198	196.75227142857102	18.4298	11.605257142857099	1.33375	170.2940375	119.4672	7.420439999999999	136.57471999999999	194.725358064516	2666.686875
TCGA.13.0916.01	0.0745608907688575	65.3962142857143	60.6143	46.3460428571429	3.0985625	146.4242125	249.8159	13.06372	336.08660666666697	371.11841935483903	4062.22285
TCGA.13.0920.01	0.10878752568170098	114.410128571429	22.9612	22.395657142857104	1.4845625	112.1338	106.380514285714	15.835320000000001	112.061226666667	162.59673548387102	7163.5778
TCGA.13.0924.01	0.223850842787692	164.05229285714302	150.3268	70.775	4.493475	133.905225	481.44631428571404	101.9608	195.03269333333301	224.146319354839	24194.5359375
TCGA.13.1403.01	0.0516879703602499	105.375821428571	1.4272	18.213928571428603	2.378675	62.916275	148.483742857143	28.06852	208.30952666666698	316.04079032258096	24897.5434125
TCGA.13.1405.01	0.174571515400738	95.9403857142857	48.2081	56.2276285714286	8.428075	50.0713625	326.76361428571397	42.245459999999994	250.02643333333302	294.003870967742	48953.1751375
TCGA.13.1410.01	0.0686202703432861	254.473635714286	15.1073	33.571742857142894	6.0428875	42.426275	340.8393	26.18594	208.883233333333	224.35439354838698	22406.65045
TCGA.13.1411.01	0.373255563796694	128.625121428571	98.0861	131.0419	8.5868	67.1138	1814.65382857143	182.77512	278.69674666666697	320.25268064516104	93213.1933625
TCGA.13.1481.01	0.189820971844638	365.99611428571404	17.3682	26.9712857142857	4.8245	186.668125	165.1359	33.90018	153.569333333333	285.802716129032	50411.8173125
TCGA.13.1489.02	0.278698251294038	427.90851428571403	41.3766	56.0159	1.9335	26.6338125	179.2067	35.8082	210.59552000000002	122.16250645161301	3000.3383625
TCGA.13.1497.01	0.132178891866528	71.3610928571429	16.4861	25.141242857142895	2.7305	73.929675	194.787485714286	16.486060000000002	201.21236000000002	269.204293548387	21443.8284
TCGA.13.1498.01	0.11475022036308599	69.1699857142857	72.0509	147.066628571429	9.7298	49.5350125	338.85015714285703	107.60643999999999	190.33447333333302	138.701396774194	14075.9667125
TCGA.13.1505.01	0.10167898908817999	70.91320714285709	81.2891	25.5617285714286	3.667625	97.1620875	283.103142857143	32.900420000000004	268.847206666667	210.753316129032	43125.7064625
TCGA.13.1506.01	0.0672899917994202	116.402107142857	28.892	20.373657142857102	1.6904875	74.6887875	104.239385714286	16.96634	163.06542	111.639564516129	2682.649475
TCGA.13.1507.01	0.166367497622779	125.10365	72.2955	230.06935714285703	7.915575	47.1635875	439.05014285714304	76.30604	120.316613333333	158.700819354839	14535.2882375
TCGA.13.1511.01	0.0812559765751946	214.464685714286	3.8107	23.7717285714286	4.4458625	31.0813125	187.134242857143	11.81328	301.534886666667	265.632409677419	37262.4638875
TCGA.13.1512.01	0.137258422607395	122.740657142857	20.15	42.3082142857143	3.22165	115.4521875	318.06935714285703	31.583859999999998	149.578253333333	144.941193548387	36841.4333375
TCGA.13.2060.01	0.22379912944084301	209.889592857143	42.4472	64.90995714285711	4.982925	47.79925	394.913042857143	45.4739	212.802013333333	119.94736774193501	13808.762875
TCGA.13.A5FT.01	0.14621172461050197	88.9856142857143	4.2049	7.9729571428571395	4.4916125	128.4885125	122.379128571429	20.7187	224.287086666667	309.095661290323	3655.148075
