	LeukocyteMeth_score	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells
TCGA.04.1348.01	0.150948736257642	0.0	0.0494	0.0535	0.1007	0.0	0.0	0.0	0.0074	0.0	0.0264	0.0404	0.0002	0.0112	0.1191	0.0	0.0	0.0173	0.0042	0.0059	0.0	0.40399999999999997	0.0	0.0	0.0	0.0036	0.0	0.0313	0.0686	0.0	0.0497	0.0907	0.0578	0.02	0.0055	0.0	0.0	0.0	0.0268	0.0026	0.0054	0.0	0.018000000000000002	0.0	0.0	0.0092	0.0	0.0118	0.0	0.0	0.0113	0.0	0.1396	0.0168	0.1561	0.1211	0.0	0.3265	0.0287	0.0	0.0	0.0098	0.0	0.0199	0.0442
TCGA.04.1357.01	0.26794368108652	0.0	0.0301	0.133	0.0486	0.0	0.0034	0.0458	0.0087	0.0227	0.1359	0.1666	0.0371	0.0149	0.0744	0.0	0.0391	0.0543	0.0222	0.0034	0.0	0.2833	0.0	0.0442	0.0	0.0507	0.0014	0.0241	0.0035	0.0	0.0414	0.0937	0.0746	0.0331	0.0154	0.0	0.0058	0.0131	0.0185	0.0269	0.0008	0.0	0.0138	0.0017	0.0	0.0121	0.0392	0.0479	0.0	0.0	0.0052	0.0	0.1466	0.0143	0.0458	0.0081	0.0057	0.3852	0.114	0.0	0.0	0.0037	0.0	0.0382	0.0015
TCGA.04.1362.01	0.0840705134191117	0.0	0.0506	0.0039	0.0393	0.0	0.0239	0.0	0.0	0.0	0.0	0.0105	0.0	0.0028	0.0323	0.0	0.0	0.0072	0.0	0.0044	0.0	0.3697	0.0	0.0	0.0	0.0027	0.0004	0.0394	0.0202	0.0	0.0	0.0348	0.0261	0.0053	0.0059	0.0016	0.0	0.0	0.0285	0.0007	0.0108	0.0	0.0064	0.0006	0.0001	0.0254	0.0117	0.0061	0.0	0.0117	0.0088	0.0	0.1046	0.0	0.0113	0.078	0.0	0.1563	0.0125	0.0	0.0019	0.0032	0.0	0.006999999999999999	0.0116
TCGA.04.1364.01	0.0334651133520436	0.0016	0.0654	0.0	0.0452	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0118	0.0591	0.0	0.0	0.0	0.0	0.0021	0.0	0.2678	0.0	0.0	0.0	0.0891	0.0	0.0184	0.0954	0.0	0.0614	0.003	0.0008	0.0007	0.0055	0.0003	0.0	0.0	0.0023	0.0	0.0171	0.0	0.0331	0.0044	0.0	0.1028	0.0187	0.0143	0.0	0.0	0.0026	0.0	0.225	0.0	0.1147	0.1076	0.0	0.0	0.0	0.0	0.0021	0.0117	0.0	0.0	0.039
TCGA.04.1365.01	0.14147110021652498	0.0	0.0612	0.0179	0.0906	0.0	0.0	0.0	0.0121	0.0	0.0	0.0408	0.0	0.0053	0.075	0.0	0.0	0.0028	0.005	0.0011	0.0	0.3471	0.0	0.0	0.0	0.0503	0.0003	0.0189	0.0543	0.0	0.0115	0.0668	0.0396	0.0127	0.0014	0.0	0.0043	0.0	0.0262	0.0036	0.002	0.0	0.0384	0.0008	0.0	0.0538	0.0774	0.0129	0.0	0.0	0.0031	0.0	0.1258	0.0	0.1557	0.1709	0.0	0.2709	0.0289	0.0	0.0	0.0039	0.0	0.0155	0.0276
TCGA.04.1514.01	0.0377776599134639	0.0	0.1008	0.0088	0.0453	0.0	0.0245	0.0	0.0	0.0	0.0002	0.0	0.0	0.0001	0.0358	0.0	0.0471	0.0181	0.0	0.0055	0.005	0.1579	0.0	0.0543	0.0	0.0741	0.0021	0.0092	0.0366	0.0	0.0	0.0	0.0	0.0	0.0097	0.0033	0.0	0.0	0.0581	0.0	0.021	0.0	0.0257	0.0191	0.0	0.0342	0.11800000000000001	0.0051	0.0007	0.0201	0.0	0.0	0.2908	0.0	0.0429	0.0388	0.0	0.0	0.0043	0.0571	0.0007	0.0	0.0	0.0	0.0212
TCGA.04.1519.01	0.0203532219944987	0.0	0.0073	0.0396	0.0	0.0015	0.0618	0.0	0.0	0.0	0.0356	0.0161	0.0	0.021	0.038	0.0	0.0659	0.0013	0.0	0.0054	0.0062	0.307	0.0	0.1171	0.0	0.0495	0.0	0.0367	0.0414	0.0	0.0	0.0119	0.0025	0.005	0.0168	0.0003	0.0	0.0	0.0318	0.0	0.0077	0.0	0.0	0.0064	0.0	0.0759	0.0382	0.0559	0.0034	0.0	0.0016	0.0	0.2634	0.0	0.0307	0.0	0.0	0.0323	0.0	0.0007	0.0022	0.0034	0.0	0.002	0.004
TCGA.09.0364.01	0.0555369859994129	0.0	0.0651	0.0091	0.0892	0.0	0.0002	0.0	0.0	0.0	0.003	0.0	0.0	0.0121	0.0	0.0064	0.0	0.0025	0.0	0.0113	0.0	0.1445	0.0	0.0515	0.0	0.0092	0.0008	0.0063	0.0717	0.0	0.2044	0.0	0.0	0.0	0.0168	0.0001	0.0004	0.0	0.0418	0.0	0.021	0.0	0.0	0.0093	0.0	0.0478	0.1729	0.0048	0.0	0.0	0.0006	0.0	0.0696	0.0	0.1372	0.1302	0.0	0.0	0.0181	0.0658	0.0051	0.0158	0.0011	0.0	0.0484
TCGA.09.0366.01	0.27303013571808105	0.0	0.0113	0.0373	0.1267	0.0	0.032	0.0418	0.0	0.0	0.0	0.0043	0.0	0.0	0.0488	0.0	0.0	0.0172	0.0026	0.0	0.0	0.4587	0.0	0.0	0.0	0.0	0.0009	0.0385	0.0331	0.0	0.0306	0.1603	0.1053	0.0291	0.013000000000000001	0.0	0.0004	0.0	0.0233	0.0946	0.0	0.0	0.0778	0.0003	0.0	0.0372	0.0442	0.0049	0.0	0.0	0.0151	0.0	0.0761	0.0	0.0859	0.0	0.0	0.3131	0.0423	0.0	0.0	0.006	0.0	0.0137	0.0007
TCGA.09.0367.01	0.0758041481906226	0.0	0.0	0.0179	0.0851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.1073	0.0	0.0	0.0112	0.006999999999999999	0.0	0.0	0.565	0.0	0.0	0.0	0.0269	0.0	0.098	0.0568	0.0	0.0654	0.0602	0.0329	0.0066	0.0118	0.0	0.0004	0.0	0.0202	0.0	0.0	0.0	0.0443	0.0009	0.0	0.087	0.0	0.0519	0.0	0.0	0.027999999999999997	0.0	0.237	0.0	0.1257	0.0	0.0	0.2259	0.0539	0.0	0.0	0.0071	0.0	0.0015	0.0032
