"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"
"T cells"	4.52848653100113	5.20770762937881	4.68362339487881	4.60965669755056	4.41491445849432	4.19964397497122	4.59312134106773	4.25472067670989	4.05535739248458	4.65833376833843	4.35196311727655	5.27436364367697	4.78523453484206	4.85839242038365	4.78889904148717	4.8646669832402	4.46252312075501	4.42094798206353	4.57352276429397	4.60250387957561	4.22596435282745	4.0945904310675	4.46631749993396	4.24512395070487	4.52707251671889	4.3307107471478	4.462438984087	4.38161149045367	4.54145241369939	4.66201995022976	4.27296360943357	4.6535278513848	4.55750497393999	5.28112196992194	5.01637859806341	4.55134331570346	4.83354525930994	4.34320084269447
"CD8 T cells"	3.36212546157	3.34014944743615	3.17081251222768	3.21078840139435	3.26767204156726	3.14156971786751	3.25160751588552	3.18166260655566	3.16447818472872	3.61810794574802	3.14485844797675	3.47684851886598	3.32401670379372	3.31969181551922	3.18721509392008	2.97677763282101	3.09232836455094	2.89226369661162	3.09706995434293	3.01643356475632	3.20860888308317	3.2735980165671	3.08992762848277	3.01788812090215	2.99575513035777	3.49104047497216	3.2064532007251	3.2675488880656	2.87864962598946	3.17174512368938	2.83004838633653	3.35716966491884	3.06263437074071	3.13873314819425	2.86070646425137	3.21962175604299	2.84006670838873	2.81047845735511
"Cytotoxic lymphocytes"	4.83962380029585	4.83029792568404	4.60791002681097	4.29537270227906	4.6420494763037	4.38606037044468	4.00004352216149	4.58875740841567	4.03131955101673	4.24546636172637	4.49908802865203	4.48286763715872	4.08763527047525	4.03212433411745	4.01212629931175	4.05234308079068	4.03431487845308	4.56659045645004	4.45136393342752	3.98566031717444	4.31243190447799	4.36157030854199	4.37923983752341	4.75490517336788	4.12041766621588	4.5231925172882	4.32726521745124	4.20302746993093	4.26581365042488	4.00187216789002	3.88989109420868	4.23951404008977	4.24944248766811	4.61345907063304	4.60757503319504	4.33103044544208	4.21770332900616	4.11492713343797
"NK cells"	4.04411676247085	4.03481480977999	4.19209164455137	4.00469630887845	4.14519063428525	4.03836857840422	3.97224363471061	4.18533943875001	3.7969685217238	3.81856090602098	4.03030003876934	3.95107463740444	3.84719079420247	3.8996439638488	3.77480989090549	4.05960937411618	4.09322832734249	3.96390509206971	4.1076351036783	3.95054196705625	3.93679826168839	4.13777947380951	4.24411284332468	4.16314451248857	4.09881509238851	4.21856466686892	3.95503028372936	4.27941224431424	4.07416505333551	3.8610649197639	4.09678591171631	4.19940272916096	4.01660099257645	4.01871564710895	4.0056421138949	4.03676280876364	3.94099739760053	3.89825716692415
"B lineage"	6.19289581558861	6.17420163177969	6.38318104634945	5.80122411074309	5.88134291543038	5.42408348766707	5.61100650481619	5.25040207304965	4.90395645988597	6.36662836811385	5.71342926205981	6.96250293847876	5.93729995508377	6.37135343355557	5.4047625476392	5.65293978753288	5.53974132598313	5.30172635781929	5.89543690029276	5.20367753448195	5.23685125852402	5.02593011686276	5.57963835215114	5.85058438697831	5.55067619514817	5.85021780649782	5.76270245240463	5.60520683287733	5.25751458264819	5.49887869111144	5.30634664766615	5.18248492874848	5.08517723132938	7.21946931406895	6.32378906620209	5.28452405674194	6.14056847036343	5.18323556194924
"Monocytic lineage"	5.62639703255873	6.37471055038756	6.39407952231028	5.29597327130746	5.89957860600495	6.03462313839929	5.59640061801701	5.36836121973063	5.2459046501225	5.64724646351324	5.97813345685751	6.7785264518776	4.83834944942985	5.22801428192309	5.06710029942329	5.15617221894247	5.54734782719777	6.05699654398789	6.13327216781534	6.00163941663389	5.9341714289838	6.13478053581024	6.21724907230206	6.33374654987704	5.58404965873303	5.97839562683461	5.51826800063914	5.93587561861442	5.53301683453116	5.98123528664033	5.45145600887583	5.61540010293542	5.49506779798182	6.09173304442181	6.295455729012	6.21701964224594	6.57415990244874	6.05124623824389
"Myeloid dendritic cells"	4.66411083920674	4.72394286077975	4.83592081077942	4.55198028083517	4.39531554894785	4.59969183710346	4.83382490731411	4.44636378095351	4.45939808731019	4.29221986641969	4.48683509617778	4.72002034351276	4.4185859759765	4.52994246527819	4.70580413625694	4.61537973366782	4.62874644357246	4.65303846251373	4.61871499827609	4.36631344156577	4.71076386186829	4.55113365010068	4.67049616094282	4.8389537690581	4.84648827202626	4.56493184764826	4.55255884749892	4.53875723128837	4.61668922595028	4.92652494413826	4.98201589497778	4.53109525630907	4.36156569999468	4.70743615409103	4.82992228638105	4.76604709475666	4.75955993314124	4.32955140822515
"Neutrophils"	5.29025911442102	5.32120159476709	5.41304688656463	5.03650090379723	4.95023656369929	5.07518060299327	4.77132991681624	4.73259487530072	4.84382903894397	4.78327273408787	5.17319300690208	5.30520480516185	4.37900933727142	4.57008548352837	5.31166359362663	5.1609116650431	4.97517995381329	5.36153303583073	5.26749088464034	4.91064918057137	4.72554096030069	4.96128498632495	4.57352655170006	5.61662553349122	5.00981260471825	5.50654596730635	5.57899920971164	5.69801498212708	5.06771991725882	5.11802332099011	4.85719457985629	4.86346230253887	5.1914168332183	5.20248852455269	5.26592120984245	5.47279471784657	5.18109634959303	4.70355701351718
"Endothelial cells"	5.056270863532	4.9314740425694	5.30863557678354	4.76072591968836	4.89981667367444	4.94370229502603	5.19706031228034	5.06773557522831	4.98602874351069	4.75831959911192	4.90968919570154	4.98816533188957	4.75684400022254	4.93193366331323	5.06026312262686	5.16042562936535	5.38398475025114	5.09803103040098	5.12478196411788	5.0952531582991	5.32547618978007	5.22779493197785	5.10142533941618	5.14209860979115	4.95264851265477	5.33629161960455	5.51050651456182	4.98059695340168	4.82506408243337	5.27910115535158	5.34551719317561	4.84228274994672	4.75488588122237	5.20001267793336	5.20384004563794	4.75810792639357	4.88314638142309	4.99189326598071
"Fibroblasts"	9.31751887021924	9.39282711884374	9.56366475415214	8.80825326680174	8.27210466432348	8.43511997596022	7.19268247384807	6.90245727089079	8.03771874058263	7.84095257257985	8.8585794310324	9.15420298275548	6.77052133763811	7.38893535334474	7.88730165671099	8.17351484233076	10.262639471177	10.2808745181266	9.3840669142589	8.98896949691395	10.3053328716647	8.61202566852066	8.72188753495731	9.00554393874768	8.75521404359864	9.61889716845435	8.94584508980204	7.14685492719955	9.50762290862477	11.053635287497	10.7862198921341	10.2314548972377	10.0553196616924	10.4980176802219	10.6290722121983	10.593075664878	10.7877978216862	8.07529645682492
