Gene_Symbol	Tumour_type
C1QB	OV
C1QA	OV
COL8A2	OV
ENPEP	OV
GIMAP5	OV
SERPING1	OV
COL10A1	OV
DCN	OV
ISLR	OV
SPON2	OV
COMP	OV
HEPH	OV
SAMSN1	OV
ITGBL1	OV
THBS2	OV
ZEB2	OV
IL18R1	OV
PIK3R5	OV
CD248	OV
PAPPA	OV
LRRC15	OV
MS4A6A	OV
EDNRA	OV
LRRC32	OV
CLEC7A	OV
OLFML1	OV
LMOD1	OV
CD86	OV
CD163	OV
COL3A1	OV
ABCA6	OV
TNFSF4	OV
IL1B	OV
OLFML2B	OV
CD93	OV
COX7A1	OV
FCGR2A	OV
ITGAM	OV
FASLG	OV
SULF1	OV
MS4A4A	OV
RAMP3	OV
SGCD	OV
GREM1	OV
PDGFRB	OV
RASGRP3	OV
MFAP5	OV
TNN	OV
PDE2A	OV
ASPN	OV
LY86	OV
TFEC	OV
ZFPM2	OV
FOXF1	OV
RUNX1T1	OV
RARRES2	OV
SCUBE2	OV
COL15A1	OV
EDIL3	OV
LUM	OV
ACTG2	OV
IGF1	OV
MSR1	OV
TLR2	OV
FAP	OV
COL1A2	OV
CSF1R	OV
PLXDC1	OV
SH2D1A	OV
BTK	OV
ADAM12	OV
COL5A3	OV
C3AR1	OV
HGF	OV
ITM2A	OV
CXCL9	OV
IGSF6	OV
CILP	OV
WNT2	OV
MXRA5	OV
DIO2	OV
DDR2	OV
ADAMTS5	OV
KDR	OV
VSIG4	OV
ATP8B4	OV
TRAT1	OV
LDB2	OV
SP140	OV
SIGLEC1	OV
CCR1	OV
PLXNC1	OV
BGN	OV
SFRP4	OV
COL6A3	OV
PCDH12	OV
FPR1	OV
FBLN2	OV
EMCN	OV
APBB1IP	OV
CXCL12	OV
PRKG1	OV
TCF21	OV
ERG	OV
CDH5	OV
FCGR2B	OV
PTGIS	OV
F13A1	OV
AIF1	OV
CXCL14	OV
NOX4	OV
PTGER3	OV
ENPP2	OV
CH25H	OV
CD14	OV
FMO1	OV
VCAM1	OV
ARHGAP28	OV
AOC3	OV
CD33	OV
WISP1	OV
RGS4	OV
MAF	OV
ECM2	OV
TLR7	OV
