	TumourCellularity_WES	Bindea_TMEcell	Davoli_TMEcell	Danaher_TMEcell	MCP_TMEcell	xcell_TMEcell	CIBERSORT_abs_TMEcell	ConsensusTMEcell
A01	0.5973	0.749200945803429	0.009751338752685709	-0.498688000883383	52.92180509086417	0.6438	0.6639512718147311	0.36730385599742704
A02	0.5065	0.991709787724173	0.36334224159542405	-0.3783384876478139	54.33132761140622	0.6449	0.6370329489410002	0.53736739263624
A03	0.4551	1.05921421090387	0.260786848398181	-0.349831568921962	54.55296617540829	0.7916	0.650631662447705	0.557881720882948
A04	0.6496	0.809765018215162	-0.18123917904703502	-1.03072191907771	50.37517186327548	0.3556	0.5801562538340247	0.0846940182384974
A05	0.6706	0.7259041874469341	-0.15372461498405499	-0.711740091156418	50.768221582730924	0.4743	0.592367899155805	0.14133157375731303
A06	0.6695	0.624869215236878	-0.30235744508205703	-0.856947159149634	50.27804397883697	0.4328	0.604435074735273	0.0823820624184634
A07	0.7275	0.55654528572479	-0.609860640307717	-1.16952580107217	49.01932074691732	0.2759	0.5481995947279835	-0.129556744056043
A08	0.7929	0.4461409429366429	-0.535991378714513	-1.00988087855308	47.97839492558485	0.3236	0.5527613570036565	-0.103845333048551
A09	0.7211	0.293590946941971	-0.6366577584045761	-1.1863570197049298	47.524959370309794	0.28600000000000003	0.5146447385453673	-0.21833728412455602
A10	0.792	0.6319171050820229	-0.36157505467134005	-1.05706450490451	50.02910858566022	0.2242	0.5405622869671497	-0.221398256373179
A11	0.7017	0.8842393447138069	-0.228737566753805	-0.913072272788769	51.14606908140579	0.4433	0.5888881804596232	0.213784130392203
B01	0.5246	1.05963834023059	0.35160472208325294	-0.18781567022587697	55.09377729078212	0.5751	0.7064271903405636	0.6297796267574379
B02	0.8579	0.23206622128968302	-0.6097686801337528	-1.1878156702258797	47.14468735893569	0.0776	0.5217355301185294	-0.370220373242562
B03	0.7423	0.6112009341557529	-0.30757259829788597	-1.0385984900674499	49.130117214812316	0.3043	0.5728246762106383	-0.12108574373529199
B04	0.7183	0.6855342092485289	-0.43502359591254497	-1.1318979222064098	49.199945681908396	0.3895	0.5426072644379951	-0.16632138459381
B05	0.7157	0.7949974684086271	-0.34570384028484197	-0.978539077902475	49.87274094785046	0.34700000000000003	0.562310460330508	-0.0225209099598137
B06	0.6561	0.874587646042114	-0.3805265672017051	-1.03129383232395	52.020034463096316	0.3009	0.5415485208984091	-0.0297410760278563
B07	0.6437	0.929325263465216	-0.0105191309579926	-0.6025568205053929	52.59590717587413	0.617	0.6146110583001065	0.31037674463000703
B08	0.6137	0.975647284220497	-0.0553901945320707	-0.7085818418329941	52.653355585144034	0.4392	0.6100124808597903	0.22786042349746
B09	0.6085	0.8798723593527541	-0.23179582756546102	-1.0164006068164202	50.121641957028636	0.3279	0.5919113622858372	0.132599055370018
B10	0.5533	0.758249382666074	-0.27169193299341393	-0.8998819296743409	51.92193997319857	0.5089	0.5787501952643501	0.16293227952925599
B11	0.5763	0.605110029936215	-0.378236559096213	-0.9778833028297758	50.38048811958323	0.4985	0.5999404334638053	0.117373158410169
C01	0.6405	0.742791544363012	0.0429918187718054	-0.670027690087636	52.968614545406965	0.4764	0.6135444305563234	0.382069341654146
C02	0.6084	0.7491015023910259	-0.10429820876652801	-0.948394569140403	50.44094969256017	0.4315	0.5921642090283986	0.228845609851505
C03	0.5633	1.0363591159902101	0.0698357817964626	-0.626163901859201	53.41878844262303	0.6314	0.6735581284013217	0.442950958998101
C04	0.5549	0.8328461340582142	-0.18213921614665501	-0.89237005200011	51.82006780061089	0.4649	0.5956242493858857	0.189969183906302
C05	0.465	0.758767041120251	-0.0752819601050868	-0.70174858105489	50.03690663827287	0.518	0.6108694986335288	0.223494535746607
C06	0.6625	0.5510644960148859	-0.39590494330559606	-0.9626619927666921	50.56770829489584	0.3742	0.5883986980588694	0.0174157270732375
C07	0.6217	1.0175147236532	-0.092276350615533	-0.887523311867787	53.554100847301775	0.6051	0.5799303244307877	0.32009956219967606
C09	0.7377	0.7131769665139941	-0.28927622856671603	-0.816289608051189	51.71579452327062	0.4608	0.5687176118190531	0.18720696162651698
C10	0.7359	0.72923587015634	-0.38207616329986205	-1.0423721990233001	50.829615930364206	0.366	0.5512985518930109	-0.00529947443271977
C11	0.3932	1.23206622128968	0.19988106402395003	-0.462965876433133	55.971187231147915	0.753	0.6395675643403473	0.45065983208384497
C12	0.4936	1.04489664846682	0.0619464339515624	-0.412208333239836	55.03830275867856	0.6779999999999999	0.6025382745963638	0.41818026862829605
D01	0.569	0.8746326968059209	-0.051748077465768	-0.620973558674824	53.23032742881485	0.4542	0.6028011070606025	0.326177883919274
D02	0.5998	0.900170366051764	0.0573587813043161	-0.514608311942061	54.15864155296109	0.5345	0.6287357731722666	0.45208283100441404
D03	0.8009999999999999	0.362959118644383	-0.609058359341689	-0.9819626691701802	48.50164354515279	0.3206	0.5441710058387191	-0.112674158374581
