Samples	TumourCellularity_WES	Bindea_TMEcell	Davoli_TMEcell	Danaher_TMEcell	MCP_TMEcell	xcell_TMEcell	CIBERSORT_abs_TMEcell	ConsensusTMEcell
A01	0.5973	0.5171347245137475	0.6464090971572618	0.6891276693424949	0.6545196641441217	0.7929971988795519	0.7785203071071783	0.7375242292399891
A02	0.5065	0.7596435664344923	1.0	0.8094771825780637	0.8142117891029111	0.7945378151260505	0.6381616735525456	0.9075877658788021
A03	0.4551	0.8271479896141894	0.8974446068027571	0.8379841013039155	0.839322372823626	1.0	0.7090686485099147	0.92810209412551
A04	0.6496	0.5776987969254808	0.45541857935754104	0.1570937511481694	0.36599836301024286	0.3893557422969188	0.34159285521397387	0.4549143914810594
A05	0.6706	0.49383796615725256	0.48293314342052107	0.47607557906946046	0.41052900654345675	0.5556022408963586	0.4052673218164818	0.511551946999875
A06	0.6695	0.39280299394719614	0.334300313322519	0.3308685110762448	0.354994240669031	0.4974789915966387	0.46818848830753546	0.4526024356610254
A07	0.7275	0.324479064435108	0.02679711809685903	0.01828986915370962	0.2123869501073005	0.27773109243697475	0.1749631202882385	0.240663629186519
A08	0.7929	0.21407472164696054	0.10066637969006309	0.17793479167279933	0.09445505905164696	0.3445378151260504	0.19874925000434224	0.26637504019401104
A09	0.7211	0.06152472565228819	0.0	0.0014586505209499517	0.043082990639504076	0.2918767507002802	0.0	0.151883089118006
A10	0.792	0.3998508837923411	0.275082703733236	0.1307511653213694	0.3267910574388975	0.20532212885154064	0.13514035397492805	0.14882211686938301
A11	0.7017	0.6521731234241259	0.4079201916507711	0.27474339743711	0.45333731155056556	0.5121848739495799	0.3871232285294809	0.584004503634765
B01	0.5246	0.8275721189409094	0.988262480487829	1.0	0.9005936721159341	0.6967787114845938	1.0	1.0
B02	0.8579	0.0	0.026889078270823208	0.0	0.0	0.0	0.03697309898162261	0.0
B03	0.7423	0.37913471286607103	0.3290851601066901	0.1492171801584295	0.22493965723912798	0.3175070028011205	0.30336423964065856	0.24913462950727003
B04	0.7183	0.45346798795884724	0.2016341624920311	0.05591774801946977	0.23285088684395874	0.4368347338935575	0.1458033601660745	0.20389898864875203
B05	0.7157	0.5629312471189457	0.2909539181197341	0.20927659232340423	0.30907535585009016	0.37731092436974795	0.2485405799068768	0.3476994632827483
B06	0.6561	0.6425214247524329	0.256131191202871	0.15652183790192933	0.5523533874972679	0.3127450980392157	0.1402828157696735	0.3404792972147057
B07	0.6437	0.6972590421755351	0.6261386274465834	0.5852588497204853	0.6175969972083823	0.7554621848739496	0.5212485230999804	0.680597117872569
B08	0.6137	0.7435810629308162	0.5812675638725053	0.47923382839288436	0.6241056257816137	0.5064425770308123	0.4972704302282352	0.598080796740022
B09	0.6085	0.647806138063073	0.40486193083911504	0.1714150634094591	0.33727464353849446	0.3505602240896359	0.4028868283683359	0.50281942861258
B10	0.5533	0.5261831613763925	0.3649658254111621	0.2879337405515381	0.5412397534047133	0.60406162464986	0.33426132640874145	0.533152652771818
B11	0.5763	0.3730438086465331	0.25842119930836305	0.20993236739610344	0.366600669290729	0.5894957983193277	0.4447523437103879	0.487593531652731
C01	0.6405	0.5107253230733305	0.6796495771763814	0.5177879801382425	0.6598229502961062	0.5585434173669468	0.5156868685596462	0.752289714896708
C02	0.6084	0.5170352811013444	0.532359549638048	0.23942110108547612	0.37345067482545824	0.49565826330532214	0.40420523232132866	0.599065983094067
C03	0.5633	0.8042928947005296	0.7064935402010386	0.5616517683666773	0.7108254885313714	0.7756302521008404	0.8286127764476459	0.8131713322406631
C04	0.5549	0.6007799127685329	0.45451854225792104	0.295445618225769	0.5296981260255081	0.5424369747899159	0.4222467180000184	0.560189557148864
C05	0.465	0.5267008198305695	0.5613757982994892	0.48606708917098845	0.32767453930889673	0.6168067226890757	0.5017391277848484	0.593714908989169
C06	0.6625	0.31899827472520387	0.24075281509898	0.22515367745918707	0.3878118150476129	0.41540616246498596	0.38457094913075585	0.38763610031579954
C07	0.6217	0.7854485023635194	0.5443814077890431	0.300292358358092	0.7261557334345335	0.738795518207283	0.34041480476607244	0.690319935442238
C09	0.7377	0.4811107452243125	0.34738152983786	0.37152606217468975	0.517884465021722	0.5366946778711484	0.2819490144563906	0.557427334869079
C10	0.7359	0.49716964886665843	0.254581595104714	0.14544347120257922	0.4174846909622109	0.403921568627451	0.19112183103585556	0.36492089880984224
C11	0.3932	1.0	0.8365388224285261	0.7248497937927448	1.0	0.9459383753501401	0.6513777701016391	0.820880205326407
C12	0.4936	0.8128304271771395	0.6986041923561385	0.7756073369860416	0.8943086743357601	0.8408963585434173	0.4582981144951554	0.788400641870858
D01	0.569	0.6425664755162398	0.584909680938808	0.5668421115510542	0.6894737617385691	0.5274509803921569	0.45966858641152986	0.696398257161836
D02	0.5998	0.668104144762083	0.6940165397088922	0.673207358283817	0.7946472889108493	0.6399159663865546	0.5948981961537162	0.822303204246976
D03	0.8009999999999999	0.1308928973547004	0.02759939906288711	0.20585300105569904	0.15373661200507074	0.3403361344537815	0.15395708531708013	0.257546214867981
