	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03
Adipocytes	0.1906	0.2367	0.2781	0.0308	0.035	0.1251	0.0115	0.0866	0.0827	0.0458	0.0792	0.1295	0.0273	0	0.1602	0.1109	0.1597	0.2312	0.0852	0	0.1437	0.0671	0.0407	0.0813	0.0271	0.0563	0.1476	0.0382	0.0744	0.1431	0.1454	0.1261	0.0933	0.2408	0.367	0.1321	0.1885	0.0594
Astrocytes	0	0	0	0.0068	0	0	0	0	0	4e-04	0.0323	0	0	0	0	0	0.0067	0	0.016	0.0091	0	0.0244	0	0	0	0.0341	0	0	0.0189	0	0	0	0.0574	0.0345	0	0.0457	0	0
B-cells	0	0.058	0.0555	0.0199	0.0336	1e-04	0.0362	0	0	0.0292	0.0286	0.0766	0	0.0207	0.0299	0.0336	0.0506	0.0556	0.1123	0.0226	0.0109	0.0321	0.0429	0.0556	0	0.0027	0.045	0.0479	0	0.0777	0.0245	0	0	0.1755	0.1019	0.02	0.0805	0.0467
Basophils	0.0681	0	0	0.05	0	0	0.0965	0.1611	0	0.0852	0.0896	0.154	0	0.1834	0.0754	0.0676	0.0938	0.0132	0.1205	0.0816	5e-04	0	0.0039	0.0252	0.1125	0.1182	0	0	0	0.0624	0.0479	0.0071	0	0.0629	0	0.0777	0	0
CD4+ T-cells	0.0926	0.2097	0.1427	0.1017	0.0987	0.0436	0.1015	0.002	0	0.1311	0.1135	0.1561	0	0.0585	0.0643	0.0927	0	0.0821	0.0742	0.1275	0.1137	0.119	0.1731	0.0376	0.0782	0.1069	0.0864	0.1034	0	0.0751	0.0023	0	0	0.1914	0.0454	0	0	0
CD4+ Tcm	0	0.0584	0.028	0.1867	0.0125	0	0.1176	0	0	0.0282	0.1977	0.0279	0	0.1601	0.1116	0.1051	0.0979	0	0.0251	0.1437	0.0244	0	0.1089	0	0.1215	0.0914	0.0668	0.1241	0	0.0735	0.0315	0	0.0686	0.1663	0	0	0	0
CD4+ Tem	0.1002	0.1394	0.1078	0	0.043	0	0	0	0	0	0	0.1943	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	6e-04	0.0216	0	0	0	0.0041	0	0.0774	0.0725	0.1164	0.1093	0
CD4+ memory T-cells	0.1544	0.3051	0.1985	0.04	0.1371	0.1104	0.0246	0.0335	0.0859	0.1887	0.0369	0.3141	0.1172	0.0853	0.0456	0.0448	0	0.1345	0.0738	0.0781	0.1822	0.121	0.1809	0.1393	0.0593	0.0675	0.0924	0.149	0.0651	0.0868	0.0158	0.0744	0	0.2245	0.2092	0.141	0.1634	0.0573
CD4+ naive T-cells	0.0267	0	0	0.0116	0	0	0.012	0	0	0	0	0.0197	0	0	0.0425	0.0634	2e-04	0	0.0036	0	0.0139	0	0.0086	0.0315	4e-04	0.0159	0	0	0	0.0136	0.0492	0	0	0.096	0.0207	0	0	0.0591
CD8+ T-cells	0.0548	0.0687	0.0762	0	0	0	0	0	0	0.0175	0.0281	0.0767	0.0196	0.1214	0.0579	0.0132	0.0045	0.0292	0.0208	0	0.0193	0.0436	0.0359	0.0302	0	0	0.0102	0	0	0.0383	0.0613	0	0	0.0999	0.1147	0.0479	0.0758	0.0918
