"","RG10T17","RG10T18","RG10T19","RG10T5","RG10T7","RG10T8","RG13T10","RG13T11","RG13T122","RG13T13","RG13T14","RG16T1","RG16T3","RG16T5","RG16T9","RG17T13","RG17T14","RG17T19","RG17T6","RG17T7","RG17T9","RG19T10","RG19T11","RG19T7","RG19T8","RG19T9","RG1T3","RG1T5","RG1T6","RG1T7","RG20T10","RG20T12","RG20T14","RG20T8","RG4T1","RG4T2","RG4T3","RG4T4","RG4T5","RG5T12","RG5T13","RG5T14","RG5T15","RG5T16","RG5T17","RG5T22","RG6T12","RG6T13","RG6T16","RG6T3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,3,3,0,1,1,0,0,0,0,2,2,1,3
"HALLMARK_HYPOXIA",2,1,1,1,1,1,2,3,1,1,0,0,0,0,0,0,0,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,2,2,2,2,2,1,2,2,1,1,1,1,1,0,1,0
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"HALLMARK_MITOTIC_SPINDLE",4,3,4,3,4,4,2,1,0,0,0,0,0,0,0,3,3,2,3,2,2,4,2,4,4,4,1,1,1,1,2,1,1,1,3,3,2,3,3,1,2,1,1,1,2,2,4,3,4,5
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,5,4,4
"HALLMARK_TGF_BETA_SIGNALING",0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HALLMARK_DNA_REPAIR",1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"HALLMARK_G2M_CHECKPOINT",5,3,5,4,5,4,0,2,1,0,0,0,0,0,0,2,2,2,3,2,2,1,1,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,2,2,3
"HALLMARK_APOPTOSIS",0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3
"HALLMARK_NOTCH_SIGNALING",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HALLMARK_ADIPOGENESIS",1,0,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1,2,1,1,1,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,3,2,1,1,3,3,3,3,2,1,2,1,3,3,3,3,3,0,1,1,0,0,0,0,0,2,0,1
"HALLMARK_ESTROGEN_RESPONSE_LATE",2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,3,1,2
