"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"	"D04"	"D05"	"D06"	"D07"	"D08"	"D09"	"D10"	"D11"	"D12"	"E01"	"E02"	"E03"	"E04"	"E05"	"E06"	"E07"	"E08"	"E09"
"B_cells"	0.254476722528326	0.183183188667564	0.328433752870533	0.222920033613163	0.158446258250899	0.208607600480721	0.153615923078253	0.241499052378684	0.227171372704478	0.243108341699609	0.198091712531935	0.309960828888833	0.240226271660138	0.283522739778435	0.283903525539539	0.204091397769113	0.135840448831332	0.252170004770271	0.2498001197189	0.193300555867678	0.269692331471669	0.308056858263677	0.121855653784927	0.240184163568479	0.263878243876199	0.340479236713691	0.413769906817786	0.277931749471315	0.321245776644019	0.382155213813462	0.288790841546122	0.305420330774344	0.343219248952163	0.33251446723801	0.262001954356021	0.298621681356585	0.251798983511726	0.30884393850542	0.360229465303705	0.252898014183275	0.326336538469921	0.370788681084022	0.284237392269451	0.390816884364758	0.343233769870342	0.307653507581109	0.282397367479566	0.200238801835534	0.268572408957326	0.135624957337221	0.237828815278138	0.174235115889616	0.346601222043945	0.451349340878274	0.345058958564623	0.261922152684058
"Cytotoxic_cells"	0.160123909318128	0.0868282634044348	0.250782530493812	0.469282972418606	0.149996720697013	0.280421254389444	0.183015171486575	0.136131646225779	-0.013995578804434	-0.00543062721342665	0.00847304949239222	0.392930577711107	0.0416513856271448	0.33674780083909	0.297392516966294	0.106709745963543	-0.0604710101978326	0.18689107373024	0.145455529775448	0.0100639842719289	0.162680788676524	0.0433975607638456	-0.0101676989070293	0.000951354807403184	0.0972175541645392	0.130971645314446	0.146716009078044	0.211254061447493	0.244644453050331	0.247623539842556	0.0968308104397182	0.0338152897980849	0.106512183564298	0.0101236005129213	0.215497229930205	0.30859640049435	0.0800540433587802	0.0765716750076325	0.205105884613566	0.318964256728632	0.103349784896327	0.20584623100835	0.146378673106721	0.0963444928291262	0.0272123551938355	0.281511956110559	0.119811677485765	0.128451302351215	0.0537430265450114	-0.0613809754667	0.264916311773078	0.130405876643271	0.0560871241558122	0.426493258354148	0.242745752555629	0.000834650316587691
"Dendritic_cells"	0.234120230763852	0.24272548749797	0.358289903507062	0.249667599559904	0.096654911894513	0.219567869754666	0.186519743218448	0.244218535772657	0.175393981616832	0.1259737710286	0.181759398663013	0.352553297087797	0.196042788385478	0.412271452192345	0.411542290191904	0.272549479991406	0.13645580429064	0.249246902839815	0.224033387484628	0.168399979791502	0.337810424464326	0.24843781692449	-0.0445326800871593	0.150644192540193	0.3302347471353	0.312484403182541	0.333000249768188	0.191627394856478	0.271172113174256	0.358566465228961	0.260903101121203	0.215952131519107	0.294668476598114	0.226592882643486	0.233126743572007	0.213480787421439	0.269060465497486	0.329438786558823	0.239114592127844	0.183850814341387	0.284812783788183	0.415590250028998	0.173155991677315	0.358884773297427	0.448837242600462	0.40330238337656	0.195455213158592	0.21375866611246	0.300446687836968	0.175863934596363	0.352041638729914	0.078573989053775	0.344771613787269	0.479415781787511	0.396381137799071	0.237164726216414
"Endothelial"	0.14187053153029	-0.0310622498048932	0.359778593088977	0.385954303156862	-0.0389338133256368	0.295855020408297	-0.0231795809522432	0.343295164943451	0.143790322103469	0.186742865229204	0.185690909251767	0.455674894759178	0.132192142903117	0.229109198685398	0.324456568069087	0.17986191341844	-0.0133499506686801	0.201806481776941	0.202163588525773	0.0835033513502896	0.361892870381763	0.279374260227143	0.108087023709277	0.233644291986274	0.36535534405049	0.244548680954475	0.484048283440113	-0.0703132562131874	0.042307771875372	0.223459977226303	0.265775099161353	0.17201601534274	0.314349496667768	0.184149659896599	0.296313862532724	0.3032175925524	0.210955458230395	0.139012718600754	0.0615134296286467	0.0766227815967545	0.401505897877346	0.397187515611874	0.106608162195911	0.140552622030653	0.338520129327818	0.503647963458593	0.214453685138195	0.263538114325857	0.230675524391462	0.182907607038636	0.467953126725275	0.115958668542757	0.192064984003125	0.339805499109494	0.233109898140138	0.231085604980424
"Eosinophils"	-0.104189950301677	-0.00194160396698617	0.118276210361944	0.292185917974941	-0.136141994286991	-0.127744150719063	0.0223355643968448	0.30386419715344	-0.0695896241402777	0.0749150281137964	-0.0866862152015186	0.13927593137983	-0.036726012470143	0.229402281982618	0.23703105184103	0.422096908123531	-0.0662335611051095	0.0293283724708529	-0.152162396273042	0.0500375262170716	0.315413070471288	0.154183957326574	-0.314087264438972	-0.00856828255119883	0.0937368732900917	0.0879361230161115	0.0849832793500441	0.119930531250934	0.163154584791813	0.224607745582519	-0.0520947537126462	0.00151399775210576	0.0667995548851782	0.0884554368117207	0.118821108753772	-0.148890374428553	0.00914772650471022	0.235120721190052	0.100380803227514	0.174935489947261	0.0113279888716795	0.299188976167567	-0.0351866261452796	0.176008183816838	0.339284911183781	0.358198431456789	-0.178186655287233	-0.153297622484578	0.104774145469447	-0.223998961892052	0.0835877269674078	-0.0649872301563179	0.086108978224893	0.351228023918818	0.0809688235218433	0.00739860635922895
"Fibroblasts"	0.0924194450908062	0.0934666335380633	0.304250474163323	0.499391309492064	0.034148503729217	0.0304903679544819	0.275704750673251	0.475787022800263	0.197222095249303	0.128937466684886	0.276656518154196	0.327503661072891	0.261495483821625	0.282775410662986	0.168661397212249	0.232631572002355	-0.0345001927270713	0.169337874216175	-0.0365189254470613	0.143070235612426	0.235465835573893	0.266617714050443	0.052441971501333	0.222632558706054	0.253242803920084	0.248064599505379	0.115856131327664	0.283100208032155	0.101908097260296	0.334260704619007	0.130748221282655	0.311530847875979	0.43001717445971	0.3239767847209	0.343556355511442	0.420800309036789	0.174764160550637	0.308723445622401	0.0822862879253923	0.263212659724797	0.397605424772614	0.157077490706467	0.203887864676272	0.0733475610079699	0.171678390251047	0.29492627100179	0.154081888308826	0.304058255004247	0.256775272041063	0.178975861116819	0.543117877563799	0.455606258968098	0.150162399068218	0.394731649217983	0.20592658674225	0.471351750998843
"Macrophages"	0.267011244078821	0.283662518926625	0.409126544562044	0.28482215940224	0.230793066284101	0.388581977486478	0.320210539052428	0.38265835506249	0.312836568766794	0.243804869834678	0.229029704711021	0.365705363555947	0.329690379010472	0.404132412268631	0.40245528703817	0.349618707572421	0.331168354113342	0.317178564569455	0.348416726460901	0.274589690637929	0.4502848230211	0.291016252564668	0.184025448359662	0.232763072774286	0.398929214957077	0.39043655814187	0.323217065811465	0.242237778568984	0.344602203983918	0.412135390044193	0.33825425891363	0.264258192439399	0.435584872211519	0.312103824652259	0.275930870657532	0.259791391448261	0.341398751759197	0.369900198337542	0.346670955829463	0.308523025668897	0.39763231345341	0.467101509358639	0.27128173357305	0.414623749264478	0.530177936479107	0.439907291736212	0.324991194130315	0.273913887712775	0.325530595158992	0.277976898331732	0.38172506410001	0.2432721729755	0.397357221415992	0.565550535702034	0.455493743783442	0.310525958812234
"Macrophages_M1"	0.172089923488776	0.104844607440783	0.295065769912361	0.218594435004729	0.127380645441438	0.28125938449421	0.136686201944384	0.25654976901935	0.162904662388867	0.169095846114392	0.269936979877756	0.278919928088675	0.264813728612616	0.383967756732529	0.365053502885164	0.286788067229609	0.235828425787827	0.138277895361358	0.256711915754676	0.168829609556767	0.24215468670989	0.215264045237024	-0.00438989963660843	0.152429804117688	0.351234062001623	0.349591063600663	0.241054669210901	0.167571803525346	0.32986630528963	0.393061935256358	0.2383644300203	0.228660743017818	0.285268097808286	0.257676446394933	0.191469130768882	0.23788371366451	0.277898436515638	0.284384465451218	0.338877654368087	0.209443149441126	0.304887879689067	0.396921425195966	0.206962325291869	0.388124768453838	0.434104837496242	0.367679094609158	0.233326995579036	0.175733452492624	0.222948885859623	0.216427212827256	0.263176155743658	0.120870383321908	0.341486083451118	0.551004776018962	0.42504874676718	0.200408086242835
"Macrophages_M2"	0.181447845503694	0.196052008157033	0.321066902050989	0.312852096173266	0.204350217005723	0.398029073556163	0.279162598584762	0.435694607556114	0.175125508060609	0.166478929485269	0.193305374950076	0.329685473060252	0.262568039708057	0.411970777014764	0.413961545015082	0.248416770334583	0.179098532151897	0.297547238377382	0.202751822187127	0.176430152085102	0.438709264028153	0.212003737613765	0.0981961860430773	0.214356829087421	0.377867913503956	0.370414316781234	0.275027353473571	0.221873848010452	0.319983650253197	0.469969932815333	0.268768925555879	0.187957353967677	0.351752586386427	0.325379222533563	0.216784014362266	0.26335091898376	0.341013758970982	0.283212692203306	0.298682274131418	0.16488994694301	0.283481783536136	0.385648381081656	0.151517286424558	0.351576730255278	0.454010995018367	0.414063003299594	0.323554990285621	0.27016399258131	0.27646400726659	0.172136507546568	0.38604253555602	0.168484388714733	0.428311181658157	0.502083810830276	0.392324202500162	0.22080568786583
"Mast_cells"	0.0219261589457286	-0.115811742715306	0.0410392978999701	0.30652579359679	-0.153833683677097	-0.0755776801152256	0.169579930728733	0.359975140161023	-0.0237610980358433	0.158884357983735	-0.16356791301826	0.159146448410749	0.118987683623722	0.0538304819075918	0.117779501656012	0.0206989282261896	-0.014474365777901	-0.0629444184219762	-0.0190682636454435	-0.0504078466220934	0.364890110113847	0.102406852131198	-0.312022097140564	-0.0831046749038172	0.0727694582939251	0.14768137777071	0.238699836716021	0.182197106845821	0.0379652605658844	0.276350232916965	-0.0630104375933331	-0.0620054031186128	-0.0132740806290853	0.0541666209251339	0.0987135458748176	0.028486066453183	0.0633576175178111	-0.0402428590624895	0.0860231082487904	0.176718322266058	0.0590443373028736	0.20854799863778	0.147818285416401	0.231708143865331	0.22398818837684	0.0376799744036733	-0.0253522204571834	-0.186778904262383	-0.0306086881237525	-0.124345249615944	-0.0125576861677295	-0.226086852328814	0.204666481403012	0.312024553697992	0.277249164270797	0.113714226666157
