"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"	"D04"	"D05"	"D06"	"D07"	"D08"	"D09"	"D10"	"D11"	"D12"	"E01"	"E02"	"E03"	"E04"	"E05"	"E06"	"E07"	"E08"	"E09"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.0926960040421763	0.159109252264559	0.221559838648231	0.210023695780867	0.0997851732047391	0.118758345932141	0.100212170553524	0.272152079218399	0.108367937267431	0.0990135673899463	0.127629973426853	0.154669416645515	0.104017618659772	0.265086916399762	0.268921848171906	0.273348671722509	0.162841656827202	0.207157248225556	0.102154905105775	0.213414060947779	0.28184536634863	0.255097703055623	0.0673165702843175	0.267761085911553	0.161807443778937	0.20950844463363	0.202112441218445	0.2126841074235	0.160701284729069	0.277089455395963	0.138667542084474	0.242537079236298	0.168907861587833	0.15841784960803	0.146859182885407	0.122458665207324	0.161880456485341	0.297934074640866	0.124779869523725	0.232759624004245	0.141761070394242	0.235193021191996	0.116949140227605	0.179976818207308	0.19752443374963	0.372246691841392	0.166682126922188	0.180769629711597	0.18204432281919	0.123419949581815	0.167660444344884	0.17793360093842	0.175181095339205	0.249246398828433	0.163604805572563	0.283639206601816
"HALLMARK_HYPOXIA"	0.186010243582726	0.196142559065858	0.214818722412151	0.237167822061211	0.192770330001286	0.204422645448867	0.165282779145021	0.278923073922623	0.201644968582974	0.195267934693561	0.208152751048462	0.22021557324382	0.210237417531713	0.270847920856836	0.267333116426209	0.2322190073557	0.199185130504854	0.263079854409442	0.173790214285583	0.260003836240583	0.317255212578317	0.249369704516858	0.197786941704588	0.252186629747791	0.215036170269948	0.218518415525796	0.203751899018891	0.246847156670983	0.174871007229896	0.250417617034847	0.189582542795069	0.281822730762236	0.254286065985043	0.233534983587032	0.196801056167541	0.224184562061063	0.217929297084156	0.266367290285273	0.160937788655961	0.254903585417757	0.187308423641951	0.237695717161496	0.194665527019659	0.173803365529242	0.272042952773476	0.319429825531197	0.213112162872021	0.231051722917752	0.221523630740807	0.23859926306183	0.243462254165689	0.232688833096441	0.20469187914511	0.258382618764803	0.231907422407338	0.28690750707269
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.255208328854914	0.282680320671529	0.285083114203607	0.260298398967621	0.321267443884763	0.309121043752408	0.292942602560673	0.313485733860846	0.286083595541711	0.277111008588108	0.308061759493653	0.28512475853831	0.328917062794555	0.381666103570955	0.303647822205885	0.298684225026443	0.349777291780655	0.272192563529951	0.321340051974077	0.367896256616794	0.325445101274902	0.325111921845399	0.372217275921026	0.348820911499047	0.266388635885181	0.340480789599278	0.270303638134053	0.286358287637514	0.298314208842465	0.297487448951207	0.313433259091772	0.319639352468263	0.346543343914736	0.321801447827625	0.289028150661505	0.270726499181343	0.284349873430299	0.306528239890844	0.213175091943112	0.270212033401363	0.22760012999416	0.2950896077236	0.277293150182403	0.312494449501961	0.301419976890845	0.360152031762094	0.322880714168123	0.262718549528758	0.292338098600481	0.381792979805465	0.237000344293985	0.292131549696689	0.267532758894888	0.301602892122047	0.295405925965763	0.393217662496809
"HALLMARK_MITOTIC_SPINDLE"	0.30521836740387	0.317704670612598	0.293826374857403	0.255305604911516	0.278672951720475	0.30250652222104	0.298289409213899	0.265211476853216	0.338189736284618	0.302090801960389	0.372412971106076	0.317902602426508	0.340152574523111	0.347236773226648	0.316201420250998	0.262895359169223	0.269800317883982	0.334684223239633	0.292239277103832	0.327485276032793	0.300306630198383	0.32601932419241	0.389857541327882	0.290413670540094	0.292434601571979	0.334300497333415	0.277561666780995	0.310176090621644	0.278736245463545	0.360115865824504	0.323577145932441	0.288949854668017	0.350076031346105	0.358621631132499	0.256598475024226	0.282576552419499	0.349579365706981	0.29162429912365	0.260036403568719	0.265401261235661	0.269459923426456	0.340130392230162	0.280884329259573	0.328157127801455	0.409120372270773	0.294848358111474	0.292190650001195	0.312170248626807	0.317407095021663	0.400397517546633	0.324669864700766	0.305270231775379	0.306001009028935	0.297999562739461	0.30271957361977	0.303047484029501
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.218775335021309	0.238017167478905	0.212214292224828	0.256485299781733	0.252541378805265	0.250669554062843	0.242941413384192	0.173667058310228	0.262190317924183	0.294070636283888	0.251076655433474	0.243007717468902	0.271754914975805	0.203618175103929	0.210010005382312	0.186848416267068	0.200663712352034	0.163911909313329	0.210713922894931	0.221764101201677	0.272158793738492	0.228832830226409	0.307238702876287	0.254103459200251	0.228084673070764	0.24885549546716	0.233665271340682	0.211923155567502	0.255759583131651	0.273925308557964	0.247741742673636	0.230037460566883	0.263320990525182	0.230632817892238	0.189319058657711	0.232824698374266	0.224249931039641	0.264959456018434	0.195000706892808	0.230920364271287	0.189136365856373	0.205932682254974	0.200086955425003	0.327041265084842	0.271234312450619	0.290798322125553	0.24526984195933	0.28962135802475	0.233976549850792	0.296323319432987	0.177104325292079	0.233126723774833	0.223969939132205	0.227051894223098	0.261403538370832	0.235832320672473
"HALLMARK_TGF_BETA_SIGNALING"	0.319308931283518	0.390819424415212	0.323518607027451	0.275202046824595	0.274844128021448	0.321364429439799	0.268170250286367	0.39143490594852	0.303502491489142	0.244003027385011	0.273469163289304	0.31002158124929	0.324772710398125	0.372566748507451	0.363293651736895	0.340614358349971	0.289467887816479	0.37036754932435	0.208534226996457	0.322621924518516	0.351718596847672	0.390626960002682	0.357169943301484	0.339059425397644	0.342623783309466	0.334272716641176	0.297019966600296	0.346070432302825	0.260526519973202	0.362901030712754	0.296411972422399	0.376965262751007	0.338850749301897	0.263012773268327	0.227452221452423	0.235385225751233	0.338285603327136	0.313521347387354	0.20654304027671	0.322927414110962	0.305064640702125	0.313987554006844	0.222994606724026	0.302337240254624	0.365447250711639	0.416041705520537	0.305087680124454	0.361273685985754	0.294062080673916	0.35510271581995	0.268476222088537	0.381691958879417	0.273935845704543	0.323245400702859	0.287712132097435	0.424110049313813
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	0.0632042750302294	0.120196254037845	0.219716368384587	0.167111299146858	0.0802435127502063	0.13188892150738	0.0675816896361365	0.135799640045804	0.0694989826182142	0.101753264155108	0.141710509536909	0.162922283661794	0.142852152568542	0.219996402111149	0.223793738707737	0.202792465258485	0.136341248628077	0.172265384639343	0.142880257308853	0.147132801374468	0.212973339027464	0.152490674138882	0.0164238928005091	0.126989232396649	0.151498739009557	0.179908963187815	0.196182486081884	0.0647903674315282	0.164021212133898	0.206827962658974	0.124146624395683	0.152052878108032	0.13679299268984	0.0799197506124175	0.13583882918334	0.0970351716449868	0.154015595069941	0.144961463193616	0.123432906261107	0.119150197095793	0.164971873480714	0.230308469520745	0.122623265203844	0.187573989827502	0.166793864204685	0.220485611560768	0.13542180371701	0.12429391577667	0.150610090254295	0.089163527014017	0.162102836934091	0.0738863646353227	0.132184053567342	0.229993222259074	0.200837012926265	0.164270023872539
"HALLMARK_DNA_REPAIR"	0.283149128895005	0.355468912816776	0.279329159094371	0.246652282954897	0.286553106132039	0.305025055765776	0.289977681642843	0.269223890203819	0.336732005008025	0.282497913082492	0.331350613027218	0.286016815925816	0.35379915480852	0.367565591161581	0.300324971656283	0.297520472497844	0.273355655862236	0.318872679419042	0.284127347994846	0.294408055889915	0.313350887613315	0.291585216144161	0.365017023825347	0.31132482085562	0.250156798321497	0.320095542617971	0.267825542993792	0.241814243713031	0.292023718628108	0.308549082319624	0.287615121166474	0.26960242592463	0.29531419665119	0.355402954693517	0.253257525138725	0.239785784226614	0.305106442151853	0.284457578546554	0.245981415922107	0.277321369375594	0.276355306116413	0.319690091387242	0.267498271827316	0.304168481417464	0.330844377413446	0.275486741312091	0.31635391869917	0.291173316681255	0.276848950396441	0.33656985109189	0.286301392941594	0.32392048011398	0.261227953079274	0.287156057351908	0.284671995880193	0.312496513359024
"HALLMARK_G2M_CHECKPOINT"	0.366102217362958	0.367244448500704	0.272017895828121	0.212473896920541	0.344718582914887	0.309550900919657	0.30224419376231	0.236115401808277	0.376562607745022	0.278810730356587	0.421087787001252	0.264172339790572	0.413289951412659	0.442435830817601	0.331911831291251	0.248304936452749	0.346402154204451	0.334397379874436	0.283415466949752	0.30040461284388	0.310234708144485	0.280152100290577	0.486701033388953	0.300936986535209	0.285261576069435	0.335288771157018	0.265481147147765	0.262900909339386	0.341497806682389	0.384286111736179	0.347443935382992	0.281676889226857	0.367778743539846	0.427566767152932	0.29062263960765	0.266286305554604	0.374160089781949	0.293061137777267	0.278987968140963	0.249480083835065	0.253065397990826	0.329794450755479	0.341636387883969	0.382170556603572	0.430294911056525	0.270632156335091	0.309994448573043	0.289113398813819	0.302380225854904	0.474628777631682	0.317571899728812	0.277078276499464	0.322630478672138	0.286833925283501	0.329961572461794	0.306273739332007
"HALLMARK_APOPTOSIS"	0.293164130464578	0.323681263373898	0.368760423914819	0.32331036356673	0.301615679212084	0.340348406893161	0.319308793390081	0.373660293085769	0.336610188156766	0.256980579360798	0.347447034401618	0.377030578141931	0.301221029266647	0.411557712154015	0.394718872331011	0.354439111754021	0.305766588952628	0.339855343761514	0.320609628771411	0.393212277350341	0.388028313786756	0.339075326274178	0.30129705938757	0.336458469147385	0.350841580821908	0.379169883820863	0.326117043585858	0.307701282221154	0.287538556843367	0.395880792521252	0.342758149046219	0.355365248065213	0.392260583849732	0.355316421298925	0.306138396397727	0.322404541514422	0.340343358189824	0.342908727087873	0.249226947882312	0.341267220664748	0.292419513902506	0.37797948242208	0.294828691687766	0.363874657595883	0.366294821306154	0.392486589484362	0.321995021102521	0.366275269302023	0.329136073956552	0.35102816760814	0.347536288371769	0.353755626042675	0.331695263108097	0.39513424367407	0.341393835978035	0.38260576984518
