Term	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	B01	B02	B03	B04	B05	B06	B07
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0926960040421763	0.159109252264559	0.22155983864823103	0.210023695780867	0.0997851732047391	0.11875834593214098	0.10021217055352401	0.272152079218399	0.108367937267431	0.0990135673899463	0.127629973426853	0.15466941664551503	0.10401761865977198	0.265086916399762	0.268921848171906	0.273348671722509	0.162841656827202	0.207157248225556
HALLMARK_HYPOXIA	0.186010243582726	0.196142559065858	0.214818722412151	0.237167822061211	0.19277033000128602	0.204422645448867	0.16528277914502099	0.278923073922623	0.201644968582974	0.19526793469356102	0.208152751048462	0.22021557324382	0.21023741753171302	0.270847920856836	0.267333116426209	0.23221900735570003	0.19918513050485398	0.263079854409442
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.25520832885491396	0.282680320671529	0.285083114203607	0.26029839896762097	0.321267443884763	0.309121043752408	0.292942602560673	0.313485733860846	0.286083595541711	0.27711100858810805	0.30806175949365305	0.28512475853831	0.32891706279455496	0.38166610357095504	0.30364782220588504	0.298684225026443	0.34977729178065503	0.272192563529951
HALLMARK_MITOTIC_SPINDLE	0.30521836740387	0.31770467061259805	0.293826374857403	0.255305604911516	0.27867295172047496	0.30250652222103996	0.298289409213899	0.265211476853216	0.338189736284618	0.30209080196038895	0.372412971106076	0.317902602426508	0.340152574523111	0.347236773226648	0.316201420250998	0.262895359169223	0.269800317883982	0.334684223239633
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.218775335021309	0.23801716747890497	0.21221429222482802	0.256485299781733	0.252541378805265	0.250669554062843	0.24294141338419198	0.173667058310228	0.262190317924183	0.294070636283888	0.251076655433474	0.24300771746890198	0.271754914975805	0.20361817510392896	0.210010005382312	0.18684841626706797	0.200663712352034	0.16391190931332902
HALLMARK_TGF_BETA_SIGNALING	0.319308931283518	0.39081942441521206	0.323518607027451	0.275202046824595	0.274844128021448	0.321364429439799	0.26817025028636704	0.39143490594852	0.30350249148914193	0.244003027385011	0.273469163289304	0.31002158124928997	0.324772710398125	0.372566748507451	0.363293651736895	0.340614358349971	0.28946788781647903	0.37036754932435
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0632042750302294	0.12019625403784501	0.21971636838458702	0.16711129914685802	0.0802435127502063	0.13188892150738002	0.0675816896361365	0.135799640045804	0.0694989826182142	0.10175326415510799	0.141710509536909	0.162922283661794	0.142852152568542	0.219996402111149	0.223793738707737	0.20279246525848496	0.136341248628077	0.17226538463934302
HALLMARK_DNA_REPAIR	0.283149128895005	0.35546891281677606	0.27932915909437106	0.246652282954897	0.286553106132039	0.305025055765776	0.289977681642843	0.269223890203819	0.336732005008025	0.282497913082492	0.331350613027218	0.286016815925816	0.35379915480852	0.367565591161581	0.300324971656283	0.29752047249784397	0.27335565586223604	0.31887267941904196
HALLMARK_G2M_CHECKPOINT	0.36610221736295795	0.3672444485007039	0.272017895828121	0.212473896920541	0.344718582914887	0.309550900919657	0.30224419376231	0.236115401808277	0.37656260774502204	0.278810730356587	0.42108778700125205	0.264172339790572	0.413289951412659	0.442435830817601	0.331911831291251	0.248304936452749	0.346402154204451	0.334397379874436
HALLMARK_APOPTOSIS	0.293164130464578	0.323681263373898	0.368760423914819	0.32331036356673	0.301615679212084	0.34034840689316104	0.319308793390081	0.373660293085769	0.336610188156766	0.256980579360798	0.34744703440161795	0.37703057814193097	0.301221029266647	0.411557712154015	0.394718872331011	0.354439111754021	0.305766588952628	0.339855343761514
