Term	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.102154905105775	0.213414060947779	0.28184536634863	0.255097703055623	0.0673165702843175	0.267761085911553	0.16180744377893697	0.20950844463363	0.20211244121844502	0.2126841074235	0.160701284729069	0.277089455395963	0.13866754208447402	0.24253707923629803	0.16890786158783302	0.15841784960803001	0.14685918288540697	0.12245866520732401	0.161880456485341	0.297934074640866	0.12477986952372501	0.232759624004245	0.141761070394242	0.235193021191996	0.116949140227605	0.17997681820730801	0.19752443374963	0.372246691841392	0.166682126922188	0.180769629711597	0.18204432281918997	0.123419949581815	0.167660444344884	0.17793360093842	0.175181095339205	0.249246398828433	0.16360480557256302	0.283639206601816
HALLMARK_HYPOXIA	0.173790214285583	0.26000383624058304	0.317255212578317	0.249369704516858	0.19778694170458802	0.25218662974779105	0.21503617026994798	0.218518415525796	0.20375189901889101	0.24684715667098298	0.174871007229896	0.250417617034847	0.18958254279506895	0.281822730762236	0.254286065985043	0.233534983587032	0.196801056167541	0.22418456206106302	0.217929297084156	0.266367290285273	0.160937788655961	0.254903585417757	0.18730842364195102	0.23769571716149598	0.19466552701965897	0.173803365529242	0.272042952773476	0.31942982553119703	0.213112162872021	0.23105172291775197	0.22152363074080703	0.23859926306183	0.243462254165689	0.232688833096441	0.20469187914511	0.258382618764803	0.23190742240733803	0.28690750707269
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.32134005197407695	0.36789625661679404	0.32544510127490195	0.325111921845399	0.37221727592102605	0.348820911499047	0.266388635885181	0.340480789599278	0.270303638134053	0.286358287637514	0.298314208842465	0.29748744895120693	0.313433259091772	0.31963935246826297	0.346543343914736	0.321801447827625	0.289028150661505	0.270726499181343	0.284349873430299	0.306528239890844	0.21317509194311202	0.270212033401363	0.22760012999416002	0.2950896077236	0.277293150182403	0.312494449501961	0.301419976890845	0.360152031762094	0.322880714168123	0.262718549528758	0.292338098600481	0.38179297980546506	0.237000344293985	0.292131549696689	0.26753275889488803	0.301602892122047	0.295405925965763	0.393217662496809
HALLMARK_MITOTIC_SPINDLE	0.29223927710383196	0.32748527603279304	0.300306630198383	0.32601932419241	0.38985754132788203	0.290413670540094	0.292434601571979	0.334300497333415	0.277561666780995	0.310176090621644	0.278736245463545	0.360115865824504	0.3235771459324411	0.288949854668017	0.350076031346105	0.35862163113249895	0.256598475024226	0.28257655241949897	0.34957936570698106	0.29162429912365	0.260036403568719	0.26540126123566105	0.269459923426456	0.340130392230162	0.280884329259573	0.328157127801455	0.40912037227077297	0.294848358111474	0.292190650001195	0.312170248626807	0.31740709502166303	0.40039751754663294	0.324669864700766	0.30527023177537893	0.306001009028935	0.297999562739461	0.30271957361977003	0.30304748402950105
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.21071392289493102	0.221764101201677	0.272158793738492	0.228832830226409	0.307238702876287	0.254103459200251	0.228084673070764	0.24885549546716002	0.23366527134068202	0.21192315556750196	0.255759583131651	0.273925308557964	0.247741742673636	0.230037460566883	0.263320990525182	0.23063281789223802	0.18931905865771104	0.23282469837426603	0.22424993103964103	0.26495945601843396	0.19500070689280802	0.23092036427128698	0.189136365856373	0.205932682254974	0.20008695542500302	0.327041265084842	0.271234312450619	0.29079832212555295	0.24526984195933	0.28962135802475003	0.233976549850792	0.296323319432987	0.17710432529207895	0.233126723774833	0.22396993913220498	0.22705189422309802	0.261403538370832	0.235832320672473
HALLMARK_TGF_BETA_SIGNALING	0.20853422699645702	0.322621924518516	0.35171859684767204	0.390626960002682	0.357169943301484	0.33905942539764394	0.342623783309466	0.334272716641176	0.297019966600296	0.346070432302825	0.26052651997320203	0.362901030712754	0.296411972422399	0.376965262751007	0.338850749301897	0.263012773268327	0.227452221452423	0.235385225751233	0.338285603327136	0.313521347387354	0.20654304027670997	0.322927414110962	0.30506464070212497	0.31398755400684397	0.22299460672402602	0.30233724025462394	0.365447250711639	0.41604170552053704	0.305087680124454	0.361273685985754	0.294062080673916	0.35510271581995	0.268476222088537	0.38169195887941704	0.273935845704543	0.323245400702859	0.287712132097435	0.424110049313813
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.14288025730885298	0.14713280137446802	0.212973339027464	0.15249067413888198	0.0164238928005091	0.126989232396649	0.15149873900955702	0.179908963187815	0.196182486081884	0.0647903674315282	0.164021212133898	0.20682796265897402	0.12414662439568301	0.15205287810803197	0.13679299268984	0.0799197506124175	0.13583882918334	0.0970351716449868	0.154015595069941	0.144961463193616	0.12343290626110699	0.11915019709579303	0.164971873480714	0.230308469520745	0.122623265203844	0.187573989827502	0.166793864204685	0.220485611560768	0.13542180371701001	0.12429391577667	0.15061009025429503	0.08916352701401699	0.162102836934091	0.0738863646353227	0.132184053567342	0.22999322225907395	0.200837012926265	0.164270023872539
HALLMARK_DNA_REPAIR	0.284127347994846	0.294408055889915	0.313350887613315	0.291585216144161	0.36501702382534706	0.31132482085561997	0.250156798321497	0.320095542617971	0.267825542993792	0.241814243713031	0.292023718628108	0.30854908231962397	0.287615121166474	0.26960242592463	0.29531419665119	0.355402954693517	0.253257525138725	0.23978578422661398	0.305106442151853	0.28445757854655396	0.24598141592210698	0.277321369375594	0.276355306116413	0.319690091387242	0.267498271827316	0.304168481417464	0.330844377413446	0.275486741312091	0.31635391869916996	0.291173316681255	0.27684895039644103	0.33656985109189	0.286301392941594	0.32392048011398	0.261227953079274	0.287156057351908	0.284671995880193	0.312496513359024
HALLMARK_G2M_CHECKPOINT	0.283415466949752	0.30040461284388004	0.310234708144485	0.28015210029057697	0.48670103338895293	0.30093698653520895	0.285261576069435	0.335288771157018	0.265481147147765	0.262900909339386	0.341497806682389	0.38428611173617894	0.347443935382992	0.28167688922685696	0.367778743539846	0.427566767152932	0.29062263960765006	0.266286305554604	0.374160089781949	0.29306113777726694	0.278987968140963	0.24948008383506498	0.25306539799082606	0.329794450755479	0.34163638788396905	0.382170556603572	0.430294911056525	0.27063215633509097	0.30999444857304304	0.289113398813819	0.302380225854904	0.474628777631682	0.317571899728812	0.277078276499464	0.322630478672138	0.28683392528350105	0.32996157246179403	0.306273739332007
HALLMARK_APOPTOSIS	0.32060962877141097	0.39321227735034103	0.388028313786756	0.33907532627417797	0.30129705938757	0.336458469147385	0.35084158082190803	0.379169883820863	0.326117043585858	0.30770128222115395	0.287538556843367	0.395880792521252	0.342758149046219	0.35536524806521297	0.39226058384973206	0.355316421298925	0.306138396397727	0.322404541514422	0.340343358189824	0.342908727087873	0.24922694788231198	0.34126722066474796	0.29241951390250603	0.37797948242208	0.294828691687766	0.363874657595883	0.366294821306154	0.3924865894843621	0.321995021102521	0.366275269302023	0.329136073956552	0.35102816760814004	0.347536288371769	0.353755626042675	0.331695263108097	0.39513424367407	0.34139383597803497	0.38260576984517997
