Sample	NK % of CD45 live	NK % of live	% NK GrB+	CD4 % of CD45 live	CD4 % of live	%Treg of CD4	%Tcon of CD4	CD8 % of CD45 live	CD8 % of live	%CD8 GrB+	CD11b % of CD45 live	CD11b % of live																
1: Saline_Tube_001_011.fcs	0.672	0.309	2.28	2.4	1.1	41.3	55.3	2.94	1.35	6	86.8	40																
2: Saline_Tube_002_012.fcs	0.828	0.444	2.8	3.85	2.06	50.9	45.3	5.97	3.2	14.9	84.7	45.4																
3: Saline_Tube_003_013.fcs	0.548	0.229	1.59	1.82	0.762	33.3	62.6	3.52	1.47	7.44	88	36.8																
4: Saline_Tube_004_014.fcs	1.13	0.665	2.89	4.41	2.6	49.9	46.3	8.77	5.16	7.5	76.3	44.9																
5: Saline_Tube_005_015.fcs	0.54	0.333	3.11	0.816	0.503	49.8	47	2.61	1.61	13.1	92.7	57.1																
6: Saline_Tube_006_016.fcs	0.466	0.216	3.33	1.88	0.872	35.7	61.6	5.39	2.5	7.76	83.6	38.8																
7: Saline_Tube_007_017.fcs	1.24	0.624	2.02	3.27	1.64	47.8	48.5	6.12	3.07	5.39	82.9	41.6																
8: Cisplatin_Tube_001_018.fcs	5.02	0.482	2.51	3.3	0.317	14.6	80.3	4.39	0.421	7.18	40.5	3.89																
9: Cisplatin_Tube_002_019.fcs	2.58	1.61	2.09	8.6	5.37	64	33.5	10	6.25	12.9	72.4	45.3																
10: Cisplatin_Tube_003_020.fcs	0.668	0.161	11.5	1.28	0.309	20.5	75.2	3.79	0.912	4.84	88.2	21.3																
11: Cisplatin_Tube_004_021.fcs	3.02	1.43	3.74	4.14	1.95	42.3	54.7	7.06	3.33	19	76.3	36																
12: Cisplatin_Tube_005_022.fcs	0.501	0.248	8.11	0.913	0.453	19.8	75.6	3.78	1.87	6.26	91.5	45.4																
13: Cisplatin_Tube_006_023.fcs	1.79	0.664	8.69	5.16	1.92	47.7	49.1	11.4	4.23	13.8	70.1	26.1																
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
