sample_name	sample_cells	total_t_cells	fraction_productive_of_cells	total_rearrangements	productive_rearrangements	productive_clonality	max_productive_frequency	locus	sample_tags	sample_clonality	sample_entropy	productive_entropy	sample_cells_mass_estimate
6229A	145614	2402	0.016496	1305	1044	0.2386	13.316995	TCRB	FFPE, Ovary, Tissue, Tumor	0.2178	8.0960	7.6355	no data
3935B2	49578	3795	0.076538	2980	2529	0.1499	6.004025	TCRB	FFPE, Ovary, Tissue, Tumor	0.1401	9.9247	9.6095	no data
3397B	19843	1679	0.084607	1255	1040	0.1046	3.412843	TCRB	FFPE, Ovary, Tissue, Tumor	0.1045	9.2176	8.9745	no data
3418B	93494	3472	0.037137	1713	1412	0.1188	2.675413	TCRB	FFPE, Ovary, Tissue, Tumor	0.1125	9.5343	9.2207	no data
4425A	4758	312	0.065537	259	219	0.0819	5.481569	TCRB	FFPE, Ovary, Tissue, Tumor	0.0753	7.4128	7.1380	no data
2058A	42	3	0.079781	3	1	no data	100.000000	TCRB	FFPE, Ovary, Tissue, Tumor	0.0583	1.4926	no data	no data
2568A	2640	217	0.082184	143	108	0.1725	13.368407	TCRB	FFPE, Ovary, Tissue, Tumor	0.1474	6.1045	5.5896	no data
9883A	5941	192	0.032327	188	141	0.0797	4.818395	TCRB	FFPE, Ovary, Tissue, Tumor	0.0702	7.0241	6.5705	no data
3328B	78950	614	0.007775	661	512	0.0573	4.210012	TCRB	FFPE, Ovary, Tissue, Tumor	0.0583	8.8227	8.4846	no data
1545A	5041	442	0.087711	378	284	0.1374	6.897839	TCRB	FFPE, Ovary, Tissue, Tumor	0.1637	7.1602	7.0296	no data
0481A	10558	801	0.075872	752	622	0.0724	4.329202	TCRB	FFPE, Ovary, Tissue, Tumor	0.0660	8.9244	8.6084	no data
5244B	86944	1629	0.018732	1113	900	0.1391	5.235380	TCRB	FFPE, Ovary, Tissue, Tumor	0.1304	8.8003	8.4487	no data
2220A	13926	2066	0.148326	1382	1136	0.1167	2.649375	TCRB	FFPE, Ovary, Tissue, Tumor	0.1102	9.2824	8.9658	no data
2050B	30226	5576	0.184492	3968	3193	0.1330	2.851529	TCRB	FFPE, Ovary, Tissue, Tumor	0.1274	10.4318	10.0919	no data
3397A	68704	11921	0.173511	5589	4605	0.1412	3.310878	TCRB	FFPE, Ovary, Tissue, Tumor	0.1353	10.7645	10.4505	no data
1545B	51621	1519	0.029429	876	702	0.1752	9.732386	TCRB	FFPE, Ovary, Tissue, Tumor	0.2186	7.6380	7.7987	no data
4425B	41184	3721	0.090346	1884	1592	0.1696	5.550504	TCRB	FFPE, Ovary, Tissue, Tumor	0.1671	9.0612	8.8326	no data
5219A	1187	51	0.042964	73	54	0.0422	8.124202	TCRB	FFPE, Ovary, Tissue, Tumor	0.0359	5.9674	5.5118	no data
5441A	2590	514	0.198337	478	385	0.0800	6.124020	TCRB	FFPE, Ovary, Tissue, Tumor	0.0905	8.0950	7.9016	no data
4160A	8320	128	0.015381	124	86	0.0495	4.277382	TCRB	FFPE, Ovary, Tissue, Tumor	0.0515	6.5958	6.1084	no data
2058B	67052	13500	0.201333	3305	2603	0.2752	9.711186	TCRB	FFPE, Ovary, Tissue, Tumor	0.2651	8.5919	8.2234	no data
7858B	8249	132	0.016013	119	81	0.1431	18.513604	TCRB	FFPE, Ovary, Tissue, Tumor	0.1090	6.1430	5.4325	no data
6648B	100032	8546	0.085433	5267	4236	0.1309	2.773012	TCRB	FFPE, Ovary, Tissue, Tumor	0.1226	10.8471	10.4714	no data
1573A	83865	285	0.003398	252	203	0.1650	21.005639	TCRB	FFPE, Ovary, Tissue, Tumor	0.1408	6.8543	6.4005	no data
7818B	63754	36835	0.577762	12659	10333	0.2305	10.519370	TCRB	FFPE, Ovary, Tissue, Tumor	0.2221	10.6013	10.2614	no data
3328A	169894	20535	0.120868	11540	9267	0.1234	1.069888	TCRB	FFPE, Ovary, Tissue, Tumor	0.1203	11.8714	11.5524	no data
8089A	1095	163	0.149120	181	143	0.1113	14.621830	TCRB	FFPE, Ovary, Tissue, Tumor	0.0983	6.7628	6.3627	no data
2050A	668	65	0.097275	95	67	0.0304	6.083916	TCRB	FFPE, Ovary, Tissue, Tumor	0.0297	6.3747	5.8819	no data
4997A	171	8	0.048935	12	5	0.0313	29.078013	TCRB	FFPE, Ovary, Tissue, Tumor	0.0296	3.4789	2.2492	no data
6648A	20665	8974	0.434255	9229	7514	0.0812	3.828427	TCRB	FFPE, Ovary, Tissue, Tumor	0.0871	12.0246	11.8301	no data
1573B	67687	1118	0.016518	924	748	0.1052	7.091890	TCRB	FFPE, Ovary, Tissue, Tumor	0.1122	8.7465	8.5424	no data
2945A	141	167	1.184653	204	162	0.0401	5.359826	TCRB	FFPE, Ovary, Tissue, Tumor	0.0372	7.3873	7.0455	no data
0511B	63147	8596	0.136134	5323	4361	0.1482	7.597042	TCRB	FFPE, Ovary, Tissue, Tumor	0.1612	10.3830	10.2985	no data
1941A	23715	1950	0.082239	955	769	0.2063	6.686026	TCRB	FFPE, Ovary, Tissue, Tumor	0.1944	7.9749	7.6089	no data
7678A	90	3	0.036937	5	2	0.0005	51.282054	TCRB	FFPE, Ovary, Tissue, Tumor	0.0234	2.2675	0.9995	no data
0511A	659	36	0.053909	51	31	0.0203	7.486264	TCRB	FFPE, Ovary, Tissue, Tumor	0.0281	5.5133	4.8536	no data
3418A	7319	941	0.128514	710	576	0.1368	5.679737	TCRB	FFPE, Ovary, Tissue, Tumor	0.1324	8.2180	7.9157	no data
7818A	52213	9235	0.176865	5703	4700	0.1118	3.785240	TCRB	FFPE, Ovary, Tissue, Tumor	0.1125	11.0734	10.8348	no data
3582A	8	1	0.094149	na	na	1.0000	no data	TCRB	FFPE, Ovary, Tissue, Tumor	1.0000	no data	no data	no data
8089B	587466	10666	0.018156	4343	3440	0.2194	4.717315	TCRB	FFPE, Ovary, Tissue, Tumor	0.2086	9.5643	9.1705	no data
5219B	92436	17451	0.188785	8575	6991	0.1683	9.723667	TCRB	FFPE, Ovary, Tissue, Tumor	0.1770	10.7536	10.6223	no data
