"Term"	"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"A10"	"A11"	"B01"	"B02"	"B03"	"B04"	"B05"	"B06"	"B07"	"B08"	"B09"	"B10"	"B11"	"B12"	"C01"	"C02"	"C03"	"C04"	"C05"	"C06"	"C07"	"C08"	"C09"	"C10"	"C11"	"C12"	"D01"	"D02"	"D03"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.136576019800582	0.162252707170501	0.16794458052781	0.165871969048935	0.108270682169093	0.103383456255078	0.068362398366884	0.0701618277409014	0.111527366770026	0.0990240491654607	0.181676434144023	0.183834171785386	-0.015164428776797	0.0545457870707335	0.264338626374732	0.260990468124144	0.271569013529044	0.174359591389585	0.193206536654462	0.208390422771763	0.167515973655914	0.178680013993133	0.162094793168704	0.101846168699815	0.161160588852265	0.22233989421025	0.163695809369738	0.139616945850244	0.128145014743468	0.259154299294191	0.215688543182958	0.11265082327998	0.200293831571016	0.241994594805838	0.191432002047059	0.194714150536105	0.189335812635123	0.0696532164955386
"HALLMARK_HYPOXIA"	0.177768003911614	0.218287314924863	0.206636871820579	0.228075382415927	0.21333969937222	0.195107498918624	0.184773347159459	0.176687941144824	0.208508962393367	0.224903312051779	0.247911795152501	0.258880379709119	0.174679061783255	0.194732740255775	0.220625193147883	0.222578233497602	0.269000008466973	0.230779813972441	0.248680450106572	0.21967749917236	0.205848925188104	0.195833251051001	0.164784945532412	0.177462047282319	0.193342580276477	0.241491810210201	0.247852442171305	0.211651779291669	0.232952772698431	0.285186444260499	0.258845291040324	0.242333906614813	0.280113772561142	0.263157411084043	0.261286839234548	0.254169726819307	0.255098935517804	0.170139092820695
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.291056010245031	0.307171059887922	0.304041527196287	0.30290249240024	0.29129124531208	0.302666767655849	0.250307447074078	0.307459751641258	0.336654984316048	0.289154660991331	0.306152423128381	0.320581050034041	0.310314022507454	0.283751901587317	0.325718642310058	0.309417741047394	0.328174081203886	0.308069004446984	0.307455437549639	0.340861445275468	0.342066811227931	0.318068708055119	0.330845498618833	0.362705785932584	0.334874726441981	0.297811303130237	0.386011912909005	0.371856956862345	0.297822178214881	0.311573673528569	0.31495361830485	0.327364062787191	0.357200672666605	0.325969361754478	0.328307730037348	0.310307770962375	0.333763880338095	0.306016471203686
"HALLMARK_MITOTIC_SPINDLE"	0.291323514010066	0.341755408753293	0.332683393218129	0.358085129760922	0.319436818315013	0.350526631812836	0.438601448724248	0.359659028570391	0.365709852690668	0.397053246632128	0.361184251891364	0.33760961052152	0.383907642890749	0.417473794514849	0.380632937205427	0.378060512159103	0.393501854287574	0.352085407040218	0.371346657748104	0.367208000461526	0.321032133673724	0.324787505433359	0.336661561171078	0.335668814378994	0.370301733243368	0.309900455472795	0.377872675474415	0.35725388058151	0.347654360430174	0.339619758728356	0.356477086434746	0.354890411845662	0.399128606201618	0.355273992755079	0.337599405214902	0.329369789841606	0.332418729926845	0.311621599266099
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.151231119925187	0.184140177766604	0.186732420276952	0.263274653552382	0.215426666736187	0.224449999605387	0.246088761429521	0.243030280920142	0.228551545340197	0.258536283410962	0.259499956719844	0.184878860082415	0.14965434957575	0.244631386466972	0.212854857929374	0.212714729165982	0.237543256329484	0.146712019814252	0.177904884710998	0.231615119511513	0.170827187649233	0.164770709454033	0.201081053859576	0.156838277032342	0.195614105451998	0.144901794523695	0.187306777974934	0.197250143211337	0.126257081592942	0.189395212553737	0.180497958728631	0.166625725173957	0.236769553797756	0.185632794857585	0.147549403233431	0.142398727619008	0.126891449980028	0.110339095161042
"HALLMARK_TGF_BETA_SIGNALING"	0.360127346034065	0.405272907088498	0.383098889548972	0.440569510609327	0.390458264004201	0.354443347111685	0.373147777544975	0.352174983562188	0.39218551940044	0.403007176786791	0.421094859293515	0.345278312001644	0.289983406193084	0.31931960205774	0.401807924556161	0.392467201392018	0.461763715117922	0.379021410705194	0.402854370943089	0.440985066138186	0.404639524149516	0.376831573792255	0.36635861775258	0.297994505768923	0.350590101240063	0.318418604205836	0.364147938358423	0.299196213000641	0.416221562032654	0.45517425458372	0.472729854112299	0.376961434534075	0.433594723270428	0.42308338390185	0.416076745265015	0.40710780358392	0.405690663315689	0.324617874911052
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	0.103619517132213	0.167682476338879	0.139866840502279	0.120763518133488	0.121608788967848	0.0978690853995294	0.03196595398322	0.0676742518866732	0.0807511870305219	0.0203949997108199	0.12445103881745	0.178795779274597	0.0178454105664851	0.0403853514834675	0.107376331272322	0.0842702604047055	0.114770567938719	0.160783220573185	0.14667715391923	0.149804784956469	0.108812785846364	0.0870796279900376	0.134884705431038	0.135695148086472	0.124040777486418	0.171762796307438	0.159394001223312	0.115178608925423	0.0795675520901546	0.133229546044337	0.0727061221381902	0.0637658174320181	0.079142703427561	0.14070733313643	0.128650647614347	0.121971462534292	0.127908983707644	0.0429627911190996
"HALLMARK_DNA_REPAIR"	0.350280083468493	0.367789251534426	0.353748248449633	0.344971680587949	0.343872435766197	0.378025566456946	0.375490670011894	0.367445875570274	0.431143730137419	0.391937059875049	0.340606189418654	0.396783143971831	0.422265652914887	0.368136358099481	0.332890813044816	0.339561956249139	0.329252682129964	0.32557376877126	0.324721332313245	0.304020966206256	0.349334891117697	0.33263450083942	0.33431548511397	0.364463312820958	0.363498235600638	0.318321825994293	0.371533058869629	0.39150845752831	0.351822838913955	0.315871365432698	0.30384563223138	0.315842318552975	0.340377101623934	0.347952641434826	0.400697599895809	0.377569071550419	0.396562926286656	0.380532124469887
"HALLMARK_G2M_CHECKPOINT"	0.363966152257923	0.389518448081511	0.35969943036156	0.377368188161901	0.345692530234789	0.423717294111465	0.494063612283447	0.435422785177338	0.497284105784957	0.486302367930531	0.358266664793879	0.431752041715153	0.488245269369796	0.475005092025952	0.381195468413985	0.369113204482842	0.38367873755349	0.397399059810269	0.374847309090382	0.361764843958315	0.348145550419378	0.360409353862315	0.349402215489929	0.406899175670333	0.404235530407736	0.32058286488271	0.414466626340506	0.413886256035954	0.374573012074148	0.307879531683367	0.303238563178674	0.387676201865897	0.386884136263687	0.329978959710322	0.356523397947715	0.370716283876353	0.405553626322736	0.347411107126679
"HALLMARK_APOPTOSIS"	0.294213183854205	0.337495530730918	0.325129227580691	0.296175350347892	0.302133701933808	0.310008334266116	0.283053616915722	0.303932543702253	0.319606763215083	0.287805374458828	0.312714894899543	0.361935462682621	0.26837661493811	0.265026295383857	0.333228270183633	0.333274560394933	0.365489038035121	0.351678162094405	0.335973287443352	0.316820183414935	0.322764048337269	0.307690918329566	0.311564787384244	0.309993842393618	0.316075333354592	0.322436984224093	0.327735509318154	0.313017895688416	0.330533460161704	0.36834306110165	0.349319185312183	0.328468347965842	0.347525659533093	0.365552964579239	0.374526254206626	0.348736812478321	0.371515616813683	0.308452147737219
"HALLMARK_NOTCH_SIGNALING"	0.0482206976973273	0.142510427446108	0.126534365229082	0.164907566588818	0.0992639872233731	0.127231696960313	0.100338475416575	0.113637881048125	0.121614273078646	0.172344875132594	0.140430440954034	0.142058188775574	0.0807187115398406	0.0927837077941087	0.126208541230227	0.101686550718669	0.148251120008442	0.124095728481179	0.10792459199258	0.212429136795914	0.191567375651171	0.163060178949042	0.165892136740935	0.0966036278307131	0.0717906868120031	0.0123777599247996	0.10859591354577	0.0841396300094533	0.198842169665093	0.169037060120885	0.18515839544312	0.140324648555548	0.200032505047121	0.172337097790047	0.191879441843601	0.162584724982323	0.178547980398051	0.157650985864669
"HALLMARK_ADIPOGENESIS"	0.301695296191435	0.326258595814655	0.322399924096412	0.281821107406098	0.301935905657071	0.306863400849579	0.260851079483572	0.298496564197909	0.330333861750271	0.247433749062837	0.277219984867556	0.30867683143232	0.282920381439726	0.2362570982977	0.280255790178685	0.280934863006495	0.282601521038545	0.311984501619159	0.278875240625547	0.268775467350749	0.306493213557408	0.274088626338386	0.27433106488872	0.319581852342814	0.291374842339385	0.267051779847111	0.318234221809159	0.31596702246366	0.296910019287374	0.293975518026747	0.29852983805247	0.314684024056646	0.274761040822902	0.317512830725527	0.382713911251328	0.311689051552325	0.341710769454251	0.312917458772707
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.0709575446359525	0.0987077293203622	0.0681427634635561	0.154341407786397	0.104528402725107	0.117328324254734	0.113019274917938	0.120054399617439	0.146635936748023	0.0729600903995251	0.136492904754384	0.0801778881072464	0.0526221863781098	0.0617072686609348	0.170781912497662	0.179918274030922	0.158072937631895	0.135268329261104	0.149196154960617	0.146973573417914	0.121323162376825	0.0949140835697554	0.113884106551054	0.112435544085474	0.130143338466116	0.0983571815740229	0.123185334968067	0.120032118569105	0.0823601865715743	0.102433453848421	0.136207196217536	0.0957447988045131	0.141854005066611	0.146480189172667	0.152715011357604	0.137595928407771	0.156542769075031	0.129384598901583
"HALLMARK_ESTROGEN_RESPONSE_LATE"	0.113990724887655	0.156495625170572	0.125732077519249	0.168242523566119	0.141195139802397	0.146464447428404	0.145944969309047	0.158698875495221	0.200251673275342	0.0861017114293888	0.146179966580245	0.144630456051724	0.121705852806832	0.0955643089541556	0.180188681346378	0.168583196882848	0.174315850648787	0.156000942680987	0.146055585374267	0.148712277206193	0.150992564341545	0.128686288524528	0.136435185365945	0.168183701941046	0.139349128322433	0.120613029496161	0.170441617983815	0.163927378523458	0.159437788583487	0.132491402003538	0.140921732642554	0.160310678738447	0.17053465836115	0.158601906261663	0.191852818987192	0.161212687474837	0.188409798996619	0.150060179364707
"HALLMARK_ANDROGEN_RESPONSE"	0.410707342347918	0.443301618767047	0.445301957588582	0.422746985834969	0.430761411762408	0.433125183627119	0.379623452315857	0.422945875046651	0.441518546742939	0.419153514207365	0.414344213448393	0.418445217415641	0.391206036193846	0.369480416582341	0.406760225948649	0.399356474446662	0.427463506781899	0.447487532069653	0.399635978315597	0.406684919260388	0.427096920621946	0.429875583362213	0.398598327974055	0.455159193196197	0.413554962427075	0.409058357725442	0.453138502115972	0.43175263966127	0.427659223068338	0.437351488025386	0.435851948918684	0.431224476971637	0.438570457071167	0.445204281916586	0.452692838020748	0.448342898004526	0.44587574811825	0.410366077613214
"HALLMARK_MYOGENESIS"	-0.00545353285362632	0.0170721860707538	0.0615116066975547	0.0216589792223309	0.0137237748011212	0.000853616963187533	0.0132470988603087	-0.00389454539398328	0.00438240056791015	-0.0174369553884521	0.0563970708560616	0.0300964745048046	-0.0191298283759262	0.0192059562651379	0.0593679354853259	0.0700929901053772	0.0938534395858676	0.0535578539405959	0.0561078674811104	0.037431602798084	0.048991421740639	-0.0087656878814507	0.00453810958420811	0.023796701540785	0.0282154153085443	0.0590507144092337	0.0553085922941317	0.0306674957355235	0.0466008371211606	0.0801420185120071	0.0842357911508323	0.0474146788387052	0.049842153385232	0.0704755989252732	0.0764010508809111	0.0473001219178969	0.051785883950181	0.0181520916479954
