"entrez_id","hgnc_symbol","RG10T17","RG10T18","RG10T19","RG10T5","RG10T7","RG10T8","RG13T10","RG13T11","RG13T122","RG13T13","RG13T14","RG16T1","RG16T3","RG16T5","RG16T9","RG17T13","RG17T14","RG17T19","RG17T6","RG17T7","RG17T9","RG19-T10","RG19-T11","RG19-T7","RG19-T8","RG19-T9","RG1T3","RG1T5","RG1T6","RG1T7","RG20-T10","RG20-T12","RG20-T14","RG20-T8","RG4T1","RG4T2","RG4T3","RG4T4","RG4T5","RG5T12","RG5T13","RG5T14Rep","RG5T15","RG5T16","RG5T17","RG5T22","RG6T12","RG6T13","RG6T16","RG6T3"
"1","A1BG",6,5,5,5,5,5,4,6,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,2,4,3,2,2,2,3,4,4,4,4,4,4,4,7,5,4,5,5,5,6,5,5
"10","NAT2",3,2,2,2,2,2,4,3,4,4,4,1,1,1,1,4,4,3,2,3,4,1,1,1,1,1,5,4,3,2,3,5,2,5,1,1,1,1,1,2,2,3,3,2,2,3,2,4,2,3
"100","ADA",8,7,NA,NA,NA,6,4,2,3,4,3,NA,NA,NA,2,5,5,5,3,4,4,5,NA,5,5,5,5,5,8,6,5,7,7,7,3,3,3,3,3,4,4,7,5,4,5,5,5,5,5,5
"1000","CDH2",8,8,8,8,8,8,2,6,2,2,2,2,2,2,2,3,3,5,3,3,3,4,4,4,4,4,3,3,3,2,4,4,3,4,2,2,2,2,2,2,2,3,3,2,2,3,6,4,5,4
"10000","AKT3",5,5,5,5,4,4,5,3,4,5,4,3,3,3,3,7,7,7,4,5,7,3,3,3,3,3,5,4,7,5,4,5,6,4,3,3,3,3,3,2,2,4,3,3,3,5,4,5,4,3
"100009676","ZBTB11-AS1",5,5,5,4,4,4,5,2,5,4,5,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,5,5,7,5,7,5,7,8,6,6,6,6,6,4,4,7,5,4,5,5,5,6,5,8
"10001","MED6",3,2,2,2,2,2,3,3,2,2,2,3,3,3,3,2,2,2,1,2,2,3,3,3,3,3,3,3,4,3,5,5,5,5,3,3,3,3,3,4,4,4,5,4,5,5,5,5,5,6
"10002","NR2E3",5,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,4,3,5,5,5,5,2,2,2,2,2,4,4,7,5,4,5,5,4,4,5,4
"10003","NAALAD2",7,4,4,4,5,4,4,2,3,4,3,2,2,2,2,4,4,6,3,4,5,2,3,2,2,2,2,2,3,2,4,5,7,5,3,3,3,3,3,4,4,7,5,4,5,5,8,8,8,8
"100033413","SNORD116-1",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033414","SNORD116-2",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033415","SNORD116-3",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033416","SNORD116-4",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033417","SNORD116-5",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033420","SNORD116-8",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033422","SNORD116-10",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033423","SNORD116-11",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
"100033424","SNORD116-12",2,1,1,1,1,1,5,2,2,4,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,NA,2,3,3,2,3,2,2,2,2,2,4,4,7,5,4,5,5,4,4,4,4
